population,family,family_ko,fragrantica_id,brand,name,top1,margin
korea200,CITRUS,시트러스,92647,Versace,Eros Energy,0.5181,0.3523
korea200,CITRUS,시트러스,30796,Chanel,Chance Eau Vive,0.4453,0.2717
korea200,CITRUS,시트러스,31436,Parfums Berdoues,Assam of India,0.4417,0.1333
korea200,CITRUS,시트러스,12192,Tom Ford,Neroli Portofino,0.4173,0.1475
korea200,CITRUS,시트러스,485,Dolce&Gabbana,Light Blue,0.4106,0.2318
korea200,FRUITY,프루티,72381,Stéphane Humbert Lucas 777,God of Fire,0.3982,0.1947
korea200,FRUITY,프루티,653,Salvatore Ferragamo,Incanto Charms,0.3689,0.0725
korea200,FRUITY,프루티,3779,Lanvin,Jeanne Lanvin,0.3215,0.0579
korea200,FRUITY,프루티,29165,Jimmy Choo,Jimmy Choo Blossom,0.3067,0.0675
korea200,FRUITY,프루티,38914,Yves Saint Laurent,Mon Paris,0.2809,0.059
korea200,FLORAL,플로럴,44894,Gucci,Gucci Bloom,0.8,0.7091
korea200,FLORAL,플로럴,17798,Byredo,Inflorescence,0.6459,0.4459
korea200,FLORAL,플로럴,75642,Dior,J'adore Parfum d'Eau,0.6201,0.4545
korea200,FLORAL,플로럴,72606,Yves Saint Laurent,Mon Paris Lumière,0.5708,0.4009
korea200,FLORAL,플로럴,87956,Rance 1795,Mathilde,0.5682,0.3409
korea200,GREEN,그린·아로마틱,43531,Etat Libre d'Orange,You Or Someone Like You,0.5358,0.3515
korea200,GREEN,그린·아로마틱,64092,Nishane,EGE / ΑΙΓΑΙΟ,0.4703,0.1948
korea200,GREEN,그린·아로마틱,35456,John Varvatos,Artisan Blu,0.4524,0.2283
korea200,GREEN,그린·아로마틱,275,Calvin Klein,CK be,0.4496,0.2345
korea200,GREEN,그린·아로마틱,109563,Sennok,After Bath,0.4442,0.2191
korea200,AQUATIC,아쿠아틱,53671,Parfums Berdoues,Azur Riviera,0.5215,0.2853
korea200,AQUATIC,아쿠아틱,95642,Issey Miyake,Le Sel d’Issey,0.4555,0.1081
korea200,AQUATIC,아쿠아틱,47891,Maison Martin Margiela,Sailing Day,0.4286,0.2256
korea200,AQUATIC,아쿠아틱,1198,Ralph Lauren,Polo Blue,0.4123,0.1009
korea200,AQUATIC,아쿠아틱,70985,Maison Martin Margiela,When the Rain Stops,0.3743,0.0642
korea200,WOODY,우디,46187,Jo Malone London,English Oak & Hazelnut,0.6566,0.4337
korea200,WOODY,우디,109564,Sennok,Slow September,0.5351,0.2982
korea200,WOODY,우디,85144,Essential Parfums,Patchouli Mania,0.5176,0.304
korea200,WOODY,우디,32523,Mercedes-Benz,Mercedes Benz Man,0.4962,0.3753
korea200,WOODY,우디,890,Ralph Lauren,Polo,0.4751,0.1692
korea200,AMBER,앰버·스파이시,57088,Essential Parfums,Divine Vanille,0.5631,0.2617
korea200,AMBER,앰버·스파이시,115749,BMW Fragrances,BMW M 2025,0.5225,0.218
korea200,AMBER,앰버·스파이시,106299,BMW Fragrances,Amberness,0.4585,0.1995
korea200,AMBER,앰버·스파이시,10464,Frederic Malle,Portrait of a Lady,0.4553,0.1504
korea200,AMBER,앰버·스파이시,76893,Mancera,Tonka Cola,0.4295,0.1811
korea200,GOURMAND,구르망,50384,Ariana Grande,Cloud,0.8046,0.6722
korea200,GOURMAND,구르망,76824,Sabrina Carpenter,Sweet Tooth,0.7428,0.5507
korea200,GOURMAND,구르망,56741,Ariana Grande,"Thank U, Next",0.7306,0.5926
korea200,GOURMAND,구르망,2186,Montale,Chocolate Greedy,0.6387,0.4592
korea200,GOURMAND,구르망,42782,Mancera,Coco Vanille,0.6245,0.3906
korea200,MUSK,머스크·파우더리,109565,Sennok,Soap Clean Soap,0.7039,0.5534
