fragrantica_id,brand,name,fs1_argmax,fs2_argmax,population
65738,Diptyque,Orphéon Eau de Parfum,MUSK,GREEN,korea200
8441,Byredo,La Tulipe,FLORAL,GREEN,korea200
6458,Byredo,Bal d'Afrique,WOODY,FLORAL,korea200
607,Chanel,Allure Homme Sport,CITRUS,MUSK,korea200
184,Lancôme,Miracle,FLORAL,FRUITY,korea200
18,Hermès,Un Jardin Sur Le Nil,GREEN,FRUITY,korea200
46187,Jo Malone London,English Oak & Hazelnut,WOODY,GOURMAND,korea200
29165,Jimmy Choo,Jimmy Choo Blossom,FRUITY,CITRUS,korea200
64167,Aesop,Rozu,WOODY,GREEN,korea200
12310,Jo Malone London,Wild Bluebell,MUSK,AQUATIC,korea200
23032,Clean,Cool Cotton,MUSK,GREEN,korea200
31861,Dior,Sauvage,AMBER,GREEN,korea200
79437,Jo Malone London,Earl Grey & Cucumber,CITRUS,AQUATIC,korea200
2271,Lanvin,Rumeur 2 Rose,CITRUS,FLORAL,korea200
5534,John Varvatos,Artisan,CITRUS,GREEN,korea200
644,Versace,Versace Man Eau Fraiche,CITRUS,FRUITY,korea200
65792,Jaguar,Jaguar Classic Electric Sky,AMBER,AQUATIC,korea200
37603,Nishane,Fan Your Flames,GOURMAND,AMBER,korea200
74740,Banana Republic,Midnight Hour,AMBER,FRUITY,korea200
82586,Clean,Apple Blossom,CITRUS,AQUATIC,korea200
50790,Essential Parfums,The Musc,MUSK,AMBER,korea200
50786,Essential Parfums,Orange X Santal,CITRUS,WOODY,korea200
3024,Clean,Clean Warm Cotton,CITRUS,AQUATIC,korea200
73092,Essential Parfums,Fig Infusion,WOODY,FRUITY,korea200
98468,Adidas,Spark Up,CITRUS,AMBER,korea200
59392,Banana Republic,Dark Cherry & Amber,GOURMAND,FRUITY,korea200
54885,Mancera,Instant Crush,AMBER,MUSK,korea200
76893,Mancera,Tonka Cola,AMBER,FRUITY,korea200
94718,Kenneth Cole,Mankind Rise,WOODY,GREEN,korea200
75731,Mancera,Fabulous Yuzu,CITRUS,GOURMAND,korea200
122669,Coach,Coach Cherry,GOURMAND,FRUITY,korea200
99134,Luafee,"Oh, Love",AMBER,FLORAL,korea200
4023,Montblanc,Starwalker,WOODY,CITRUS,korea200
129391,Calvin Klein,CK One Night Essence,MUSK,FLORAL,korea200
123059,RboW,Tokyo Fig,FLORAL,AQUATIC,korea200
3172,Rance 1795,Francois Charles,AMBER,GREEN,korea200
1924,Rance 1795,Eugenie,FLORAL,AQUATIC,korea200
115747,BMW Fragrances,BMW M  1985,WOODY,GREEN,korea200
115746,BMW Fragrances,BMW M 1972,CITRUS,AMBER,korea200
64093,Nishane,Nanshe,MUSK,FLORAL,korea200
95156,Jimmy Choo,I Want Choo Le Parfum,GOURMAND,WOODY,korea200
31247,Narciso Rodriguez,Narciso Rodriguez for Him Bleu Noir,WOODY,AMBER,korea200
46623,John Varvatos,Artisan Pure,CITRUS,GREEN,korea200
84224,Ex Nihilo,Blue Talisman,CITRUS,MUSK,korea200
52180,Versace,Eros Flame,CITRUS,AMBER,korea200
69281,Bentley,Momentum Unbreakable Eau de Parfum,WOODY,GREEN,korea200
46300,Mancera,Musky Garden,MUSK,FLORAL,korea200
132011,Huxley,Port Breathe,CITRUS,GREEN,korea200
114188,Kuoca,Wild Peach,CITRUS,GREEN,korea200
310,Cartier,Le Baiser Du Dragon,WOODY,GOURMAND,global1000
52616,Kayali Fragrances,Vanilla | 28,GOURMAND,AMBER,global1000
46066,Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait de Parfum,AMBER,GOURMAND,global1000
48682,Prada,Luna Rossa Black,MUSK,AMBER,global1000
3607,Escentric Molecules,Escentric 02,MUSK,FLORAL,global1000
9685,Van Cleef & Arpels,Midnight in Paris,AMBER,WOODY,global1000
15727,Tom Ford,Noir,AMBER,WOODY,global1000
45499,Donna Karan,DKNY Nectar Love,GOURMAND,AMBER,global1000
78578,Tom Ford,Cherry Smoke,WOODY,FRUITY,global1000
38133,Attar Collection,Khaltat Night,AMBER,FRUITY,global1000
934,Calvin Klein,CK IN2U for Her,CITRUS,GREEN,global1000
565,Hugo Boss,Deep Red,CITRUS,GOURMAND,global1000
2653,Chanel,Allure Homme Edition Blanche,CITRUS,GOURMAND,global1000
631,Versace,Crystal Noir,AMBER,GOURMAND,global1000
48100,Dior,Sauvage Eau de Parfum,AMBER,GREEN,global1000
12865,Carolina Herrera,212 VIP Men,GREEN,GOURMAND,global1000
49751,Louis Vuitton,L’Immensité ,AMBER,GREEN,global1000
10206,Yves Saint Laurent,La Nuit de L'Homme Le Parfum,AMBER,GREEN,global1000
218,Dior,Poison,AMBER,FLORAL,global1000
6103,Mugler,A*Men Pure Malt,WOODY,AMBER,global1000
28182,Amouage,Sunshine Woman,FLORAL,GOURMAND,global1000
1036,Escada,Escada Magnetism,FRUITY,GREEN,global1000
521,Rabanne,Ultraviolet Man,GREEN,WOODY,global1000
45396,Prada,Prada L'Homme Intense,WOODY,FLORAL,global1000
1980,Yves Rocher,Iris Noir,WOODY,FLORAL,global1000
75489,Tom Ford,Noir Extreme Parfum,GOURMAND,WOODY,global1000
61264,Room 1015,Cherry Punk,WOODY,FRUITY,global1000
71596,Narciso Rodriguez,Musc Noir Rose For Her,MUSK,FLORAL,global1000
48463,Maison Francis Kurkdjian,Oud Satin Mood Extrait de Parfum,AMBER,FLORAL,global1000
36416,Mugler,Angel Muse,WOODY,GOURMAND,global1000
1196,Slava Zaitsev,Maroussia,MUSK,AMBER,global1000
90174,By Kilian,Princess,MUSK,GREEN,global1000
18021,Montale,Intense Cafe,FLORAL,GOURMAND,global1000
68214,Lattafa Perfumes,Bade'e Al Oud Amethyst,FLORAL,WOODY,global1000
15286,Jo Malone London,Velvet Rose & Oud,FLORAL,WOODY,global1000
18368,Comme des Garcons,Black Eau de Toilette,AMBER,WOODY,global1000
12446,Diesel,Loverdose,AMBER,GREEN,global1000
84109,Parfums de Marly,Althaïr,GOURMAND,AMBER,global1000
4193,Montblanc,Individuel,GOURMAND,AMBER,global1000
30947,Jean Paul Gaultier,Ultra Male,GOURMAND,AMBER,global1000
65414,Afnan,9pm,GOURMAND,AMBER,global1000
43297,Guerlain,Mon Guerlain,GOURMAND,GREEN,global1000
31666,Rabanne,Olympéa,GOURMAND,AQUATIC,global1000
1251,Joop!,Joop! Homme,GOURMAND,AMBER,global1000
62318,Yves Saint Laurent,Libre Intense,GOURMAND,GREEN,global1000
61856,Jean Paul Gaultier,Le Male Le Parfum,AMBER,GREEN,global1000
39314,Parfums de Marly,Layton,AMBER,GREEN,global1000
66826,Azzaro,The Most Wanted,AMBER,GOURMAND,global1000
427,Jean Paul Gaultier,Classique,GOURMAND,GREEN,global1000
12258,Elie Saab,Le Parfum,FLORAL,GOURMAND,global1000
253,Calvin Klein,Euphoria,WOODY,FLORAL,global1000
