fragrantica_id,brand,name,fs1_argmax,fs1_top1,fs1_margin,fs2_argmax,fs1_CITRUS,fs1_FRUITY,fs1_FLORAL,fs1_GREEN,fs1_AQUATIC,fs1_WOODY,fs1_AMBER,fs1_GOURMAND,fs1_MUSK
32394,Histoires de Parfums,This Is Not A Blue Bottle,MUSK,0.3218,0.0932,MUSK,0.2285,0.0,0.0,0.0,0.0,0.1152,0.1152,0.2194,0.3218
2972,Robert Piguet,Baghari 2006,MUSK,0.5335,0.3711,MUSK,0.1624,0.0,0.1082,0.0,0.0,0.0,0.1082,0.0876,0.5335
16938,Parfums de Marly,Pegasus,GOURMAND,0.5918,0.4392,GOURMAND,0.0,0.0845,0.0,0.0887,0.0,0.0825,0.0,0.5918,0.1526
45686,Elie Saab,Girl of Now,GOURMAND,0.4929,0.347,GOURMAND,0.089,0.1459,0.0747,0.0,0.0,0.1246,0.073,0.4929,0.0
310,Cartier,Le Baiser Du Dragon,WOODY,0.3529,0.0751,GOURMAND,0.0,0.142,0.0,0.0,0.0,0.3529,0.2272,0.2779,0.0
2176,Serge Lutens,Louve,GOURMAND,0.5753,0.3995,GOURMAND,0.0,0.1758,0.0708,0.0,0.0,0.0,0.1005,0.5753,0.0776
38117,Tesori d'Oriente,Byzantium,GOURMAND,0.5815,0.4048,GOURMAND,0.0,0.0,0.1046,0.0,0.0,0.0,0.1767,0.5815,0.1372
39459,Michael Kors,Wonderlust,GOURMAND,0.2811,0.0427,GOURMAND,0.0,0.0,0.2384,0.0,0.0,0.1459,0.1922,0.2811,0.1423
40816,Maison Francis Kurkdjian,Grand Soir,AMBER,0.3979,0.0415,AMBER,0.0,0.0,0.0,0.1038,0.0,0.0,0.3979,0.3564,0.1419
72821,Lattafa Perfumes,Asad,AMBER,0.5538,0.3177,AMBER,0.0,0.0,0.0,0.0,0.0,0.1406,0.5538,0.2361,0.0694
609,Chanel,Coco Eau de Parfum,AMBER,0.3906,0.1718,AMBER,0.0,0.0,0.1718,0.0,0.0,0.0941,0.3906,0.2188,0.1247
2762,Serge Lutens,Chergui,AMBER,0.3377,0.0321,AMBER,0.0,0.0,0.0,0.083,0.0,0.1604,0.3377,0.3057,0.1132
52616,Kayali Fragrances,Vanilla | 28,GOURMAND,0.3492,0.0053,AMBER,0.0,0.0,0.0608,0.0,0.0,0.0979,0.3439,0.3492,0.1481
46066,Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait de Parfum,AMBER,0.307,0.0497,GOURMAND,0.0,0.0806,0.0,0.0,0.0,0.1338,0.307,0.2573,0.2213
248,Calvin Klein,Obsession,AMBER,0.3579,0.047,AMBER,0.0,0.0,0.0,0.1043,0.0,0.1472,0.3579,0.0798,0.3108
15294,Amouage,Interlude Man,AMBER,0.6707,0.3415,AMBER,0.0,0.0,0.0,0.0,0.0,0.3293,0.6707,0.0,0.0
48682,Prada,Luna Rossa Black,MUSK,0.3016,0.0119,AMBER,0.0,0.0,0.0,0.0992,0.0,0.121,0.2897,0.1885,0.3016
7399,Yves Saint Laurent,Opium Eau de Parfum 2009,AMBER,0.5853,0.4515,AMBER,0.087,0.0,0.0769,0.0,0.0,0.1338,0.5853,0.1171,0.0
42027,Jo Malone London,Myrrh & Tonka,GOURMAND,0.424,0.0321,GOURMAND,0.0,0.0,0.0,0.1842,0.0,0.0,0.3919,0.424,0.0
3168,Hermès,Elixir des Merveilles,AMBER,0.4932,0.2807,AMBER,0.1063,0.0,0.0,0.0,0.0,0.2125,0.4932,0.188,0.0
2366,Amouage,Jubilation XXV Man,AMBER,0.5485,0.3544,AMBER,0.0,0.0947,0.0,0.0,0.0,0.1942,0.5485,0.1626,0.0
49755,Louis Vuitton,Ombre Nomade,WOODY,0.4295,0.0641,WOODY,0.0,0.0833,0.1218,0.0,0.0,0.4295,0.3654,0.0,0.0
15452,Mugler,Alien Essence Absolue,AMBER,0.4906,0.2781,AMBER,0.0,0.0,0.1406,0.0,0.0,0.0688,0.4906,0.2125,0.0875
46797,Mercedes-Benz,Mercedes Benz Club Black Eau de Toilette,AMBER,0.4767,0.189,AMBER,0.0,0.0,0.0,0.0,0.0,0.1699,0.4767,0.2877,0.0658
34761,Giorgio Armani,Armani Code Profumo,AMBER,0.461,0.2411,AMBER,0.0,0.0,0.0,0.1229,0.0,0.1064,0.461,0.2199,0.0898
765,Salvador Dali,Dali Parfum de Toilette,AMBER,0.5,0.323,AMBER,0.0,0.0,0.1268,0.0885,0.0,0.1077,0.5,0.0,0.177
3606,Escentric Molecules,Molecule 02,AMBER,0.625,0.25,AMBER,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.375
3607,Escentric Molecules,Escentric 02,MUSK,0.2952,0.0407,FLORAL,0.0,0.0,0.2341,0.0,0.0,0.2163,0.2545,0.0,0.2952
9685,Van Cleef & Arpels,Midnight in Paris,AMBER,0.4865,0.2492,WOODY,0.0,0.0,0.0,0.0931,0.0,0.2372,0.4865,0.1111,0.0721
7145,Chanel,Les Exclusifs de Chanel Coromandel,AMBER,0.4577,0.1593,AMBER,0.0685,0.0,0.0,0.0,0.0,0.2984,0.4577,0.1754,0.0
15727,Tom Ford,Noir,AMBER,0.413,0.087,WOODY,0.0,0.0,0.1056,0.0,0.0,0.3259,0.413,0.0,0.1556
34935,Guerlain,Les Absolus d'Orient Ambre Eternel,AMBER,0.3624,0.0797,AMBER,0.0,0.0,0.0,0.0968,0.0,0.2827,0.3624,0.0683,0.1898
30945,Amouage,The Library Collection Opus IX,MUSK,0.461,0.2268,MUSK,0.0,0.0,0.2341,0.0,0.0,0.178,0.1268,0.0,0.461
1229,Mugler,Eau de Star,AQUATIC,0.3864,0.0985,AQUATIC,0.0,0.0,0.0,0.0,0.3864,0.2475,0.0783,0.2879,0.0
430,Jean Paul Gaultier,Le Male,GREEN,0.4247,0.1683,GREEN,0.0,0.0,0.0,0.4247,0.0,0.0,0.2427,0.2564,0.0763
70465,Lattafa Perfumes,Fakhar Black,GREEN,0.3653,0.1737,GREEN,0.1916,0.1198,0.0,0.3653,0.0,0.1357,0.1876,0.0,0.0
9241,Diptyque,Eau Duelle Eau de Toilette,AMBER,0.4469,0.2299,AMBER,0.0,0.0,0.0,0.2169,0.0,0.0672,0.4469,0.1909,0.0781
64718,Yves Saint Laurent,Y Le Parfum,GREEN,0.3919,0.1641,GREEN,0.2278,0.1062,0.0,0.3919,0.0,0.0869,0.1873,0.0,0.0
1088,Antonio Banderas,Blue Seduction,AQUATIC,0.3794,0.0975,AQUATIC,0.0904,0.1436,0.0,0.2819,0.3794,0.0,0.1046,0.0,0.0
642,Versace,Dreamer The Original Edition,GREEN,0.4575,0.2092,GREEN,0.0,0.0,0.0736,0.4575,0.0,0.092,0.2483,0.1287,0.0
74915,Jean Paul Gaultier,Scandal Pour Homme Le Parfum,AMBER,0.3671,0.1374,AMBER,0.0,0.0,0.0,0.1808,0.0,0.1483,0.3671,0.2297,0.0741
473,Creed,Original Santal,GREEN,0.4074,0.1508,GREEN,0.0,0.0,0.0,0.4074,0.0,0.209,0.2566,0.0529,0.0741
70090,Versace,Eros Parfum,GREEN,0.3476,0.0569,GREEN,0.1606,0.0752,0.0,0.3476,0.0,0.0,0.2907,0.126,0.0
103,Guerlain,Jicky,GREEN,0.3236,0.0799,GREEN,0.1423,0.0,0.0,0.3236,0.0,0.0975,0.2437,0.1228,0.0702
992,Lancôme,Hypnôse Homme,GREEN,0.4205,0.0078,GREEN,0.0872,0.0,0.0,0.4205,0.0,0.0795,0.4128,0.0,0.0
45499,Donna Karan,DKNY Nectar Love,GOURMAND,0.3833,0.1031,AMBER,0.0,0.142,0.0,0.0,0.0,0.0,0.1946,0.3833,0.2802
50875,Hugo Boss,Boss The Scent Private Accord for Her ,GOURMAND,0.5,0.2837,GOURMAND,0.1372,0.0837,0.0628,0.0,0.0,0.0,0.2163,0.5,0.0
748,Comptoir Sud Pacifique,Amour De Cacao,GOURMAND,0.5925,0.4316,GOURMAND,0.0965,0.0938,0.0,0.0,0.0,0.0,0.1609,0.5925,0.0563
3729,Pierre Guillaume Paris,Musc Maori 04,GOURMAND,0.5629,0.3043,GOURMAND,0.0,0.0,0.0,0.0,0.0,0.0,0.2586,0.5629,0.1785
12426,Prada,Prada Candy,GOURMAND,0.483,0.2112,GOURMAND,0.0,0.0,0.0,0.0,0.0,0.0,0.2451,0.483,0.2718
68074,Jean Paul Gaultier,Scandal Pour Homme,GOURMAND,0.5083,0.3262,GOURMAND,0.1229,0.0,0.0,0.182,0.0,0.0544,0.1324,0.5083,0.0
51249,Dolce&Gabbana,The Only One,GOURMAND,0.5495,0.4026,GOURMAND,0.0908,0.0,0.1254,0.0,0.0,0.0,0.0875,0.5495,0.1469
50256,Penhaligon's,Changing Constance,GOURMAND,0.5461,0.3311,GOURMAND,0.0,0.0,0.0,0.0658,0.0768,0.0,0.2149,0.5461,0.0965
51411,Tom Ford,Lost Cherry,GOURMAND,0.5435,0.234,GOURMAND,0.0,0.3095,0.0,0.0,0.0,0.0,0.147,0.5435,0.0
78578,Tom Ford,Cherry Smoke,WOODY,0.4396,0.1541,FRUITY,0.0,0.275,0.0,0.0,0.0,0.4396,0.0,0.2855,0.0
38133,Attar Collection,Khaltat Night,AMBER,0.3743,0.1021,FRUITY,0.0,0.2722,0.0,0.0,0.0,0.0699,0.3743,0.2287,0.0548
611,Chanel,Coco Mademoiselle,WOODY,0.3279,0.0546,WOODY,0.2732,0.0,0.2049,0.0,0.0,0.3279,0.0,0.194,0.0
53,Guerlain,Shalimar Eau de Parfum,WOODY,0.3218,0.046,WOODY,0.1642,0.0,0.0,0.0,0.0,0.3218,0.2759,0.1215,0.1166
55157,Xerjoff,Erba Pura,GOURMAND,0.2449,0.0101,GOURMAND,0.2024,0.1984,0.0,0.0,0.0,0.0,0.1194,0.2449,0.2348
412,Giorgio Armani,Armani Code,GREEN,0.2291,0.0018,GREEN,0.1818,0.0,0.1145,0.2291,0.0,0.1455,0.2273,0.1018,0.0
176,Chanel,Allure Eau de Parfum,FLORAL,0.3006,0.0882,FLORAL,0.2004,0.1082,0.3006,0.0,0.0,0.0982,0.0,0.2124,0.0802
934,Calvin Klein,CK IN2U for Her,CITRUS,0.2801,0.0252,GREEN,0.2801,0.0,0.0,0.2549,0.0,0.0644,0.2157,0.1148,0.07
62762,Versace,Eros Eau de Parfum,GOURMAND,0.312,0.0128,GOURMAND,0.1825,0.0,0.0,0.2993,0.0,0.1113,0.0949,0.312,0.0
565,Hugo Boss,Deep Red,CITRUS,0.2096,0.0231,GOURMAND,0.2096,0.1719,0.0964,0.0,0.0,0.1363,0.0985,0.1866,0.1006
2653,Chanel,Allure Homme Edition Blanche,CITRUS,0.2915,0.0875,GOURMAND,0.2915,0.0,0.0,0.1429,0.0,0.1283,0.0671,0.2041,0.1662
523,Chanel,Allure Homme,GOURMAND,0.2724,0.0512,GOURMAND,0.1828,0.0,0.0,0.1024,0.0,0.1261,0.2212,0.2724,0.0951
13066,Trussardi,Trussardi Donna (2011),FLORAL,0.2968,0.0695,FLORAL,0.2105,0.1368,0.2968,0.0,0.0,0.0758,0.0,0.2274,0.0526
612,Chanel,Coco Mademoiselle Eau de Toilette,WOODY,0.358,0.0621,WOODY,0.2959,0.0,0.1598,0.0888,0.0,0.358,0.0976,0.0,0.0
56324,Dior,Sauvage Parfum,AMBER,0.3206,0.1202,AMBER,0.2004,0.0,0.0,0.1263,0.0,0.1483,0.3206,0.1162,0.0882
