fragrantica_id,brand,name,fs1_argmax,fs1_top1,fs1_margin,fs2_argmax,fs1_CITRUS,fs1_FRUITY,fs1_FLORAL,fs1_GREEN,fs1_AQUATIC,fs1_WOODY,fs1_AMBER,fs1_GOURMAND,fs1_MUSK
65738,Diptyque,Orphéon Eau de Parfum,MUSK,0.2309,0.0115,GREEN,0.0,0.0,0.1132,0.2102,0.0,0.2194,0.1547,0.0716,0.2309
83,Elizabeth Arden,Green Tea,GREEN,0.3979,0.0318,GREEN,0.366,0.0,0.0716,0.3979,0.0398,0.0,0.1247,0.0,0.0
74041,Jo Malone London,Wood Sage & Sea Salt Cologne,AQUATIC,0.3678,0.085,AQUATIC,0.0,0.0,0.0998,0.2828,0.3678,0.0,0.0832,0.0,0.1664
132132,Daniel's Truth,Signature Bombshelluth,CITRUS,0.3099,0.0593,CITRUS,0.3099,0.1407,0.2505,0.0,0.0,0.0879,0.0,0.1231,0.0879
9110,Lanvin,Eclat d'Arpege,FLORAL,0.4587,0.2355,FLORAL,0.2231,0.0579,0.4587,0.124,0.0,0.0,0.0826,0.0,0.0537
10131,Le Labo,Another 13,MUSK,0.4438,0.1716,MUSK,0.0,0.071,0.0621,0.0,0.0,0.1509,0.2722,0.0,0.4438
14214,Diptyque,Eau Rose,FLORAL,0.4103,0.1738,FLORAL,0.0769,0.2365,0.4103,0.0912,0.0,0.0,0.1026,0.0,0.0826
32134,Aesop,Tacit,GREEN,0.33,0.0636,GREEN,0.2664,0.0,0.0,0.33,0.0,0.169,0.2346,0.0,0.0
20542,Maison Martin Margiela,Lazy Sunday Morning,MUSK,0.5056,0.1685,MUSK,0.1573,0.0,0.3371,0.0,0.0,0.0,0.0,0.0,0.5056
6686,Byredo,Blanche,MUSK,0.4408,0.1437,MUSK,0.1942,0.0,0.2971,0.0,0.0,0.068,0.0,0.0,0.4408
68905,Dior,Miss Dior Eau de Parfum (2021),FLORAL,0.3433,0.0619,FLORAL,0.0863,0.1013,0.3433,0.0,0.0,0.0,0.0,0.2814,0.1876
78945,Dior,Miss Dior Blooming Bouquet (2023),FLORAL,0.5089,0.2768,FLORAL,0.2321,0.0,0.5089,0.0,0.0,0.0,0.0446,0.0595,0.1548
72040,Diptyque,Philosykos Eau de Toilette,GREEN,0.2639,0.0343,GREEN,0.1741,0.1082,0.0,0.2639,0.0,0.2296,0.0,0.2084,0.0158
75979,Forment,Cotton Hug,FLORAL,0.4896,0.1157,FLORAL,0.0861,0.0,0.4896,0.0504,0.0,0.0,0.0,0.0,0.3739
6188,Kiehl's,Original Musk,MUSK,0.4186,0.1512,MUSK,0.1163,0.0,0.2674,0.0,0.0,0.0767,0.0,0.1209,0.4186
8441,Byredo,La Tulipe,FLORAL,0.3676,0.0074,GREEN,0.0441,0.0699,0.3676,0.3603,0.0,0.0551,0.0809,0.0221,0.0
15134,Jo Malone London,Blackberry & Bay,GREEN,0.2236,0.0166,GREEN,0.1387,0.207,0.0455,0.2236,0.0,0.1159,0.1863,0.0828,0.0
