id,brand,name,year,vote_count,group,dominant_accord
32394,Histoires de Parfums,This Is Not A Blue Bottle,2015.0,1557,Amber,aldehydic
2972,Robert Piguet,Baghari 2006,2006.0,895,Amber,aldehydic
16938,Parfums de Marly,Pegasus,2011.0,6435,Amber,almond
45686,Elie Saab,Girl of Now,2017.0,6086,Amber,almond
310,Cartier,Le Baiser Du Dragon,2003.0,4347,Amber,almond
2176,Serge Lutens,Louve,2007.0,2753,Amber,almond
38117,Tesori d'Oriente,Byzantium,2016.0,2508,Amber,almond
39459,Michael Kors,Wonderlust,2016.0,2488,Amber,almond
40816,Maison Francis Kurkdjian,Grand Soir,2016.0,14049,Amber,amber
72821,Lattafa Perfumes,Asad,2021.0,13211,Amber,amber
609,Chanel,Coco Eau de Parfum,1984.0,12952,Amber,amber
2762,Serge Lutens,Chergui,2001.0,12552,Amber,amber
52616,Kayali Fragrances,Vanilla | 28,2018.0,11136,Amber,amber
46066,Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait de Parfum,2017.0,10965,Amber,amber
248,Calvin Klein,Obsession,1985.0,10420,Amber,amber
15294,Amouage,Interlude Man,2012.0,8823,Amber,amber
48682,Prada,Luna Rossa Black,2018.0,7452,Amber,amber
7399,Yves Saint Laurent,Opium Eau de Parfum 2009,2009.0,7421,Amber,amber
42027,Jo Malone London,Myrrh & Tonka,2016.0,7146,Amber,amber
3168,Hermès,Elixir des Merveilles,2006.0,6703,Amber,amber
2366,Amouage,Jubilation XXV Man,2007.0,6691,Amber,amber
49755,Louis Vuitton,Ombre Nomade,2018.0,6612,Amber,amber
15452,Mugler,Alien Essence Absolue,2012.0,6290,Amber,amber
46797,Mercedes-Benz,Mercedes Benz Club Black Eau de Toilette,2017.0,6171,Amber,amber
34761,Giorgio Armani,Armani Code Profumo,2016.0,5480,Amber,amber
765,Salvador Dali,Dali Parfum de Toilette,1985.0,5072,Amber,amber
3606,Escentric Molecules,Molecule 02,2008.0,5056,Amber,amber
3607,Escentric Molecules,Escentric 02,2008.0,4988,Amber,amber
9685,Van Cleef & Arpels,Midnight in Paris,2010.0,4747,Amber,amber
7145,Chanel,Les Exclusifs de Chanel Coromandel,,4652,Amber,amber
15727,Tom Ford,Noir,2012.0,4487,Amber,amber
34935,Guerlain,Les Absolus d'Orient Ambre Eternel,2016.0,801,Amber,animalic
30945,Amouage,The Library Collection Opus IX,2015.0,751,Amber,animalic
1229,Mugler,Eau de Star,2007.0,1253,Amber,aquatic
430,Jean Paul Gaultier,Le Male,1995.0,24545,Amber,aromatic
70465,Lattafa Perfumes,Fakhar Black,2022.0,7403,Amber,aromatic
9241,Diptyque,Eau Duelle Eau de Toilette,2010.0,6079,Amber,aromatic
64718,Yves Saint Laurent,Y Le Parfum,2021.0,5947,Amber,aromatic
1088,Antonio Banderas,Blue Seduction,2007.0,5297,Amber,aromatic
642,Versace,Dreamer The Original Edition,1996.0,5267,Amber,aromatic
74915,Jean Paul Gaultier,Scandal Pour Homme Le Parfum,2022.0,3762,Amber,aromatic
473,Creed,Original Santal,2005.0,3096,Amber,aromatic
70090,Versace,Eros Parfum,2021.0,2847,Amber,aromatic
103,Guerlain,Jicky,1889.0,2788,Amber,aromatic
992,Lancôme,Hypnôse Homme,2007.0,2697,Amber,aromatic
45499,Donna Karan,DKNY Nectar Love,2017.0,1602,Amber,beeswax
50875,Hugo Boss,Boss The Scent Private Accord for Her ,2018.0,1974,Amber,cacao
748,Comptoir Sud Pacifique,Amour De Cacao,1993.0,1269,Amber,cacao
3729,Pierre Guillaume Paris,Musc Maori 04,2005.0,1182,Amber,cacao
12426,Prada,Prada Candy,2011.0,16567,Amber,caramel
68074,Jean Paul Gaultier,Scandal Pour Homme,2021.0,7173,Amber,caramel
51249,Dolce&Gabbana,The Only One,2018.0,6654,Amber,caramel
50256,Penhaligon's,Changing Constance,2018.0,3035,Amber,caramel
51411,Tom Ford,Lost Cherry,2018.0,17350,Amber,cherry
78578,Tom Ford,Cherry Smoke,2022.0,2861,Amber,cherry
38133,Attar Collection,Khaltat Night,2016.0,3131,Amber,cinnamon
611,Chanel,Coco Mademoiselle,2001.0,32839,Amber,citrus
53,Guerlain,Shalimar Eau de Parfum,1990.0,18379,Amber,citrus
55157,Xerjoff,Erba Pura,2019.0,11897,Amber,citrus
412,Giorgio Armani,Armani Code,2004.0,11579,Amber,citrus
176,Chanel,Allure Eau de Parfum,1999.0,9203,Amber,citrus
934,Calvin Klein,CK IN2U for Her,2007.0,8454,Amber,citrus
62762,Versace,Eros Eau de Parfum,2020.0,8340,Amber,citrus
565,Hugo Boss,Deep Red,2001.0,7678,Amber,citrus
2653,Chanel,Allure Homme Edition Blanche,2008.0,7366,Amber,citrus
523,Chanel,Allure Homme,1999.0,7013,Amber,citrus
13066,Trussardi,Trussardi Donna (2011),2011.0,6655,Amber,citrus
612,Chanel,Coco Mademoiselle Eau de Toilette,2002.0,6075,Amber,citrus
56324,Dior,Sauvage Parfum,2019.0,5948,Amber,citrus
7955,Yves Rocher,Noix de Coco de Malaisie,2000.0,1370,Amber,coconut
45968,Bath & Body Works,At the Beach,2017.0,1210,Amber,coconut
3907,Givenchy,Givenchy Play Intense,2008.0,2808,Amber,coffee
55001,Montale,Ristretto Intense Café,2019.0,2569,Amber,coffee
3258,Bond No 9,New Haarlem,2003.0,2108,Amber,coffee
52924,Yves Saint Laurent,Black Opium Intense,2019.0,2065,Amber,coffee
62199,Tom Ford,Black Orchid Parfum,2020.0,3205,Amber,earthy
12792,Новая Заря (The New Dawn),Mystere,,1955,Amber,earthy
45292,Amouage,Figment Man,2017.0,1406,Amber,earthy
1460,Viktor&Rolf,Flowerbomb,2005.0,20790,Amber,floral
92,Yves Saint Laurent,Cinéma,2004.0,10669,Amber,floral
9677,Gucci,Gucci Guilty,2010.0,9932,Amber,floral
27040,Byredo,Mojave Ghost,2014.0,9687,Amber,floral
22963,Tom Ford,Velvet Orchid,2014.0,8883,Amber,floral
51,Guerlain,L'Instant de Guerlain,2003.0,8193,Amber,floral
15338,Lady Gaga,Fame,2012.0,6975,Amber,floral
86,Elizabeth Arden,Red Door,1989.0,4358,Amber,floral
267,Calvin Klein,Truth,2000.0,4349,Amber,floral
4758,Новая Заря (The New Dawn),Красная Москва (Red Moscow),1925.0,4242,Amber,floral
1871,Avon,Perceive,2000.0,3605,Amber,floral
54157,Bond No 9,Greenwich Village,2019.0,1785,Amber,fresh
631,Versace,Crystal Noir,2004.0,24574,Amber,fresh spicy
48100,Dior,Sauvage Eau de Parfum,2018.0,14088,Amber,fresh spicy
12865,Carolina Herrera,212 VIP Men,2011.0,5528,Amber,fresh spicy
6538,Amouage,Epic Woman,2009.0,4772,Amber,fresh spicy
49751,Louis Vuitton,L’Immensité ,2018.0,4447,Amber,fresh spicy
1115,Burberry,Burberry Brit for Men,2004.0,4029,Amber,fresh spicy
110661,Prada,Paradigme,2025.0,4008,Amber,fresh spicy
10206,Yves Saint Laurent,La Nuit de L'Homme Le Parfum,2010.0,3522,Amber,fresh spicy
1005,Serge Lutens,Arabie,2000.0,3309,Amber,fresh spicy
698,Dolce&Gabbana,The One,2006.0,17070,Amber,fruity
218,Dior,Poison,1985.0,16079,Amber,fruity
172,Lancôme,Trésor,1990.0,13104,Amber,fruity
61519,Mugler,Angel Nova,2020.0,7764,Amber,fruity
67996,Lattafa Perfumes,Qaed Al Fursan,2016.0,6963,Amber,fruity
6103,Mugler,A*Men Pure Malt,2009.0,6708,Amber,fruity
1596,Vera Wang,Princess,2006.0,6579,Amber,fruity
28182,Amouage,Sunshine Woman,2014.0,6492,Amber,fruity
4094,Jessica Simpson,Fancy,2008.0,5963,Amber,fruity
1036,Escada,Escada Magnetism,2003.0,5206,Amber,fruity
68271,Afnan,Supremacy Not Only Intense,2021.0,4704,Amber,fruity
3241,Montale,Mukhallat,2008.0,4132,Amber,fruity
709,Mugler,Innocent,1998.0,3814,Amber,fruity
45639,Mugler,Aura Mugler,2017.0,10549,Amber,green
62021,Marc Jacobs,Perfect,2020.0,4891,Amber,green
521,Rabanne,Ultraviolet Man,2001.0,2651,Amber,green
146,Bvlgari,Eau Parfumée au Thé Rouge,2006.0,2356,Amber,green
50,Guerlain,Chamade,1969.0,1912,Amber,green
30509,Montale,Honey Aoud,2015.0,3265,Amber,honey
59826,Trussardi,Limitless Shopping Via della Spiga,2020.0,2117,Amber,honey
64029,Francesca Bianchi,Tyger Tyger,2020.0,1496,Amber,honey
42254,MAC,Velvet Teddy,2016.0,1445,Amber,honey
18283,Phaedon,Tabac Rouge,2013.0,1372,Amber,honey
45396,Prada,Prada L'Homme Intense,2017.0,6834,Amber,iris
31411,Valentino,Valentino Donna,2015.0,4335,Amber,iris
1980,Yves Rocher,Iris Noir,2007.0,2192,Amber,iris
101596,Dior,Dior Homme Intense 2025,2025.0,2043,Amber,iris
11350,Serge Lutens,Jeux de Peau,2011.0,3432,Amber,lactonic
34503,Yves Saint Laurent,Black Opium Nuit Blanche,2016.0,2408,Amber,lactonic
3670,Diesel,Plus Plus Feminine,1997.0,1278,Amber,lactonic
18714,Diesel,Loverdose Tattoo,2013.0,1178,Amber,lactonic
78740,Valentino,Valentino Uomo Born In Roma Intense,2023.0,10707,Amber,lavender
83296,Yves Saint Laurent,Libre L'Absolu Platine,2023.0,1835,Amber,lavender
9502,Jean Paul Gaultier,Le Male Terrible,2010.0,1028,Amber,lavender
6759,Carolina Herrera,CH Men,2009.0,6317,Amber,leather
154,Bvlgari,Black,1998.0,6032,Amber,leather
16220,Byredo,Black Saffron,2012.0,4354,Amber,leather
19668,Rasasi,La Yuqawam Homme,2012.0,3916,Amber,leather
8590,Histoires de Parfums,1740 Marquis de Sade,2000.0,3677,Amber,leather
75489,Tom Ford,Noir Extreme Parfum,2022.0,3116,Amber,leather
61264,Room 1015,Cherry Punk,2020.0,3035,Amber,leather
66856,Dior,Eden-Roc,2021.0,936,Amber,mineral
59292,Mugler,Alien Mirage,2020.0,730,Amber,mineral
10131,Le Labo,Another 13,2010.0,8510,Amber,musky
71596,Narciso Rodriguez,Musc Noir Rose For Her,2022.0,5712,Amber,musky
1021,Guerlain,Angélique Noire,2005.0,4746,Amber,musky
60867,Narciso Rodriguez,Narciso Eau de Parfum Ambrée,2020.0,3669,Amber,musky
760,Agent Provocateur,Agent Provocateur Maitresse,2006.0,3515,Amber,musky
34973,Prada,Prada Candy Kiss,2016.0,2465,Amber,musky
90957,Kylie Cosmetics,Cosmic Kylie Jenner,2024.0,2284,Amber,musky
4295,Nasomatto,Silver Musk,2008.0,1942,Amber,musky
59827,Trussardi,Passeggiata In Galleria Vittorio Emanuele II,2020.0,2104,Amber,nutty
973,Aquolina,Chocolovers,2006.0,851,Amber,nutty
64948,Lattafa Perfumes,Bade'e Al Oud Oud for Glory,2020.0,7883,Amber,oud
1031,Yves Saint Laurent,M7,2002.0,3678,Amber,oud
28246,Guerlain,Les Absolus d'Orient Santal Royal,2014.0,3531,Amber,oud
32743,Gucci,Intense Oud,2016.0,2838,Amber,oud
48463,Maison Francis Kurkdjian,Oud Satin Mood Extrait de Parfum,2017.0,2755,Amber,oud
15231,Dior,Oud Ispahan,2012.0,2610,Amber,oud
96740,Diptyque,Lilyphéa,2024.0,892,Amber,ozonic
36416,Mugler,Angel Muse,2016.0,8498,Amber,patchouli
13462,Jovoy Paris,Psychedelique,2011.0,2519,Amber,patchouli
31397,Yves Rocher,So Elixir Bois Sensuel,2015.0,1800,Amber,patchouli
4433,L'Artisan Parfumeur,Voleur de Roses,1993.0,1441,Amber,patchouli
72,Kenzo,Flower by Kenzo,2000.0,15995,Amber,powdery
55,Guerlain,Samsara Eau de Parfum,1989.0,11161,Amber,powdery
1276,Cacharel,LouLou,1987.0,10730,Amber,powdery
68905,Dior,Miss Dior Eau de Parfum (2021),2021.0,6833,Amber,powdery
208,Guerlain,L'Heure Bleue Eau de Parfum,1912.0,5420,Amber,powdery
18802,Trussardi,My Name,2013.0,4243,Amber,powdery
417,Giorgio Armani,Emporio Armani Lei,1998.0,4215,Amber,powdery
1196,Slava Zaitsev,Maroussia,1992.0,3176,Amber,powdery
90174,By Kilian,Princess,2022.0,2817,Amber,powdery
684,Gucci,Gucci Eau de Parfum,2002.0,2782,Amber,powdery
25315,Guerlain,Samsara Eau de Toilette,1989.0,2685,Amber,powdery
31771,Montale,Starry Nights,2015.0,2530,Amber,powdery
18021,Montale,Intense Cafe,2013.0,10221,Amber,rose
30352,Maison Francis Kurkdjian,Oud Satin Mood,2015.0,9793,Amber,rose
50370,Parfums de Marly,Delina Exclusif,2018.0,7529,Amber,rose
15210,Mancera,Roses Vanille,2011.0,6768,Amber,rose
17162,Serge Lutens,La Fille de Berlin,2013.0,6315,Amber,rose
31931,Byredo,Rose Of No Man's Land,2015.0,4686,Amber,rose
57587,Initio Parfums Prives,Atomic Rose,2019.0,4072,Amber,rose
4622,Amouage,Lyric Man,2008.0,4047,Amber,rose
68214,Lattafa Perfumes,Bade'e Al Oud Amethyst,2021.0,3874,Amber,rose
15286,Jo Malone London,Velvet Rose & Oud,2012.0,3444,Amber,rose
38259,Amouage,Myths Man,2016.0,2072,Amber,smoky
18368,Comme des Garcons,Black Eau de Toilette,2013.0,1612,Amber,smoky
51705,Akro,Smoke,2018.0,1201,Amber,smoky
562,Yves Saint Laurent,Opium Pour Homme,1995.0,5155,Amber,soft spicy
12446,Diesel,Loverdose,2011.0,4164,Amber,soft spicy
6433,Lolita Lempicka,Si Lolita,2009.0,3838,Amber,soft spicy
704,Mugler,Angel,1992.0,34436,Amber,sweet
75805,Lattafa Perfumes,Khamrah,2022.0,28015,Amber,sweet
39681,Carolina Herrera,Good Girl,2016.0,24694,Amber,sweet
72158,Jean Paul Gaultier,Le Beau Le Parfum,2022.0,17189,Amber,sweet
29157,Lancôme,La Nuit Trésor,2015.0,12612,Amber,sweet
4322,By Kilian,Love Don't Be Shy,2007.0,12552,Amber,sweet
14681,Guerlain,La Petite Robe Noire,2012.0,11689,Amber,sweet
76880,Lattafa Perfumes,Yara,2020.0,11290,Amber,sweet
84109,Parfums de Marly,Althaïr,2023.0,10391,Amber,sweet
43632,By Kilian,Black Phantom,2017.0,10018,Amber,sweet
37735,Guerlain,L’Homme Idéal Eau de Parfum,2016.0,9913,Amber,sweet
4193,Montblanc,Individuel,2003.0,8410,Amber,sweet
57384,Montale,Arabians Tonka,2019.0,8280,Amber,sweet
11444,Mugler,A*Men Pure Havane,2011.0,7477,Amber,sweet
63079,Sol de Janeiro,Cheirosa '71,2020.0,7236,Amber,sweet
306,Carolina Herrera,212 Sexy,2004.0,7038,Amber,sweet
6457,By Kilian,Back to Black,2009.0,6504,Amber,sweet
804,Burberry,London for Men,2006.0,12026,Amber,tobacco
12520,Calvin Klein,CK One Shock For Him,2011.0,7633,Amber,tobacco
84413,By Kilian,Smoking Hot,2023.0,3232,Amber,tobacco
53015,Zoologist Perfumes,Chameleon,2019.0,1480,Amber,tropical
14728,Avon,Far Away Exotic,2012.0,950,Amber,tropical
55838,Bvlgari,Splendida Tubereuse Mystique ,2019.0,1673,Amber,tuberose
91640,Casamorati 1888,Quattro Pizzi,2024.0,1527,Amber,tuberose
56457,Yves Rocher,Plein Soleil,2019.0,1142,Amber,tuberose
25324,Yves Saint Laurent,Black Opium,2014.0,33864,Amber,vanilla
1825,Tom Ford,Tobacco Vanille,2007.0,30312,Amber,vanilla
219,Dior,Hypnotic Poison,1998.0,29831,Amber,vanilla
81642,Jean Paul Gaultier,Le Male Elixir,2023.0,24280,Amber,vanilla
52802,Giorgio Armani,Emporio Armani Stronger With You Intensely ,2019.0,23874,Amber,vanilla
