id,brand,name,year,gender,vote_count,people,accords,accord_rank,notes_flat,notes_top,notes_middle,notes_base,winter,spring,summer,autumn,day,night,family,group
65738,Diptyque,Orphéon Eau de Parfum,2021.0,unisex,5811,5811.0,powdery:100|woody:95|aromatic:91|fresh spicy:53|white floral:49|vanilla:20|amber:14|sweet:11,powdery|woody|aromatic|fresh spicy|white floral|vanilla|amber|sweet,Cedar|Jasmine|Juniper Berries|Powdery Notes|Tonka Bean,Juniper Berries,Jasmine,Powdery Notes|Cedar|Tonka Bean,1944,2179,1346,2457,2184,1726,Woody Chypre,Woody
83,Elizabeth Arden,Green Tea,1999.0,female,15952,15952.0,citrus:100|green:89|aromatic:61|fresh spicy:47|fresh:38|ozonic:15|white floral:15|floral:12,citrus|green|aromatic|fresh spicy|fresh|ozonic|white floral|floral,Amber|Bergamot|Caraway|Carnation|Celery Seeds|Cloves|Fennel|Green Tea|Jasmine|Lemon|Mint|Musk|Oakmoss|Orange Peel|Rhubarb|White Amber,Lemon|Bergamot|Mint|Orange Peel|Rhubarb,Jasmine|Musk|Oakmoss|Fennel|Carnation|White Amber,Green Tea|Jasmine|Musk|Oakmoss|Celery Seeds|Caraway|Cloves|Amber,534,5842,7625,923,7592,499,Citrus Aromatic,Fresh
74041,Jo Malone London,Wood Sage & Sea Salt Cologne,2022.0,unisex,124,124.0,salty:100|aromatic:90|musky:90|herbal:63|floral:54|marine:50|mineral:49|soft spicy:45,salty|aromatic|musky|herbal|floral|marine|mineral|soft spicy,Ambrette (Musk Mallow)|Mineral notes|Sage|Sea Salt,Ambrette (Musk Mallow),Sea Salt|Mineral notes,Sage,18,48,67,21,62,16,Woody Aromatic,Woody
132132,Daniel's Truth,Signature Bombshelluth,2023.0,unisex,1,1.0,fresh:100|floral:74|fruity:64|sweet:56|citrus:41|musky:40|woody:40|white floral:40,fresh|floral|fruity|sweet|citrus|musky|woody|white floral,Amber|Blueberry|Citrus|Lily of the Valley|Orchid|Passionfruit|Peony|White Musk|Woodsy Notes,Passionfruit|Citrus,Blueberry|Orchid|Peony|Lily of the Valley,White Musk|Amber|Woodsy Notes,1,1,1,1,1,1,Floral Fruity,Floral
9110,Lanvin,Eclat d'Arpege,2010.0,female,780,780.0,floral:100|fresh:54|green:30|fruity:14|musky:13|soft spicy:11|rose:11|fresh spicy:9,floral|fresh|green|fruity|musky|soft spicy|rose|fresh spicy,Amber|Cedar|Chinese Osmanthus|Green Lilac|Green Tea|Musk|Peach Blossom|Petitgrain|Red Peony|Wisteria,Green Lilac|Petitgrain,Green Tea|Peach Blossom|Red Peony|Wisteria|Chinese Osmanthus,Musk|Cedar|Amber,32,260,214,46,289,42,Floral Green,Floral
10131,Le Labo,Another 13,2010.0,unisex,8510,8510.0,musky:100|amber:74|woody:51|animalic:29|fruity:24|floral:21|powdery:21|balsamic:18,musky|amber|woody|animalic|fruity|floral|powdery|balsamic,Ambrette (Musk Mallow)|Ambrettolide|Amyl Salicylate|Apple|Cetalox|Citruses|Helvetolide|Iso E Super|Jasmine|Moss|Pear,Pear|Apple|Citruses,Ambrette (Musk Mallow)|Amyl Salicylate|Moss|Jasmine,Iso E Super|Cetalox|Helvetolide|Ambrettolide,2087,2886,2511,2636,2997,1795,Oriental Woody,Amber
14214,Diptyque,Eau Rose,2012.0,female,2958,2958.0,rose:100|fruity:58|floral:44|fresh spicy:36|aromatic:32|musky:29|citrus:27|tropical:25,rose|fruity|floral|fresh spicy|aromatic|musky|citrus|tropical,Bergamot|Black Currant|Geranium|Jasmine|Litchi|Musk|Rose|Virginia Cedar|White Honey,Litchi|Black Currant|Bergamot,Rose|Geranium|Jasmine,Musk|White Honey|Virginia Cedar,181,1141,866,310,1048,191,Floral Fruity,Floral
32134,Aesop,Tacit,2015.0,unisex,1227,1227.0,citrus:100|aromatic:92|fresh spicy:89|green:74|woody:46|earthy:39|fresh:34|warm spicy:29,citrus|aromatic|fresh spicy|green|woody|earthy|fresh|warm spicy,Basil|Citruses|Cloves|Vetiver|Yuzu,Yuzu|Citruses,Basil,Vetiver|Cloves,94,457,488,262,454,117,Woody Aromatic,Woody
20542,Maison Martin Margiela,Lazy Sunday Morning,2013.0,unisex,9131,9131.0,musky:100|fresh:84|white floral:74|aldehydic:72|rose:63|powdery:61|floral:43|soapy:37,musky|fresh|white floral|aldehydic|rose|powdery|floral|soapy,Aldehydes|Ambrette (Musk Mallow)|Indonesian Patchouli Leaf|Iris|Lily-of-the-Valley|Orange Blossom|Pear|Rose|White Musk,Aldehydes|Lily-of-the-Valley|Pear,Rose|Iris|Orange Blossom,White Musk|Ambrette (Musk Mallow)|Indonesian Patchouli Leaf,995,3856,3099,1324,3907,590,Floral Woody Musk,Floral
6686,Byredo,Blanche,2009.0,female,9078,9078.0,fresh:100|aldehydic:95|musky:67|powdery:65|floral:64|rose:50|violet:39|woody:35,fresh|aldehydic|musky|powdery|floral|rose|violet|woody,African Orange Flower|Aldehydes|Musk|Peony|Pink Pepper|Rose|Sandalwood|Violet|Woodsy Notes,Aldehydes|Rose|Pink Pepper,Peony|Violet|African Orange Flower,Musk|Woodsy Notes|Sandalwood,1201,3073,2729,1207,3246,560,Floral Aldehyde,Floral
