fragrantica_id,brand,name,9_family,9_top1,9_margin,9_mass_ratio,8A_family,8A_top1,8A_margin,8A_mass_ratio,8B_family,8B_top1,8B_margin,8B_mass_ratio,7_family,7_top1,7_margin,7_mass_ratio,8A-A_family,8A-A_top1,8A-A_margin,8A-A_mass_ratio,8B-A_family,8B-A_top1,8B-A_margin,8B-A_mass_ratio,7-A_family,7-A_top1,7-A_margin,7-A_mass_ratio
32394,Histoires de Parfums,This Is Not A Blue Bottle,GOURMAND,0.2444,0.0407,0.8976,GOURMAND,0.2892,0.0482,0.7587,FLORAL,0.2695,0.0647,0.6782,FLORAL,0.339,0.1051,0.5393,AMBER,0.2831,0.0387,0.8976,AMBER,0.3727,0.169,0.8976,AMBER,0.5275,0.3238,0.8976
2972,Robert Piguet,Baghari 2006,FLORAL,0.4369,0.1077,0.8376,FLORAL,0.6514,0.4587,0.5619,FLORAL,0.488,0.1203,0.75,FLORAL,0.7717,0.5435,0.4742,FLORAL,0.5504,0.2326,0.6649,FLORAL,0.4369,0.1077,0.8376,FLORAL,0.5504,0.1008,0.6649
16938,Parfums de Marly,Pegasus,GOURMAND,0.5918,0.4392,1.0,GOURMAND,0.6983,0.5937,0.8474,MUSK,0.3737,0.1566,0.4082,GREEN,0.3468,0.0161,0.2557,GOURMAND,0.6983,0.5937,0.8474,AMBER,0.5918,0.4392,1.0,AMBER,0.6983,0.5937,0.8474
45686,Elie Saab,Girl of Now,GOURMAND,0.4929,0.347,1.0,GOURMAND,0.4929,0.347,1.0,FRUITY,0.2877,0.0421,0.5071,FRUITY,0.2877,0.0421,0.5071,GOURMAND,0.4929,0.347,1.0,AMBER,0.5658,0.4199,1.0,AMBER,0.5658,0.4199,1.0
310,Cartier,Le Baiser Du Dragon,WOODY,0.3529,0.0751,1.0,WOODY,0.3529,0.0751,1.0,WOODY,0.4888,0.1742,0.7221,WOODY,0.4888,0.1742,0.7221,WOODY,0.3529,0.0751,1.0,AMBER,0.5051,0.1521,1.0,AMBER,0.5051,0.1521,1.0
2176,Serge Lutens,Louve,GOURMAND,0.5753,0.3995,1.0,GOURMAND,0.6238,0.4332,0.9224,FRUITY,0.414,0.1774,0.4247,FRUITY,0.5066,0.2171,0.347,GOURMAND,0.5753,0.3973,1.0,AMBER,0.6758,0.5,1.0,AMBER,0.7534,0.5776,1.0
38117,Tesori d'Oriente,Byzantium,GOURMAND,0.5815,0.4048,1.0,GOURMAND,0.674,0.4692,0.8628,AMBER,0.4221,0.0943,0.4185,AMBER,0.628,0.2561,0.2813,GOURMAND,0.674,0.4692,0.8628,AMBER,0.7581,0.6209,1.0,AMBER,0.8787,0.7575,0.8628
39459,Michael Kors,Wonderlust,GOURMAND,0.2811,0.0427,1.0,GOURMAND,0.3278,0.0498,0.8577,FLORAL,0.3317,0.0644,0.7189,FLORAL,0.4136,0.0802,0.5765,GOURMAND,0.3278,0.0498,0.8577,AMBER,0.4733,0.2349,1.0,AMBER,0.5519,0.2739,0.8577
40816,Maison Francis Kurkdjian,Grand Soir,AMBER,0.3979,0.0415,1.0,AMBER,0.4637,0.0484,0.8581,AMBER,0.6183,0.3978,0.6436,AMBER,0.7931,0.5862,0.5017,AMBER,0.4904,0.0958,0.9031,AMBER,0.7543,0.6125,1.0,AMBER,0.8851,0.7701,0.9031
72821,Lattafa Perfumes,Asad,AMBER,0.5538,0.3177,1.0,AMBER,0.5951,0.3414,0.9306,AMBER,0.725,0.5409,0.7639,AMBER,0.7975,0.595,0.6944,AMBER,0.5951,0.3414,0.9306,AMBER,0.7899,0.6493,1.0,AMBER,0.8489,0.6978,0.9306
609,Chanel,Coco Eau de Parfum,AMBER,0.3906,0.1718,1.0,AMBER,0.4462,0.1962,0.8753,AMBER,0.5,0.2801,0.7812,AMBER,0.595,0.3333,0.6565,AMBER,0.4462,0.1962,0.8753,AMBER,0.6094,0.4376,1.0,AMBER,0.6962,0.5,0.8753
2762,Serge Lutens,Chergui,AMBER,0.3377,0.0321,1.0,AMBER,0.3809,0.0362,0.8868,AMBER,0.4864,0.2554,0.6943,AMBER,0.5812,0.3052,0.5811,AMBER,0.3809,0.0362,0.8868,AMBER,0.6434,0.483,1.0,AMBER,0.7255,0.5447,0.8868
52616,Kayali Fragrances,Vanilla | 28,GOURMAND,0.3492,0.0053,1.0,GOURMAND,0.4099,0.0062,0.8519,AMBER,0.5285,0.3008,0.6508,AMBER,0.6842,0.4895,0.5026,AMBER,0.4499,0.0716,0.9233,AMBER,0.6931,0.545,1.0,AMBER,0.8281,0.7221,0.9233
46066,Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait de Parfum,AMBER,0.307,0.0497,1.0,AMBER,0.3943,0.0639,0.7787,AMBER,0.4134,0.1155,0.7427,AMBER,0.5888,0.3322,0.5214,AMBER,0.5283,0.271,1.0,AMBER,0.5643,0.3431,1.0,AMBER,0.7856,0.6518,1.0
248,Calvin Klein,Obsession,AMBER,0.3579,0.047,1.0,AMBER,0.5193,0.3056,0.6892,AMBER,0.3889,0.0511,0.9202,AMBER,0.5872,0.3456,0.6094,AMBER,0.6188,0.4494,0.8691,AMBER,0.4376,0.1268,1.0,AMBER,0.7106,0.5412,0.8691
15294,Amouage,Interlude Man,AMBER,0.6707,0.3415,1.0,AMBER,0.6707,0.3415,1.0,AMBER,0.6707,0.3415,1.0,AMBER,0.6707,0.3415,1.0,AMBER,0.6707,0.3415,1.0,AMBER,0.6707,0.3415,1.0,AMBER,0.6707,0.3415,1.0
48682,Prada,Luna Rossa Black,MUSK,0.3016,0.0119,1.0,AMBER,0.4148,0.1449,0.6984,MUSK,0.3716,0.0147,0.8115,AMBER,0.5681,0.3307,0.5099,AMBER,0.535,0.3205,0.879,AMBER,0.4782,0.1766,1.0,AMBER,0.7494,0.6117,0.879
7399,Yves Saint Laurent,Opium Eau de Parfum 2009,AMBER,0.5853,0.4515,1.0,AMBER,0.5853,0.4515,1.0,AMBER,0.6629,0.5114,0.8829,AMBER,0.6629,0.5114,0.8829,AMBER,0.5853,0.4515,1.0,AMBER,0.7023,0.5686,1.0,AMBER,0.7023,0.5686,1.0
42027,Jo Malone London,Myrrh & Tonka,GOURMAND,0.424,0.0321,1.0,GOURMAND,0.424,0.0321,1.0,AMBER,0.6803,0.3606,0.576,AMBER,0.6803,0.3606,0.576,GOURMAND,0.424,0.0321,1.0,AMBER,0.8158,0.6317,1.0,AMBER,0.8158,0.6317,1.0
3168,Hermès,Elixir des Merveilles,AMBER,0.4932,0.2807,1.0,AMBER,0.4932,0.2807,1.0,AMBER,0.6074,0.3456,0.812,AMBER,0.6074,0.3456,0.812,AMBER,0.4932,0.2807,1.0,AMBER,0.6812,0.4687,1.0,AMBER,0.6812,0.4687,1.0
2366,Amouage,Jubilation XXV Man,AMBER,0.5485,0.3544,1.0,AMBER,0.5485,0.3544,1.0,AMBER,0.6551,0.4232,0.8374,AMBER,0.6551,0.4232,0.8374,AMBER,0.5485,0.3544,1.0,AMBER,0.7112,0.517,1.0,AMBER,0.7112,0.517,1.0
49755,Louis Vuitton,Ombre Nomade,WOODY,0.4295,0.0641,1.0,WOODY,0.4295,0.0641,1.0,WOODY,0.4295,0.0641,1.0,WOODY,0.4295,0.0641,1.0,WOODY,0.4295,0.0641,1.0,WOODY,0.4295,0.0641,1.0,WOODY,0.4295,0.0641,1.0
15452,Mugler,Alien Essence Absolue,AMBER,0.4906,0.2781,1.0,AMBER,0.5377,0.3048,0.9125,AMBER,0.623,0.4444,0.7875,AMBER,0.7009,0.5,0.7,AMBER,0.5377,0.3048,0.9125,AMBER,0.7031,0.5625,1.0,AMBER,0.7705,0.6164,0.9125
46797,Mercedes-Benz,Mercedes Benz Club Black Eau de Toilette,AMBER,0.4767,0.189,1.0,AMBER,0.5103,0.2023,0.9342,AMBER,0.6692,0.4308,0.7123,AMBER,0.7373,0.4746,0.6466,AMBER,0.5103,0.2023,0.9342,AMBER,0.7644,0.5945,1.0,AMBER,0.8182,0.6364,0.9342
34761,Giorgio Armani,Armani Code Profumo,AMBER,0.461,0.2411,1.0,AMBER,0.5065,0.2649,0.9102,AMBER,0.5909,0.4333,0.7801,AMBER,0.6678,0.4897,0.6903,AMBER,0.5508,0.331,1.0,AMBER,0.6809,0.5579,1.0,AMBER,0.7707,0.6478,1.0
765,Salvador Dali,Dali Parfum de Toilette,AMBER,0.5,0.2847,1.0,AMBER,0.5486,0.3123,0.9115,AMBER,0.5,0.2847,1.0,AMBER,0.5486,0.3123,0.9115,AMBER,0.5486,0.3123,0.9115,AMBER,0.5,0.2847,1.0,AMBER,0.5486,0.3123,0.9115
3606,Escentric Molecules,Molecule 02,AMBER,0.625,0.25,1.0,AMBER,1.0,1.0,0.625,AMBER,0.625,0.25,1.0,AMBER,1.0,1.0,0.625,AMBER,1.0,1.0,1.0,AMBER,0.625,0.25,1.0,AMBER,1.0,1.0,1.0
3607,Escentric Molecules,Escentric 02,MUSK,0.2952,0.0407,1.0,AMBER,0.361,0.0289,0.7048,MUSK,0.2952,0.0407,1.0,AMBER,0.361,0.0289,0.7048,AMBER,0.5056,0.2486,0.9109,MUSK,0.2952,0.0407,1.0,AMBER,0.5056,0.2486,0.9109
9685,Van Cleef & Arpels,Midnight in Paris,AMBER,0.4865,0.2492,1.0,AMBER,0.5243,0.2686,0.9279,AMBER,0.5473,0.2804,0.8889,AMBER,0.5956,0.3051,0.8168,AMBER,0.5586,0.3213,1.0,AMBER,0.5976,0.3604,1.0,AMBER,0.6697,0.4324,1.0
7145,Chanel,Les Exclusifs de Chanel Coromandel,AMBER,0.4577,0.1593,1.0,AMBER,0.4577,0.1593,1.0,AMBER,0.555,0.1932,0.8246,AMBER,0.555,0.1932,0.8246,AMBER,0.4577,0.1593,1.0,AMBER,0.6331,0.3347,1.0,AMBER,0.6331,0.3347,1.0
15727,Tom Ford,Noir,AMBER,0.413,0.087,1.0,AMBER,0.489,0.1031,0.8444,AMBER,0.413,0.087,1.0,AMBER,0.489,0.1031,0.8444,AMBER,0.489,0.1031,0.8444,AMBER,0.413,0.087,1.0,AMBER,0.489,0.1031,0.8444
34935,Guerlain,Les Absolus d'Orient Ambre Eternel,AMBER,0.3624,0.0797,1.0,AMBER,0.4473,0.0984,0.8102,AMBER,0.389,0.0855,0.9317,AMBER,0.4885,0.1074,0.7419,AMBER,0.5522,0.2694,1.0,AMBER,0.4307,0.148,1.0,AMBER,0.6205,0.3378,1.0
30945,Amouage,The Library Collection Opus IX,MUSK,0.461,0.2268,1.0,FLORAL,0.4344,0.1041,0.539,MUSK,0.461,0.2268,1.0,FLORAL,0.4344,0.1041,0.539,AMBER,0.5432,0.2838,0.9024,MUSK,0.461,0.2268,1.0,AMBER,0.5432,0.2838,0.9024
1229,Mugler,Eau de Star,AQUATIC,0.3864,0.0985,1.0,AQUATIC,0.3864,0.0985,1.0,AQUATIC,0.5426,0.195,0.7121,AQUATIC,0.5426,0.195,0.7121,AQUATIC,0.3864,0.0985,1.0,AQUATIC,0.3864,0.0202,1.0,AQUATIC,0.3864,0.0202,1.0
430,Jean Paul Gaultier,Le Male,GREEN,0.4247,0.1683,1.0,GREEN,0.4597,0.1822,0.9237,GREEN,0.5711,0.2447,0.7436,GREEN,0.6364,0.2727,0.6673,GREEN,0.4597,0.1822,0.9237,AMBER,0.499,0.0744,1.0,AMBER,0.5403,0.0805,0.9237
70465,Lattafa Perfumes,Fakhar Black,GREEN,0.4049,0.1969,0.9022,GREEN,0.4049,0.1969,0.9022,GREEN,0.4049,0.1969,0.9022,GREEN,0.4049,0.1969,0.9022,GREEN,0.4049,0.1969,0.9022,GREEN,0.4049,0.1969,0.9022,GREEN,0.4049,0.1969,0.9022
9241,Diptyque,Eau Duelle Eau de Toilette,AMBER,0.4469,0.2299,1.0,AMBER,0.4847,0.2494,0.9219,AMBER,0.5523,0.2842,0.8091,AMBER,0.6113,0.3145,0.731,AMBER,0.4847,0.2494,0.9219,AMBER,0.6377,0.4208,1.0,AMBER,0.6918,0.4565,0.9219
64718,Yves Saint Laurent,Y Le Parfum,GREEN,0.4572,0.2387,0.8571,GREEN,0.4572,0.2387,0.8571,GREEN,0.4572,0.2387,0.8571,GREEN,0.4572,0.2387,0.8571,GREEN,0.4572,0.2387,0.8571,GREEN,0.4572,0.2387,0.8571,GREEN,0.4572,0.2387,0.8571
1088,Antonio Banderas,Blue Seduction,AQUATIC,0.4172,0.1072,0.9096,AQUATIC,0.4172,0.1072,0.9096,AQUATIC,0.4172,0.1072,0.9096,AQUATIC,0.4172,0.1072,0.9096,AQUATIC,0.4172,0.1072,0.9096,AQUATIC,0.4172,0.1072,0.9096,AQUATIC,0.4172,0.1072,0.9096
642,Versace,Dreamer The Original Edition,GREEN,0.4575,0.2092,1.0,GREEN,0.4575,0.2092,1.0,GREEN,0.5251,0.2401,0.8713,GREEN,0.5251,0.2401,0.8713,GREEN,0.4575,0.2092,1.0,GREEN,0.4575,0.0805,1.0,GREEN,0.4575,0.0805,1.0
74915,Jean Paul Gaultier,Scandal Pour Homme Le Parfum,AMBER,0.3671,0.1374,1.0,AMBER,0.3965,0.1484,0.9259,AMBER,0.4765,0.2418,0.7703,AMBER,0.5273,0.2675,0.6962,AMBER,0.3965,0.1484,0.9259,AMBER,0.5967,0.4159,1.0,AMBER,0.6445,0.4492,0.9259
473,Creed,Original Santal,GREEN,0.4074,0.1508,1.0,GREEN,0.44,0.1629,0.9259,GREEN,0.4302,0.1592,0.9471,GREEN,0.4667,0.1727,0.873,GREEN,0.44,0.1629,0.9259,GREEN,0.4074,0.0979,1.0,GREEN,0.44,0.1057,0.9259
70090,Versace,Eros Parfum,GREEN,0.3717,0.0609,0.935,GREEN,0.3717,0.0609,0.935,GREEN,0.4296,0.0704,0.8089,GREEN,0.4296,0.0704,0.8089,GREEN,0.3717,0.0609,0.935,AMBER,0.4457,0.0739,0.935,AMBER,0.4457,0.0739,0.935
103,Guerlain,Jicky,GREEN,0.3236,0.0799,1.0,GREEN,0.348,0.086,0.9298,GREEN,0.3689,0.0911,0.8772,GREEN,0.401,0.099,0.807,GREEN,0.348,0.086,0.9298,AMBER,0.3665,0.0429,1.0,AMBER,0.3941,0.0461,0.9298
992,Lancôme,Hypnôse Homme,GREEN,0.4205,0.0078,1.0,GREEN,0.4205,0.0078,1.0,GREEN,0.4205,0.0078,1.0,GREEN,0.4205,0.0078,1.0,GREEN,0.4205,0.0078,1.0,GREEN,0.4205,0.0078,1.0,GREEN,0.4205,0.0078,1.0
45499,Donna Karan,DKNY Nectar Love,GOURMAND,0.3833,0.1868,1.0,GOURMAND,0.477,0.2349,0.8035,MUSK,0.3186,0.0032,0.6167,AMBER,0.463,0.125,0.4202,GOURMAND,0.4218,0.0921,0.9086,AMBER,0.5778,0.3813,1.0,AMBER,0.7516,0.5953,0.9086
50875,Hugo Boss,Boss The Scent Private Accord for Her ,GOURMAND,0.5,0.2837,1.0,GOURMAND,0.5,0.2837,1.0,AMBER,0.4326,0.1581,0.5,AMBER,0.4326,0.1581,0.5,GOURMAND,0.5,0.2837,1.0,AMBER,0.7163,0.5791,1.0,AMBER,0.7163,0.5791,1.0
748,Comptoir Sud Pacifique,Amour De Cacao,GOURMAND,0.5925,0.4316,1.0,GOURMAND,0.6278,0.4574,0.9437,AMBER,0.3947,0.1579,0.4075,AMBER,0.458,0.1832,0.3512,GOURMAND,0.6278,0.4574,0.9437,AMBER,0.7534,0.6568,1.0,AMBER,0.7983,0.696,0.9437
3729,Pierre Guillaume Paris,Musc Maori 04,GOURMAND,0.5629,0.3043,1.0,GOURMAND,0.6852,0.3705,0.8215,AMBER,0.5916,0.1832,0.4371,AMBER,1.0,1.0,0.2586,GOURMAND,0.6196,0.2393,0.9085,AMBER,0.8215,0.643,1.0,AMBER,1.0,1.0,0.9085
12426,Prada,Prada Candy,GOURMAND,0.483,0.2112,1.0,GOURMAND,0.6633,0.3267,0.7282,MUSK,0.5258,0.0516,0.517,AMBER,1.0,1.0,0.2451,GOURMAND,0.587,0.174,0.8228,AMBER,0.7282,0.4563,1.0,AMBER,1.0,1.0,0.8228
68074,Jean Paul Gaultier,Scandal Pour Homme,GOURMAND,0.5083,0.3262,1.0,GOURMAND,0.5083,0.3262,1.0,GREEN,0.3702,0.101,0.4917,GREEN,0.3702,0.101,0.4917,GOURMAND,0.5083,0.3262,1.0,AMBER,0.6407,0.4586,1.0,AMBER,0.6407,0.4586,1.0
51249,Dolce&Gabbana,The Only One,GOURMAND,0.5495,0.4026,1.0,GOURMAND,0.6441,0.4971,0.8531,MUSK,0.326,0.0476,0.4505,FLORAL,0.413,0.1141,0.3036,GOURMAND,0.6441,0.4971,0.8531,AMBER,0.637,0.4901,1.0,AMBER,0.7466,0.5996,0.8531
50256,Penhaligon's,Changing Constance,GOURMAND,0.5461,0.3311,1.0,GOURMAND,0.6044,0.3665,0.9035,AMBER,0.4734,0.2609,0.4539,AMBER,0.6012,0.3865,0.3575,GOURMAND,0.6044,0.3665,0.9035,AMBER,0.761,0.6645,1.0,AMBER,0.8422,0.7573,0.9035
51411,Tom Ford,Lost Cherry,GOURMAND,0.5435,0.234,1.0,GOURMAND,0.5435,0.234,1.0,FRUITY,0.678,0.3559,0.4565,FRUITY,0.678,0.3559,0.4565,GOURMAND,0.5435,0.234,1.0,AMBER,0.6905,0.381,1.0,AMBER,0.6905,0.381,1.0
78578,Tom Ford,Cherry Smoke,WOODY,0.4396,0.1541,1.0,WOODY,0.4396,0.1541,1.0,WOODY,0.6152,0.2304,0.7145,WOODY,0.6152,0.2304,0.7145,WOODY,0.4396,0.1541,1.0,WOODY,0.4396,0.1541,1.0,WOODY,0.4396,0.1541,1.0
38133,Attar Collection,Khaltat Night,AMBER,0.3743,0.1021,1.0,AMBER,0.396,0.108,0.9452,AMBER,0.4853,0.1324,0.7713,AMBER,0.5224,0.1425,0.7164,AMBER,0.396,0.108,0.9452,AMBER,0.603,0.3308,1.0,AMBER,0.638,0.35,0.9452
611,Chanel,Coco Mademoiselle,WOODY,0.3279,0.0546,1.0,WOODY,0.3279,0.0546,1.0,WOODY,0.4068,0.0678,0.806,WOODY,0.4068,0.0678,0.806,WOODY,0.3279,0.0546,1.0,WOODY,0.3279,0.0546,1.0,WOODY,0.3279,0.0546,1.0
53,Guerlain,Shalimar Eau de Parfum,WOODY,0.3218,0.046,1.0,WOODY,0.3643,0.052,0.8834,WOODY,0.3664,0.0523,0.8785,WOODY,0.4224,0.0603,0.7619,WOODY,0.3643,0.052,0.8834,AMBER,0.3974,0.0755,1.0,AMBER,0.4498,0.0855,0.8834
55157,Xerjoff,Erba Pura,GOURMAND,0.2449,0.0101,1.0,GOURMAND,0.3201,0.0556,0.7652,MUSK,0.311,0.0429,0.7551,CITRUS,0.3891,0.0078,0.5202,AMBER,0.2766,0.0023,0.8927,AMBER,0.3644,0.1296,1.0,AMBER,0.551,0.3243,0.8927
412,Giorgio Armani,Armani Code,GREEN,0.2291,0.0018,1.0,GREEN,0.2291,0.0018,1.0,GREEN,0.2551,0.002,0.8982,GREEN,0.2551,0.002,0.8982,GREEN,0.2291,0.0018,1.0,AMBER,0.3291,0.1,1.0,AMBER,0.3291,0.1,1.0
176,Chanel,Allure Eau de Parfum,FLORAL,0.3006,0.0882,1.0,FLORAL,0.3268,0.0959,0.9198,FLORAL,0.3817,0.1272,0.7876,FLORAL,0.4249,0.1416,0.7074,FLORAL,0.3268,0.0959,0.9198,FLORAL,0.3006,0.0882,1.0,FLORAL,0.3268,0.0959,0.9198
