fragrantica_id,brand,name,9_family,9_top1,9_margin,9_mass_ratio,8A_family,8A_top1,8A_margin,8A_mass_ratio,8B_family,8B_top1,8B_margin,8B_mass_ratio,7_family,7_top1,7_margin,7_mass_ratio,8A-A_family,8A-A_top1,8A-A_margin,8A-A_mass_ratio,8B-A_family,8B-A_top1,8B-A_margin,8B-A_mass_ratio,7-A_family,7-A_top1,7-A_margin,7-A_mass_ratio
65738,Diptyque,Orphéon Eau de Parfum,MUSK,0.2309,0.0115,1.0,WOODY,0.2853,0.012,0.7691,MUSK,0.2488,0.0124,0.9284,WOODY,0.3146,0.0132,0.6975,WOODY,0.2853,0.012,0.7691,MUSK,0.2309,0.0046,1.0,AMBER,0.2943,0.009,0.7691
83,Elizabeth Arden,Green Tea,GREEN,0.4425,0.1475,0.8992,GREEN,0.4425,0.1475,0.8992,GREEN,0.4425,0.1475,0.8992,GREEN,0.4425,0.1475,0.8992,GREEN,0.4425,0.1475,0.8992,GREEN,0.4425,0.1475,0.8992,GREEN,0.4425,0.1475,0.8992
74041,Jo Malone London,Wood Sage & Sea Salt Cologne,AQUATIC,0.3678,0.085,1.0,AQUATIC,0.4412,0.102,0.8336,AQUATIC,0.3678,0.085,1.0,AQUATIC,0.4412,0.102,0.8336,AQUATIC,0.3678,0.085,1.0,AQUATIC,0.3678,0.085,1.0,AQUATIC,0.3678,0.085,1.0
132132,Daniel's Truth,Signature Bombshelluth,FLORAL,0.3211,0.1408,0.7802,FLORAL,0.3619,0.1587,0.6923,FLORAL,0.3813,0.1672,0.6571,FLORAL,0.4402,0.1931,0.5692,FLORAL,0.3211,0.1408,0.7802,FLORAL,0.3211,0.1408,0.7802,FLORAL,0.3211,0.0507,0.7802
9110,Lanvin,Eclat d'Arpege,FLORAL,0.5904,0.4309,0.7769,FLORAL,0.6343,0.4629,0.7231,FLORAL,0.5904,0.4309,0.7769,FLORAL,0.6343,0.4629,0.7231,FLORAL,0.5904,0.4149,0.7769,FLORAL,0.5904,0.4309,0.7769,FLORAL,0.5904,0.4149,0.7769
10131,Le Labo,Another 13,MUSK,0.4438,0.1716,1.0,AMBER,0.4894,0.2181,0.5562,MUSK,0.4438,0.1716,1.0,AMBER,0.4894,0.2181,0.5562,AMBER,0.6972,0.5363,0.9379,MUSK,0.4438,0.1716,1.0,AMBER,0.6972,0.5363,0.9379
14214,Diptyque,Eau Rose,FLORAL,0.4103,0.1738,1.0,FLORAL,0.4472,0.1894,0.9174,FLORAL,0.4103,0.1738,1.0,FLORAL,0.4472,0.1894,0.9174,FLORAL,0.4103,0.1738,1.0,FLORAL,0.4103,0.1738,1.0,FLORAL,0.4103,0.1738,1.0
32134,Aesop,Tacit,GREEN,0.3539,0.1023,0.9324,GREEN,0.3539,0.1023,0.9324,GREEN,0.3539,0.1023,0.9324,GREEN,0.3539,0.1023,0.9324,GREEN,0.3539,0.1023,0.9324,GREEN,0.3539,0.1023,0.9324,GREEN,0.3539,0.1023,0.9324
20542,Maison Martin Margiela,Lazy Sunday Morning,FLORAL,0.56,0.12,0.8427,FLORAL,1.0,1.0,0.4719,FLORAL,0.56,0.12,0.8427,FLORAL,1.0,1.0,0.4719,FLORAL,0.7159,0.4318,0.6592,FLORAL,0.56,0.12,0.8427,FLORAL,0.7159,0.4318,0.6592
6686,Byredo,Blanche,FLORAL,0.5976,0.2795,0.8058,FLORAL,0.8763,0.7527,0.5495,FLORAL,0.5976,0.2795,0.8058,FLORAL,0.8763,0.7527,0.5495,FLORAL,0.7086,0.5171,0.6796,FLORAL,0.5976,0.2795,0.8058,FLORAL,0.7086,0.5171,0.6796
68905,Dior,Miss Dior Eau de Parfum (2021),FLORAL,0.3758,0.0678,0.9137,FLORAL,0.4729,0.0853,0.7261,FLORAL,0.543,0.2463,0.6323,FLORAL,0.7722,0.5443,0.4447,FLORAL,0.4729,0.0853,0.7261,FLORAL,0.3758,0.0678,0.9137,FLORAL,0.4729,0.0853,0.7261
78945,Dior,Miss Dior Blooming Bouquet (2023),FLORAL,0.5897,0.4103,0.8631,FLORAL,0.7185,0.584,0.7083,FLORAL,0.6333,0.4407,0.8036,FLORAL,0.7844,0.6376,0.6488,FLORAL,0.631,0.4539,0.8065,FLORAL,0.5897,0.4103,0.8631,FLORAL,0.631,0.3801,0.8065
72040,Diptyque,Philosykos Eau de Toilette,GREEN,0.3145,0.0409,0.8391,GREEN,0.3205,0.0417,0.8232,GREEN,0.4184,0.0544,0.6306,GREEN,0.4292,0.0558,0.6148,GREEN,0.3205,0.0417,0.8232,GREEN,0.3145,0.0409,0.8391,GREEN,0.3205,0.0417,0.8232
75979,Forment,Cotton Hug,FLORAL,0.5357,0.1266,0.9139,FLORAL,0.9066,0.8132,0.5401,FLORAL,0.5357,0.1266,0.9139,FLORAL,0.9066,0.8132,0.5401,FLORAL,0.6044,0.2711,0.8101,FLORAL,0.5357,0.1266,0.9139,FLORAL,0.6044,0.2711,0.8101
6188,Kiehl's,Original Musk,MUSK,0.4186,0.1512,1.0,FLORAL,0.46,0.252,0.5814,MUSK,0.4762,0.172,0.8791,FLORAL,0.5808,0.3283,0.4605,AMBER,0.3386,0.0344,0.8791,MUSK,0.4186,0.1512,1.0,AMBER,0.4762,0.172,0.8791
8441,Byredo,La Tulipe,FLORAL,0.3846,0.0077,0.9559,FLORAL,0.3846,0.0077,0.9559,FLORAL,0.3937,0.0079,0.9338,FLORAL,0.3937,0.0079,0.9338,FLORAL,0.3846,0.0077,0.9559,FLORAL,0.3846,0.0077,0.9559,FLORAL,0.3846,0.0077,0.9559
15134,Jo Malone London,Blackberry & Bay,GREEN,0.2236,0.0166,1.0,GREEN,0.2236,0.0166,1.0,GREEN,0.2438,0.0181,0.9172,GREEN,0.2438,0.0181,0.9172,GREEN,0.2236,0.0166,1.0,AMBER,0.2692,0.0455,1.0,AMBER,0.2692,0.0455,1.0
6458,Byredo,Bal d'Afrique,WOODY,0.3843,0.1213,0.9349,WOODY,0.4307,0.136,0.834,WOODY,0.3843,0.1213,0.9349,WOODY,0.4307,0.136,0.834,WOODY,0.4307,0.136,0.834,WOODY,0.3843,0.1213,0.9349,WOODY,0.4307,0.136,0.834
68919,Dashu,Acqua Dive,MUSK,0.245,0.0339,1.0,GREEN,0.2797,0.0158,0.755,MUSK,0.245,0.0339,1.0,GREEN,0.2797,0.0158,0.755,AMBER,0.2697,0.0373,0.9084,MUSK,0.245,0.0339,1.0,AMBER,0.2697,0.0373,0.9084
276,Calvin Klein,CK One,CITRUS,0.3049,0.0213,0.9086,CITRUS,0.3448,0.0241,0.8033,CITRUS,0.3049,0.0213,0.9086,CITRUS,0.3448,0.0241,0.8033,CITRUS,0.3448,0.0241,0.8033,CITRUS,0.3049,0.0213,0.9086,CITRUS,0.3448,0.0241,0.8033
1483,Chanel,Chance Eau Fraiche,WOODY,0.3241,0.0829,1.0,WOODY,0.3886,0.0994,0.8342,WOODY,0.3241,0.0829,1.0,WOODY,0.3886,0.0994,0.8342,WOODY,0.3534,0.0904,0.9171,WOODY,0.3241,0.0829,1.0,WOODY,0.3534,0.0904,0.9171
56741,Ariana Grande,"Thank U, Next",GOURMAND,0.7306,0.5926,1.0,GOURMAND,0.7778,0.6308,0.9394,FRUITY,0.5125,0.25,0.2694,FRUITY,0.6613,0.3226,0.2088,GOURMAND,0.7306,0.5926,1.0,AMBER,0.7306,0.5926,1.0,AMBER,0.7912,0.6532,1.0
