system,short,population,family,family_ko,fragrantica_id,brand,name,top1,family_mass_ratio
S9,9,korea200,CITRUS,시트러스,92647,Versace,Eros Energy,0.5181,1.0
S9,9,korea200,CITRUS,시트러스,30796,Chanel,Chance Eau Vive,0.4049,0.9321
S9,9,korea200,CITRUS,시트러스,2271,Lanvin,Rumeur 2 Rose,0.4049,1.0
S9,9,korea200,CITRUS,시트러스,30567,Nishane,Wulóng Chá,0.3906,1.0
S9,9,korea200,CITRUS,시트러스,46623,John Varvatos,Artisan Pure,0.3846,1.0
S9,9,korea200,FRUITY,프루티,72381,Stéphane Humbert Lucas 777,God of Fire,0.439,0.9071
S9,9,korea200,FRUITY,프루티,653,Salvatore Ferragamo,Incanto Charms,0.41,0.8998
S9,9,korea200,FRUITY,프루티,3779,Lanvin,Jeanne Lanvin,0.3534,0.91
S9,9,korea200,FRUITY,프루티,29165,Jimmy Choo,Jimmy Choo Blossom,0.3378,0.908
S9,9,korea200,FRUITY,프루티,38914,Yves Saint Laurent,Mon Paris,0.3086,0.9101
S9,9,korea200,FLORAL,플로럴,44894,Gucci,Gucci Bloom,0.8224,0.9727
S9,9,korea200,FLORAL,플로럴,17798,Byredo,Inflorescence,0.7606,0.8492
S9,9,korea200,FLORAL,플로럴,87956,Rance 1795,Mathilde,0.6677,0.851
S9,9,korea200,FLORAL,플로럴,75642,Dior,J'adore Parfum d'Eau,0.6475,0.9578
S9,9,korea200,FLORAL,플로럴,18767,Jo Malone London,Peony & Blush Suede,0.6443,0.812
S9,9,korea200,GREEN,그린·아로마틱,43531,Etat Libre d'Orange,You Or Someone Like You,0.5358,1.0
S9,9,korea200,GREEN,그린·아로마틱,35456,John Varvatos,Artisan Blu,0.4875,0.9281
S9,9,korea200,GREEN,그린·아로마틱,64092,Nishane,EGE / ΑΙΓΑΙΟ,0.4703,1.0
S9,9,korea200,GREEN,그린·아로마틱,275,Calvin Klein,CK be,0.4496,1.0
S9,9,korea200,GREEN,그린·아로마틱,109563,Sennok,After Bath,0.4442,1.0
S9,9,korea200,AQUATIC,아쿠아틱,53671,Parfums Berdoues,Azur Riviera,0.5215,1.0
S9,9,korea200,AQUATIC,아쿠아틱,47891,Maison Martin Margiela,Sailing Day,0.4698,0.9123
S9,9,korea200,AQUATIC,아쿠아틱,95642,Issey Miyake,Le Sel d’Issey,0.4555,1.0
S9,9,korea200,AQUATIC,아쿠아틱,1198,Ralph Lauren,Polo Blue,0.4413,0.9342
S9,9,korea200,AQUATIC,아쿠아틱,70985,Maison Martin Margiela,When the Rain Stops,0.3743,1.0
S9,9,korea200,WOODY,우디,46187,Jo Malone London,English Oak & Hazelnut,0.6566,1.0
