population,layout,input,kind,elapsed_sec,trust@5_mean,trust@5_std,knn_overlap@5_mean,knn_overlap@5_std,continuity@5_mean,continuity@5_std,trust@10_mean,trust@10_std,knn_overlap@10_mean,knn_overlap@10_std,continuity@10_mean,continuity@10_std,trust@20_mean,trust@20_std,knn_overlap@20_mean,knn_overlap@20_std,continuity@20_mean,continuity@20_std,distance_rank_corr_mean,distance_rank_corr_std,reminds_pct_mean,reminds_pct_std,also_liked_pct_mean,also_liked_pct_std,neighbor_stability@10,coord_residual
global1000,UMAP,distance,stochastic,23.2,0.9472,0.0023,0.3442,0.004,0.9287,0.0008,0.9366,0.0015,0.3878,0.003,0.9067,0.0007,0.9176,0.0009,0.3964,0.0018,0.8755,0.0009,0.4404,0.0086,0.1689,0.0067,0.3881,0.006,0.6387,0.0069
global1000,t-SNE,distance,stochastic,7.8,0.9694,0.0014,0.4646,0.003,0.913,0.0039,0.9484,0.0033,0.4261,0.0043,0.8911,0.0046,0.9221,0.004,0.4084,0.0052,0.8642,0.0054,0.4141,0.0242,0.1653,0.0059,0.3872,0.0115,0.598,0.0265
global1000,PaCMAP,features,stochastic,4.7,0.9158,0.0063,0.2225,0.0083,0.9154,0.0007,0.9112,0.0043,0.3009,0.0084,0.8991,0.0013,0.8997,0.0036,0.3529,0.0061,0.8739,0.0013,0.4101,0.0073,0.1658,0.0136,0.3813,0.0089,0.4255,0.017
global1000,TriMap-dist,distance,stochastic,10.8,0.9198,0.0049,0.2518,0.0032,0.9249,0.0022,0.9135,0.0044,0.3244,0.003,0.9098,0.0024,0.8996,0.0021,0.3612,0.0038,0.8853,0.0025,0.4487,0.0063,0.1578,0.0068,0.3786,0.0078,0.5057,0.0112
global1000,TriMap-feat,features,stochastic,9.6,0.9171,0.005,0.2576,0.002,0.9231,0.0007,0.9091,0.0059,0.3169,0.0034,0.9082,0.0007,0.8925,0.0063,0.3515,0.0056,0.8842,0.0013,0.4477,0.0044,0.1571,0.0047,0.392,0.0031,0.4626,0.0084
global1000,kNN graph + force,distance,stochastic,14.4,0.7643,0.0021,0.0671,0.0018,0.9199,0.0003,0.7656,0.0028,0.1067,0.0034,0.9162,0.0005,0.7679,0.0028,0.1613,0.0018,0.8931,0.0008,0.5199,0.0022,0.1613,0.0013,0.3672,0.0002,0.6286,0.0044
global1000,PCA,features,deterministic,0.6,0.7477,0.0,0.0496,0.0,0.867,0.0,0.7522,0.0,0.081,0.0,0.8571,0.0,0.7541,0.0,0.1242,0.0,0.8459,0.0,0.4762,0.0,0.2019,0.0,0.3989,0.0,,
korea200,UMAP,distance,stochastic,0.8,0.9402,0.0031,0.466,0.0098,0.9232,0.0017,0.9213,0.0013,0.4846,0.0032,0.9,0.0025,0.9024,0.0039,0.5249,0.004,0.8793,0.0025,0.5922,0.0151,0.1672,0.0118,0.4016,0.009,0.7027,0.0355
korea200,t-SNE,distance,stochastic,2.5,0.9531,0.0036,0.5112,0.0044,0.9092,0.0044,0.9288,0.0037,0.4935,0.0051,0.8869,0.0029,0.9042,0.0038,0.5289,0.0073,0.8705,0.0036,0.5982,0.015,0.1664,0.0222,0.41,0.0161,0.5861,0.0564
korea200,PaCMAP,features,stochastic,1.0,0.9128,0.0076,0.3492,0.0129,0.8982,0.0061,0.9046,0.0072,0.4346,0.007,0.8795,0.0054,0.8926,0.0037,0.5161,0.0049,0.8563,0.0035,0.5192,0.0346,0.1827,0.024,0.3847,0.0238,0.5454,0.0367
korea200,TriMap-dist,distance,stochastic,3.5,0.9404,0.0058,0.4012,0.0108,0.909,0.0007,0.93,0.0048,0.4753,0.006,0.8843,0.0033,0.9106,0.0045,0.5387,0.0089,0.8638,0.0045,0.4899,0.023,0.1569,0.0174,0.4092,0.0029,0.675,0.0248
korea200,TriMap-feat,features,stochastic,3.6,0.9361,0.0035,0.4046,0.0065,0.9126,0.002,0.9213,0.0046,0.4591,0.0059,0.8854,0.0037,0.9029,0.0054,0.5249,0.0046,0.8644,0.0038,0.4961,0.008,0.1784,0.0257,0.3983,0.0076,0.6318,0.0373
korea200,kNN graph + force,distance,stochastic,0.4,0.7892,0.0099,0.1912,0.0124,0.9071,0.0008,0.8034,0.007,0.2976,0.0129,0.9062,0.001,0.8119,0.0089,0.4143,0.0074,0.8904,0.0016,0.5992,0.0043,0.1897,0.0127,0.3878,0.0046,0.4567,0.036
korea200,PCA,features,deterministic,0.1,0.7869,0.0,0.178,0.0,0.8624,0.0,0.7867,0.0,0.2545,0.0,0.8583,0.0,0.7927,0.0,0.3695,0.0,0.8603,0.0,0.5403,0.0,0.2269,0.0,0.3735,0.0,,
