fragrantica_id,brand,name,SetA,SetB,SetC
65738,Diptyque,Orphéon Eau de Parfum,Woody,MUSK,c2
83,Elizabeth Arden,Green Tea,Fresh,GREEN,c2
74041,Jo Malone London,Wood Sage & Sea Salt Cologne,Woody,AQUATIC,c4
132132,Daniel's Truth,Signature Bombshelluth,Floral,FLORAL,c1
9110,Lanvin,Eclat d'Arpege,Floral,FLORAL,c1
10131,Le Labo,Another 13,Amber,MUSK,c3
14214,Diptyque,Eau Rose,Floral,FLORAL,c1
32134,Aesop,Tacit,Woody,GREEN,c2
20542,Maison Martin Margiela,Lazy Sunday Morning,Floral,FLORAL,c6
6686,Byredo,Blanche,Floral,FLORAL,c6
68905,Dior,Miss Dior Eau de Parfum (2021),Amber,FLORAL,c1
78945,Dior,Miss Dior Blooming Bouquet (2023),Floral,FLORAL,c1
72040,Diptyque,Philosykos Eau de Toilette,Fresh,GREEN,c1
75979,Forment,Cotton Hug,Woody,FLORAL,c6
6188,Kiehl's,Original Musk,Floral,MUSK,c6
8441,Byredo,La Tulipe,Floral,FLORAL,c1
15134,Jo Malone London,Blackberry & Bay,Floral,GREEN,c1
6458,Byredo,Bal d'Afrique,Floral,WOODY,c0
68919,Dashu,Acqua Dive,UNCLASSIFIED,MUSK,c0
276,Calvin Klein,CK One,Fresh,CITRUS,c2
1483,Chanel,Chance Eau Fraiche,Woody,WOODY,c2
56741,Ariana Grande,"Thank U, Next",Floral,GOURMAND,c5
1360,Chanel,Chanel N°5 Eau Premiere,Floral,FLORAL,c6
131717,Diptyque,Fleur de Peau,UNCLASSIFIED,MUSK,c6
607,Chanel,Allure Homme Sport,Woody,CITRUS,c2
39970,Ariana Grande,Sweet Like Candy,Floral,GOURMAND,c5
31661,Ariana Grande,Ari,Floral,GOURMAND,c1
611,Chanel,Coco Mademoiselle,Amber,WOODY,c2
30796,Chanel,Chance Eau Vive,Floral,CITRUS,c2
184,Lancôme,Miracle,Floral,FLORAL,c1
12192,Tom Ford,Neroli Portofino,Fresh,CITRUS,c2
48478,Lanvin,Modern Princess Eau Sensuelle,Floral,MUSK,c2
18,Hermès,Un Jardin Sur Le Nil,Floral,GREEN,c2
56077,Yves Saint Laurent,Libre,Amber,GREEN,c6
46187,Jo Malone London,English Oak & Hazelnut,Woody,WOODY,c0
68578,Gucci,Flora Gorgeous Gardenia,Floral,FLORAL,c6
27040,Byredo,Mojave Ghost,Amber,FLORAL,c1
52359,Chanel,Chance Eau Tendre Eau de Parfum,Floral,FLORAL,c1
29165,Jimmy Choo,Jimmy Choo Blossom,Floral,FRUITY,c1
12201,Le Labo,Santal 33,Woody,WOODY,c0
9405,Lanvin,Marry Me,Floral,FLORAL,c1
64167,Aesop,Rozu,Floral,WOODY,c0
131985,Huxley,Moroccan Gardener,Floral,FLORAL,c6
10314,Jo Malone London,English Pear & Freesia,Woody,FLORAL,c1
653,Salvatore Ferragamo,Incanto Charms,Floral,FRUITY,c1
3779,Lanvin,Jeanne Lanvin,Floral,FRUITY,c1
536,Estée Lauder,Pleasures,Floral,FLORAL,c6
68416,Clean,Pure Soap,Fresh,FLORAL,c6
632,Versace,Bright Crystal,Floral,FLORAL,c1
44894,Gucci,Gucci Bloom,Floral,FLORAL,c6
3575,Byredo,Gypsy Water,Woody,AMBER,c2
12310,Jo Malone London,Wild Bluebell,Floral,MUSK,c3
38914,Yves Saint Laurent,Mon Paris,Woody,FRUITY,c1
73661,Santa Maria Novella,Angeli di Firenze,Floral,AQUATIC,c1
50384,Ariana Grande,Cloud,Floral,GOURMAND,c5
17798,Byredo,Inflorescence,Floral,FLORAL,c6
56076,Chanel,Gabrielle Essence,Floral,FLORAL,c6
5484,Jo Malone London,Red Roses,Floral,FLORAL,c1
5585,Jo Malone London,Lime Basil & Mandarin,Fresh,GREEN,c2
109563,Sennok,After Bath,Floral,GREEN,c2
42944,Calvin Klein,CK All,Fresh,FLORAL,c2
75642,Dior,J'adore Parfum d'Eau,Floral,FLORAL,c6
11784,Montblanc,Legend,Fresh,GREEN,c1
25836,Burberry,My Burberry,Floral,FLORAL,c1
275,Calvin Klein,CK be,Floral,GREEN,c2
108962,Tamburins,Pumkini,Fresh,GOURMAND,c2
23032,Clean,Cool Cotton,Fresh,MUSK,c2
10464,Frederic Malle,Portrait of a Lady,Amber,AMBER,c0
18767,Jo Malone London,Peony & Blush Suede,Floral,FLORAL,c1
72062,Dior,Dior Homme Cologne 2022,Fresh,CITRUS,c2
72606,Yves Saint Laurent,Mon Paris Lumière,Floral,FLORAL,c6
31861,Dior,Sauvage,Fresh,AMBER,c2
79437,Jo Malone London,Earl Grey & Cucumber,Fresh,AQUATIC,c2
52002,Montblanc,Explorer,Woody,AMBER,c2
12426,Prada,Prada Candy,Amber,GOURMAND,c3
2271,Lanvin,Rumeur 2 Rose,Floral,CITRUS,c2
3865,Diptyque,Philosykos Eau de Parfum,Woody,GOURMAND,c1
5534,John Varvatos,Artisan,Fresh,CITRUS,c2
644,Versace,Versace Man Eau Fraiche,Woody,CITRUS,c2
2186,Montale,Chocolate Greedy,Amber,GOURMAND,c5
92647,Versace,Eros Energy,Fresh,CITRUS,c2
65792,Jaguar,Jaguar Classic Electric Sky,Fresh,AMBER,c2
96192,Lalique,Soleil Lunar,Floral,FLORAL,c1
39181,Mancera,Aoud Lemon Mint,Woody,GOURMAND,c2
53671,Parfums Berdoues,Azur Riviera,Fresh,AQUATIC,c4
64022,Banana Republic,Metal Rain,Fresh,GREEN,c2
37603,Nishane,Fan Your Flames,UNCLASSIFIED,GOURMAND,c5
74740,Banana Republic,Midnight Hour,Woody,AMBER,c1
45029,Banana Republic,90 Pure White,Floral,GREEN,c2
106298,BMW Fragrances,Bergamood,Fresh,GREEN,c2
1923,Rance 1795,Le Vainqueur,Woody,AQUATIC,c2
93865,SW19,Midnight,Floral,MUSK,c1
95034,Youssoful,Saint Moritz,Fresh,FRUITY,c1
82586,Clean,Apple Blossom,UNCLASSIFIED,FRUITY,c1
116396,Montale,Be My Plum,Floral,FLORAL,c6
74107,Mancera,Jasmin Exclusif,Amber,WOODY,c0
1929,Rance 1795,Josephine,Amber,FLORAL,c1
90739,Montale,Bubble Forever,Floral,CITRUS,c2
44174,Nishane,Hacivat,Woody,WOODY,c1
35456,John Varvatos,Artisan Blu,UNCLASSIFIED,GREEN,c2
