method,fragrantica_id,x,y,family
C1 post-hoc,65738,0.81572,0.44975,MUSK
C1 post-hoc,83,0.93719,0.19794,GREEN
C1 post-hoc,74041,0.85835,0.0,AQUATIC
C1 post-hoc,132132,0.12937,0.31572,FLORAL
C1 post-hoc,9110,0.11075,0.12733,FLORAL
C1 post-hoc,10131,0.3444,0.21907,MUSK
C1 post-hoc,14214,0.01387,0.16312,FLORAL
C1 post-hoc,32134,0.88778,0.24039,GREEN
C1 post-hoc,20542,0.38423,0.14592,FLORAL
C1 post-hoc,6686,0.38508,0.14047,FLORAL
C1 post-hoc,68905,0.18092,0.25907,FLORAL
C1 post-hoc,78945,0.06708,0.13844,FLORAL
C1 post-hoc,72040,0.32857,0.52991,GREEN
C1 post-hoc,75979,0.2991,0.06481,FLORAL
C1 post-hoc,6188,0.3353,0.10739,MUSK
C1 post-hoc,8441,0.11806,0.1105,FLORAL
C1 post-hoc,15134,0.66554,0.28754,GREEN
C1 post-hoc,6458,0.83074,0.49899,WOODY
C1 post-hoc,68919,0.75222,0.51652,MUSK
C1 post-hoc,276,0.89153,0.17259,CITRUS
C1 post-hoc,1483,0.72884,0.23814,WOODY
C1 post-hoc,56741,0.15422,0.53911,GOURMAND
C1 post-hoc,1360,0.3789,0.10089,FLORAL
C1 post-hoc,131717,0.38985,0.18388,MUSK
C1 post-hoc,607,0.81601,0.06186,CITRUS
C1 post-hoc,39970,0.19138,0.49788,GOURMAND
C1 post-hoc,31661,0.14752,0.46795,GOURMAND
C1 post-hoc,611,0.63493,0.16791,WOODY
C1 post-hoc,30796,0.70269,0.15771,CITRUS
C1 post-hoc,184,0.17021,0.14944,FLORAL
C1 post-hoc,12192,0.66821,0.06918,CITRUS
C1 post-hoc,48478,0.26992,0.24786,MUSK
C1 post-hoc,18,0.88164,0.17393,GREEN
C1 post-hoc,56077,0.43928,0.0368,GREEN
C1 post-hoc,46187,0.77153,0.46496,WOODY
C1 post-hoc,68578,0.18824,0.33035,FLORAL
C1 post-hoc,27040,0.282,0.22165,FLORAL
C1 post-hoc,52359,0.14776,0.19939,FLORAL
C1 post-hoc,29165,0.1447,0.42406,FRUITY
C1 post-hoc,12201,0.68844,0.47761,WOODY
C1 post-hoc,9405,0.19698,0.11677,FLORAL
C1 post-hoc,64167,0.84759,0.47558,WOODY
C1 post-hoc,131985,0.26248,0.04451,FLORAL
C1 post-hoc,10314,0.0744,0.28825,FLORAL
C1 post-hoc,653,0.2165,0.36987,FRUITY
C1 post-hoc,3779,0.11601,0.39428,FRUITY
C1 post-hoc,536,0.19634,0.0336,FLORAL
C1 post-hoc,68416,0.41799,0.10497,FLORAL
C1 post-hoc,632,0.10015,0.15426,FLORAL
C1 post-hoc,44894,0.35338,0.00698,FLORAL
C1 post-hoc,3575,0.80749,0.35248,AMBER
C1 post-hoc,12310,0.38682,0.28253,MUSK
C1 post-hoc,38914,0.16366,0.40881,FRUITY
C1 post-hoc,73661,0.07559,0.3153,AQUATIC
C1 post-hoc,50384,0.1732,0.55343,GOURMAND
C1 post-hoc,17798,0.22605,0.0416,FLORAL
C1 post-hoc,56076,0.38655,0.00532,FLORAL
C1 post-hoc,5484,0.00944,0.15796,FLORAL
C1 post-hoc,5585,0.85646,0.19859,GREEN
C1 post-hoc,109563,0.89969,0.39004,GREEN
C1 post-hoc,42944,0.61999,0.06202,FLORAL
C1 post-hoc,75642,0.23102,0.02779,FLORAL
C1 post-hoc,11784,0.67016,0.27859,GREEN
C1 post-hoc,25836,0.09333,0.1749,FLORAL
C1 post-hoc,275,0.97665,0.30213,GREEN
C1 post-hoc,108962,0.78919,0.28757,GOURMAND
C1 post-hoc,23032,0.98457,0.23011,MUSK
C1 post-hoc,10464,0.51688,0.4544,AMBER
C1 post-hoc,18767,0.06154,0.12721,FLORAL
C1 post-hoc,72062,0.66559,0.09417,CITRUS
C1 post-hoc,72606,0.23267,0.10754,FLORAL
C1 post-hoc,31861,0.86258,0.32506,AMBER
C1 post-hoc,79437,0.9571,0.23914,AQUATIC
C1 post-hoc,52002,0.86048,0.321,AMBER
C1 post-hoc,12426,0.39784,0.28573,GOURMAND
C1 post-hoc,2271,0.70912,0.10488,CITRUS
C1 post-hoc,3865,0.33994,0.5393,GOURMAND
C1 post-hoc,5534,0.72461,0.0712,CITRUS
C1 post-hoc,644,0.80408,0.20921,CITRUS
C1 post-hoc,2186,0.40302,0.47407,GOURMAND
C1 post-hoc,92647,0.75835,0.11713,CITRUS
C1 post-hoc,65792,0.9248,0.33955,AMBER
C1 post-hoc,96192,0.25174,0.18615,FLORAL
C1 post-hoc,39181,0.82529,0.14646,GOURMAND
C1 post-hoc,53671,0.83822,0.00261,AQUATIC
C1 post-hoc,64022,0.99732,0.31088,GREEN
C1 post-hoc,37603,0.18452,0.55833,GOURMAND
C1 post-hoc,74740,0.29664,0.41033,AMBER
C1 post-hoc,45029,1.0,0.2948,GREEN
C1 post-hoc,106298,0.79534,0.17008,GREEN
C1 post-hoc,1923,0.97104,0.35795,AQUATIC
C1 post-hoc,93865,0.42007,0.25781,MUSK
C1 post-hoc,95034,0.13938,0.32773,FRUITY
C1 post-hoc,82586,0.09604,0.30547,FRUITY
C1 post-hoc,116396,0.35872,0.00622,FLORAL
C1 post-hoc,74107,0.63819,0.4435,WOODY
C1 post-hoc,1929,0.13148,0.07342,FLORAL
C1 post-hoc,90739,0.54294,0.06992,CITRUS
C1 post-hoc,44174,0.636,0.31756,WOODY
C1 post-hoc,35456,0.87458,0.32237,GREEN
C1 post-hoc,30567,0.7586,0.14378,CITRUS
C1 post-hoc,8339,0.73503,0.13199,CITRUS
C1 post-hoc,54976,0.67728,0.09362,FLORAL
C1 post-hoc,104985,0.71663,0.26259,CITRUS
C1 post-hoc,87956,0.21426,0.00702,FLORAL
C1 post-hoc,95642,0.8419,0.01231,AQUATIC
C1 post-hoc,50790,0.40814,0.23366,MUSK
C1 post-hoc,50786,0.81099,0.31761,WOODY
C1 post-hoc,121230,0.29137,0.51712,GREEN
C1 post-hoc,3024,0.80607,0.03747,CITRUS
C1 post-hoc,73092,0.61091,0.36901,WOODY
C1 post-hoc,106299,0.88841,0.33209,AMBER
C1 post-hoc,31436,0.92012,0.16873,GREEN
C1 post-hoc,890,0.85634,0.44788,WOODY
C1 post-hoc,72796,0.66889,0.42467,WOODY
C1 post-hoc,98468,0.78336,0.11117,CITRUS
C1 post-hoc,59392,0.13848,0.28363,GOURMAND
C1 post-hoc,60320,0.18653,0.3837,FLORAL
C1 post-hoc,54885,0.52395,0.45235,AMBER
C1 post-hoc,122211,0.40045,0.12207,MUSK
C1 post-hoc,10728,0.44069,0.34232,FLORAL
C1 post-hoc,76893,0.43324,0.4566,AMBER
C1 post-hoc,94718,0.71325,0.40227,WOODY
C1 post-hoc,115749,0.89264,0.3574,AMBER
C1 post-hoc,109565,0.40224,0.14103,MUSK
C1 post-hoc,75731,0.80247,0.12838,CITRUS
C1 post-hoc,4849,0.19089,0.13792,FLORAL
C1 post-hoc,42782,0.1696,0.57069,GOURMAND
C1 post-hoc,16657,0.89653,0.23746,GREEN
C1 post-hoc,122669,0.21435,0.29027,GOURMAND
C1 post-hoc,76824,0.19331,0.55307,GOURMAND
C1 post-hoc,42670,0.6248,0.2551,CITRUS
C1 post-hoc,18042,0.16872,0.22137,FLORAL
C1 post-hoc,99134,0.63801,0.1229,AMBER
C1 post-hoc,74636,0.82522,0.0228,AQUATIC
C1 post-hoc,1198,0.99298,0.34187,AQUATIC
C1 post-hoc,4023,0.75927,0.35019,WOODY
C1 post-hoc,43531,0.95091,0.24519,GREEN
C1 post-hoc,129391,0.69432,0.49796,MUSK
C1 post-hoc,123059,0.22478,0.36264,FLORAL
C1 post-hoc,69742,0.1521,0.24157,FLORAL
C1 post-hoc,50789,0.6162,0.14878,FLORAL
C1 post-hoc,6420,0.09447,0.26575,FLORAL
C1 post-hoc,3172,0.83389,0.3668,AMBER
C1 post-hoc,64015,0.41576,0.03975,FLORAL
C1 post-hoc,1924,0.21453,0.08981,FLORAL
C1 post-hoc,16931,0.3549,0.0177,FLORAL
C1 post-hoc,115747,0.73491,0.42192,WOODY
C1 post-hoc,115746,0.83696,0.20872,GREEN
C1 post-hoc,95035,0.22053,0.50682,GOURMAND
C1 post-hoc,50225,0.53027,0.01621,FLORAL
C1 post-hoc,37602,0.37021,0.01486,FLORAL
C1 post-hoc,75969,0.3036,0.46349,GOURMAND
C1 post-hoc,64093,0.43889,0.31285,MUSK
C1 post-hoc,109564,0.78334,0.49182,WOODY
C1 post-hoc,95156,0.19457,0.39131,GOURMAND
C1 post-hoc,31247,0.79138,0.49458,WOODY
C1 post-hoc,1000,0.11341,0.22073,FLORAL
C1 post-hoc,103276,0.68703,0.5093,FLORAL
C1 post-hoc,111273,0.21096,0.2787,FLORAL
C1 post-hoc,57088,0.44104,0.46304,AMBER
C1 post-hoc,50787,0.00747,0.16571,FLORAL
C1 post-hoc,72,0.20855,0.22367,FLORAL
C1 post-hoc,50788,0.86571,0.40426,GREEN
C1 post-hoc,68367,0.13836,0.42681,FRUITY
C1 post-hoc,815,0.98015,0.35568,AQUATIC
C1 post-hoc,85144,0.77942,0.47377,WOODY
C1 post-hoc,90834,0.51984,0.01606,FLORAL
C1 post-hoc,57384,0.36541,0.47628,GOURMAND
C1 post-hoc,46623,0.80445,0.10406,CITRUS
C1 post-hoc,108587,0.05552,0.33503,AQUATIC
C1 post-hoc,84224,0.63296,0.2358,CITRUS
C1 post-hoc,39761,0.16018,0.46876,GOURMAND
C1 post-hoc,70985,0.9647,0.37741,AQUATIC
C1 post-hoc,52180,0.82948,0.15452,CITRUS
C1 post-hoc,72381,0.2543,0.4081,FRUITY
C1 post-hoc,485,0.75606,0.2405,CITRUS
C1 post-hoc,116224,0.67018,0.51372,FLORAL
C1 post-hoc,45711,0.03751,0.14474,FLORAL
C1 post-hoc,103564,0.84882,0.26715,WOODY
C1 post-hoc,63829,0.08045,0.12981,FLORAL
C1 post-hoc,69281,0.8903,0.40414,WOODY
C1 post-hoc,89712,0.56925,0.39557,GOURMAND
C1 post-hoc,54785,0.53429,0.44413,AMBER
C1 post-hoc,47891,0.84482,0.01357,AQUATIC
C1 post-hoc,48434,0.62067,0.31514,WOODY
C1 post-hoc,64092,0.93679,0.2518,GREEN
C1 post-hoc,62372,0.0,0.17303,FLORAL
C1 post-hoc,74739,0.38248,0.00797,FLORAL
C1 post-hoc,120743,0.29761,0.17616,WOODY
C1 post-hoc,32523,0.71774,0.40521,WOODY
C1 post-hoc,49827,0.23129,0.16959,FLORAL
C1 post-hoc,124051,0.38562,0.23847,MUSK
C1 post-hoc,46300,0.10559,0.39202,MUSK
C1 post-hoc,21547,0.08197,0.24466,FLORAL
C1 post-hoc,104123,0.12356,0.35799,MUSK
C1 post-hoc,132011,0.7028,0.08159,CITRUS
C1 post-hoc,114281,0.82242,0.43609,MUSK
C1 post-hoc,114188,0.61034,0.315,CITRUS
C1 post-hoc,98469,0.5532,0.03795,FLORAL
C2 supervised w=0.35,65738,10.201847076416016,7.131924152374268,MUSK
C2 supervised w=0.35,83,1.4094420671463013,8.533646583557129,GREEN
C2 supervised w=0.35,74041,-0.31687766313552856,11.566540718078613,AQUATIC
C2 supervised w=0.35,132132,15.082149505615234,6.715261459350586,FLORAL
C2 supervised w=0.35,9110,15.28841781616211,7.073873519897461,FLORAL
C2 supervised w=0.35,10131,10.037480354309082,7.628146171569824,MUSK
C2 supervised w=0.35,14214,15.939533233642578,6.774652004241943,FLORAL
C2 supervised w=0.35,32134,1.1733001470565796,8.394408226013184,GREEN
C2 supervised w=0.35,20542,16.481401443481445,7.5527191162109375,FLORAL
C2 supervised w=0.35,6686,16.27360725402832,7.202957630157471,FLORAL
C2 supervised w=0.35,68905,16.381412506103516,7.102508068084717,FLORAL
C2 supervised w=0.35,78945,15.738297462463379,6.919007778167725,FLORAL
C2 supervised w=0.35,72040,2.3612618446350098,8.337719917297363,GREEN
C2 supervised w=0.35,75979,16.280899047851562,7.954343318939209,FLORAL
C2 supervised w=0.35,6188,9.942030906677246,7.946227073669434,MUSK
C2 supervised w=0.35,8441,15.129925727844238,7.225135326385498,FLORAL
C2 supervised w=0.35,15134,1.766624927520752,8.680074691772461,GREEN
C2 supervised w=0.35,6458,-1.782870888710022,19.65631103515625,WOODY
C2 supervised w=0.35,68919,10.027814865112305,7.3548383712768555,MUSK
C2 supervised w=0.35,276,7.67496395111084,12.99354362487793,CITRUS
C2 supervised w=0.35,1483,-0.9095867872238159,20.104351043701172,WOODY
C2 supervised w=0.35,56741,4.909963130950928,4.308223724365234,GOURMAND
