family_w,perception_w,base_w,label,korea_cohesion_ratio,korea_ratio_seed_mean,korea_ratio_seed_std,korea_ratio_seed_min,korea_seed_collapsed,korea_neighborhood_top_family_share,korea_size_max_share,korea_on_own_region,korea_fragments_total,korea_trust10,korea_knn_overlap10,korea_reminds_pct,korea_cross_family_proximity,korea_same_family_proximity,shared_note_ge1,shared_rare_accord_ge1,nearest_neighbor_unexplained,y_warmth_rho,x_masculine_rho,global_cross_family_proximity,global_same_family_proximity,gate_a_delta,gate_a,global_trust10,gate_b,global_knn_overlap10,global_reminds_pct,global_cohesion_ratio,overlap_loss_vs_c1_global,region_gain_vs_c1_korea,passes_both
0.0,0.0,1.0,wf=0 wp=0,3.264,3.205,0.043,3.154,False,0.655,0.305,0.79,24,0.9191382113821138,0.4875,0.17587939698492464,0.2402,0.0912,0.7515,0.6845,15,0.4162,0.7528,0.2615,0.1005,0.0,True,0.9387,True,0.3888,0.1766,4.187,0.0,0.0,True
0.0,0.075,0.925,wf=0 wp=0.075,3.144,3.153,0.053,3.069,False,0.633,0.305,0.8,25,0.9150948509485095,0.47700000000000004,0.15749200548195524,0.2179,0.078,0.7565,0.712,7,0.4786,0.7449,0.2412,0.0763,-0.0203,True,0.9284,True,0.3661,0.1542,4.173,0.0227,-0.12,True
0.0,0.15,0.85,wf=0 wp=0.15,3.069,3.1,0.04,3.059,False,0.6195,0.305,0.765,17,0.9116233062330623,0.45,0.1317953403380539,0.1773,0.0719,0.767,0.708,11,0.5352,0.737,0.1864,0.083,-0.0751,True,0.9193,True,0.3426,0.1319,4.046,0.0462,-0.195,True
0.0,0.3,0.7,wf=0 wp=0.3,2.817,2.864,0.043,2.817,False,0.579,0.305,0.7,28,0.8772628726287263,0.36700000000000005,0.08805390589310189,0.0995,0.073,0.762,0.673,15,0.8199,0.8976,0.1489,0.08,-0.1126,True,0.8977,False,0.2775,0.1125,3.797,0.1113,-0.447,False
0.1,0.0,0.9,wf=0.1 wp=0,3.368,3.348,0.049,3.251,False,0.677,0.305,0.78,20,0.9278888888888889,0.4925,0.1478985838282321,0.1982,0.0817,0.766,0.7165,11,0.2383,0.7293,0.2331,0.0799,-0.0284,True,0.9357,True,0.3845,0.1523,4.494,0.0043,0.104,True
0.1,0.075,0.825,wf=0.1 wp=0.075,3.336,3.359,0.035,3.305,False,0.6605,0.305,0.82,18,0.9307533875338754,0.494,0.1317953403380539,0.1771,0.0722,0.7805,0.7185,9,0.6138,0.7519,0.2437,0.0818,-0.0178,True,0.9326,True,0.3718,0.1583,4.461,0.017,0.072,True
0.1,0.15,0.75,wf=0.1 wp=0.15,3.371,3.316,0.034,3.27,False,0.652,0.305,0.8,21,0.9256639566395664,0.4789999999999999,0.1341936957514847,0.1763,0.0788,0.766,0.728,7,0.6807,0.7305,0.2034,0.0755,-0.0581,True,0.9221,True,0.3524,0.1359,4.374,0.0364,0.107,True
0.1,0.3,0.6,wf=0.1 wp=0.3,2.94,2.983,0.101,2.883,False,0.616,0.305,0.74,26,0.8904146341463415,0.3825,0.08793969849246232,0.0985,0.0741,0.7625,0.696,6,0.8137,0.8762,0.1546,0.0848,-0.1069,True,0.9015,True,0.2784,0.1178,4.089,0.1104,-0.324,True
0.2,0.0,0.8,wf=0.2 wp=0,3.793,3.69,0.071,3.598,False,0.7015,0.305,0.85,19,0.9272981029810298,0.48700000000000004,0.1795340338053906,0.2589,0.0751,0.761,0.744,7,0.126,0.6632,0.2633,0.0922,0.0018,True,0.9368,True,0.3741,0.173,4.741,0.0147,0.529,True
0.2,0.075,0.725,wf=0.2 wp=0.075,3.664,3.592,0.049,3.535,False,0.6835,0.305,0.81,20,0.9276151761517615,0.4855,0.13476473275468254,0.1956,0.0547,0.7755,0.736,6,0.4817,0.7796,0.2421,0.0755,-0.0194,True,0.9332,True,0.3633,0.1542,4.804,0.0255,0.4,True
0.2,0.15,0.65,wf=0.2 wp=0.15,3.626,3.64,0.063,3.554,False,0.676,0.305,0.835,21,0.9247723577235772,0.4684999999999999,0.13019643672910006,0.1743,0.0722,0.764,0.726,7,0.748,0.6898,0.2207,0.0543,-0.0408,True,0.9245,True,0.3394,0.1329,4.708,0.0494,0.362,True
0.2,0.3,0.5,wf=0.2 wp=0.3,3.129,3.192,0.039,3.129,False,0.6175,0.305,0.755,22,0.8879810298102981,0.37349999999999994,0.10575605299223391,0.1403,0.0603,0.7515,0.6995,10,0.821,0.875,0.1592,0.0685,-0.1023,True,0.899,False,0.2641,0.1113,4.49,0.1247,-0.135,False
0.35,0.0,0.65,wf=0.35 wp=0,3.888,3.943,0.075,3.885,False,0.71,0.305,0.805,20,0.9228482384823848,0.47200000000000003,0.13430790315212426,0.1918,0.0587,0.76,0.7475,6,0.3854,0.7472,0.292,0.0796,0.0305,True,0.9377,True,0.3633,0.18,5.088,0.0255,0.624,True
0.35,0.075,0.575,wf=0.35 wp=0.075,3.856,3.911,0.058,3.853,False,0.705,0.305,0.84,24,0.9157560975609756,0.4625,0.12779808131566925,0.1837,0.0542,0.7675,0.731,8,0.4062,0.7613,0.2728,0.069,0.0113,True,0.9325,True,0.3444,0.1653,5.035,0.0444,0.592,True
0.35,0.15,0.5,wf=0.35 wp=0.15,3.913,3.921,0.041,3.878,False,0.7085,0.305,0.86,15,0.9099376693766937,0.431,0.14698492462311558,0.2082,0.0664,0.7575,0.7335,11,0.5321,0.7541,0.2273,0.0668,-0.0342,True,0.9191,True,0.3146,0.1427,5.061,0.0742,0.649,True
0.35,0.3,0.35,wf=0.35 wp=0.3,3.444,3.564,0.072,3.444,False,0.665,0.305,0.825,20,0.886739837398374,0.365,0.12996802192782095,0.1747,0.0711,0.7465,0.6875,11,0.7695,0.8286,0.1538,0.0743,-0.1077,True,0.8925,False,0.2386,0.1118,4.736,0.1502,0.18,False
0.5,0.0,0.5,wf=0.5 wp=0,4.099,3.984,0.066,3.919,False,0.7445,0.305,0.885,19,0.9139241192411924,0.45599999999999996,0.1566925536774783,0.2096,0.087,0.7565,0.756,9,0.04,0.6446,0.318,0.0657,0.0565,False,0.9255,True,0.3271,0.1849,5.178,0.0617,0.835,False
0.5,0.075,0.425,wf=0.5 wp=0.075,4.162,4.125,0.023,4.102,False,0.7395,0.305,0.885,24,0.9096260162601626,0.434,0.14995431703974418,0.2293,0.0455,0.7455,0.733,18,0.4996,0.6879,0.2884,0.0654,0.0269,True,0.9231,True,0.3116,0.1708,5.219,0.0772,0.898,True
0.5,0.15,0.35,wf=0.5 wp=0.15,4.014,3.992,0.093,3.815,False,0.731,0.305,0.86,28,0.9034715447154471,0.415,0.1504111466423024,0.2135,0.0674,0.749,0.7215,13,0.3695,0.6908,0.2652,0.0654,0.0037,True,0.9055,True,0.2751,0.1598,5.149,0.1137,0.75,True
0.5,0.3,0.2,wf=0.5 wp=0.3,3.727,3.744,0.058,3.658,False,0.696,0.305,0.82,18,0.878319783197832,0.36450000000000005,0.14732754682503427,0.2048,0.0717,0.7395,0.685,26,0.6507,0.8122,0.1814,0.0803,-0.0801,True,0.875,False,0.2124,0.1281,4.952,0.1764,0.463,False
0.65,0.0,0.35,wf=0.65 wp=0,4.269,4.262,0.076,4.184,False,0.768,0.305,0.9,20,0.9072168021680217,0.4184999999999999,0.17074006395614436,0.2505,0.0659,0.7395,0.704,14,0.3859,0.7136,0.298,0.0751,0.0365,True,0.9147,True,0.2984,0.1804,5.203,0.0904,1.005,True
0.65,0.075,0.275,wf=0.65 wp=0.075,4.175,4.302,0.09,4.175,False,0.7485,0.305,0.89,20,0.9002439024390244,0.41600000000000004,0.17782092279579717,0.2515,0.0809,0.745,0.71,16,0.4787,0.7458,0.2966,0.0683,0.0351,True,0.9062,True,0.2789,0.1762,5.287,0.1099,0.911,True
0.65,0.15,0.2,wf=0.65 wp=0.15,4.184,4.193,0.058,4.102,False,0.754,0.305,0.865,13,0.8955880758807588,0.397,0.15052535404294198,0.2241,0.0537,0.7465,0.705,19,0.5683,0.7637,0.2853,0.0618,0.0238,True,0.8865,False,0.2345,0.1674,5.288,0.1543,0.92,False
