family_w,perception_w,label,projection,point_predeclared,korea_cohesion_ratio,korea_ratio_seed_mean,korea_ratio_seed_std,korea_seeds,korea_on_own_region,korea_fragments_total,korea_trust10,korea_knn_overlap10,korea_reminds_pct,korea_cross_family_proximity,shared_rare_accord_ge1,nearest_neighbor_unexplained,global_cross_family_proximity,gate_a_delta,gate_a,global_trust10,gate_b,global_knn_overlap10,global_reminds_pct,global_cohesion_ratio,passes_both
0.0,0.0,wf=0 wp=0,UMAP,True,3.264,3.211,0.042,3,0.79,24,0.9191382113821138,0.4875,0.17587939698492464,0.2402,0.6845,15,0.2615,0.0,True,0.9387,True,0.3888,0.1766,4.187,True
0.0,0.0,wf=0 wp=0,TriMap-dist,True,3.296,3.235,0.065,3,0.695,20,0.9307262872628727,0.4765,0.18113293741434444,0.2513,0.719,8,0.2217,-0.0398,True,0.9101,True,0.3222,0.1539,4.094,True
0.0,0.15,wf=0 wp=0.15,UMAP,True,3.069,3.089,0.014,3,0.765,17,0.9116233062330623,0.45,0.1317953403380539,0.1773,0.708,11,0.1864,-0.0751,True,0.9193,True,0.3426,0.1319,4.046,True
0.0,0.15,wf=0 wp=0.15,TriMap-dist,True,3.28,3.303,0.016,3,0.71,15,0.9185826558265583,0.4365,0.12528551850159889,0.1857,0.7105,17,0.1666,-0.0949,True,0.8719,False,0.2658,0.126,3.617,False
0.2,0.15,wf=0.2 wp=0.15,UMAP,True,3.626,3.646,0.052,3,0.835,21,0.9247723577235772,0.4684999999999999,0.13019643672910006,0.1743,0.726,7,0.2207,-0.0408,True,0.9245,True,0.3394,0.1329,4.708,True
0.2,0.15,wf=0.2 wp=0.15,TriMap-dist,True,3.787,3.775,0.031,3,0.805,14,0.9192818428184282,0.444,0.1377341251713111,0.2044,0.719,13,0.2045,-0.057,True,0.8988,False,0.2699,0.1349,4.582,False
0.35,0.15,wf=0.35 wp=0.15,UMAP,True,3.913,3.892,0.015,3,0.86,15,0.9099376693766937,0.431,0.14698492462311558,0.2082,0.7335,11,0.2273,-0.0342,True,0.9191,True,0.3146,0.1427,5.061,True
0.35,0.15,wf=0.35 wp=0.15,TriMap-dist,True,4.058,4.082,0.068,3,0.825,16,0.9060758807588076,0.42199999999999993,0.1439013248058474,0.2141,0.7065,23,0.2264,-0.0351,True,0.8823,False,0.2378,0.1493,4.775,False
0.65,0.0,wf=0.65 wp=0,UMAP,False,4.269,4.241,0.02,3,0.9,20,0.9072168021680217,0.4184999999999999,0.17074006395614436,0.2505,0.704,14,0.298,0.0365,True,0.9147,True,0.2984,0.1804,5.203,True
0.65,0.0,wf=0.65 wp=0,TriMap-dist,False,4.156,4.158,0.113,3,0.805,18,0.883750677506775,0.3935,0.14869803563270897,0.2131,0.6815,23,0.3105,0.049,True,0.8683,False,0.2252,0.1889,5.268,False
