candidate,seed,korea_cohesion_ratio,korea_on_own_region,korea_fragments_total,korea_fragments_max,korea_families_with_region,korea_knn_overlap10,korea_trust10,korea_reminds_pct,korea_cross_family_proximity,korea_same_family_proximity,boundary_center_ratio,clear_center_ratio,boundary_gap,global_cross_family_proximity,global_trust10,global_knn_overlap10,global_cohesion_ratio,global_reminds_pct,shared_rare_accord_ge1,nearest_neighbor_unexplained,y_warmth_rho,x_masculine_rho
C1,42,3.264,0.79,24,4,9,0.4875,0.9191,0.1759,0.2402,0.0912,0.4555,0.3454,0.1101,0.2615,0.9387,0.3888,4.187,0.1766,0.6845,15,0.4162,0.7528
C1,1,3.16,0.825,27,4,9,0.4875,0.9232,0.1653,0.2096,0.1069,0.4665,0.3691,0.0974,0.2476,0.9372,0.3826,4.196,0.1675,0.707,7,0.3941,0.7076
C1,2,3.21,0.81,25,4,9,0.4855,0.9212,0.165,0.2107,0.105,0.4626,0.3657,0.0969,0.2566,0.9361,0.3871,4.244,0.1766,0.7075,9,0.3277,0.6931
C1,3,3.236,0.79,20,4,9,0.4835,0.9218,0.1823,0.2259,0.1248,0.4624,0.3567,0.1057,0.2458,0.9341,0.392,4.313,0.1606,0.711,7,0.3168,0.6701
C1,4,3.154,0.795,25,5,9,0.479,0.9213,0.1477,0.1783,0.1074,0.4609,0.3546,0.1063,0.2347,0.9369,0.3883,4.231,0.163,0.7045,10,0.2325,0.7024
Family 0.20,42,3.793,0.85,19,4,9,0.487,0.9273,0.1795,0.2589,0.0751,0.4288,0.2952,0.1336,0.2633,0.9368,0.3741,4.741,0.173,0.744,7,0.126,0.6632
Family 0.20,1,3.623,0.795,21,4,9,0.4895,0.9252,0.1446,0.2088,0.06,0.4352,0.3166,0.1186,0.2443,0.9375,0.3737,4.751,0.1608,0.7255,12,0.3987,0.7417
Family 0.20,2,3.711,0.83,20,4,9,0.479,0.9271,0.1565,0.2249,0.0664,0.4283,0.3078,0.1205,0.2478,0.9399,0.3765,4.718,0.1619,0.7405,13,0.4217,0.7356
Family 0.20,3,3.598,0.855,18,3,9,0.4795,0.9243,0.1359,0.197,0.0555,0.4365,0.3104,0.1261,0.2401,0.937,0.3766,4.714,0.1608,0.7155,11,0.3803,0.7365
Family 0.20,4,3.724,0.83,22,5,9,0.4845,0.9293,0.1324,0.1849,0.0632,0.4449,0.3213,0.1236,0.2428,0.9369,0.3734,4.74,0.1647,0.7415,11,0.2161,0.6999
C8b,42,3.913,0.86,15,2,9,0.431,0.9099,0.147,0.2082,0.0664,0.4336,0.2786,0.155,0.2273,0.9191,0.3146,5.061,0.1427,0.7335,11,0.5321,0.7541
C8b,1,3.885,0.83,13,3,9,0.449,0.9163,0.1455,0.2115,0.0587,0.434,0.2878,0.1462,0.2262,0.9181,0.3112,5.075,0.1372,0.729,14,0.6971,0.7091
C8b,2,3.878,0.865,21,4,9,0.434,0.9088,0.1574,0.2269,0.0659,0.4285,0.2861,0.1424,0.2416,0.9218,0.316,5.031,0.1442,0.737,9,0.5875,0.7558
C8b,3,3.992,0.845,17,3,9,0.45,0.9165,0.1436,0.2121,0.0534,0.4248,0.2845,0.1403,0.2415,0.9207,0.3179,4.999,0.1467,0.7295,16,0.4508,0.7193
C8b,4,3.935,0.84,16,5,9,0.4445,0.9137,0.1409,0.207,0.054,0.4378,0.2846,0.1532,0.221,0.9138,0.3083,4.939,0.138,0.734,13,0.7159,0.6972
Challenger F0.50+P0.075,42,4.162,0.885,24,4,9,0.434,0.9096,0.15,0.2293,0.0455,0.4153,0.2654,0.1499,0.2884,0.9231,0.3116,5.219,0.1708,0.733,18,0.4996,0.6879
Challenger F0.50+P0.075,1,4.121,0.865,14,3,9,0.4375,0.9116,0.1754,0.2533,0.073,0.3934,0.2666,0.1268,0.2909,0.9223,0.3136,5.19,0.1713,0.725,11,0.4288,0.7246
Challenger F0.50+P0.075,2,4.102,0.83,24,4,9,0.434,0.907,0.1415,0.198,0.0672,0.4239,0.2968,0.1271,0.2904,0.9203,0.3129,5.21,0.1719,0.7285,13,0.2416,0.6889
Challenger F0.50+P0.075,3,4.102,0.865,22,4,9,0.4385,0.9117,0.1352,0.1899,0.0632,0.4238,0.2893,0.1345,0.3001,0.9216,0.3172,5.201,0.1755,0.717,12,0.4923,0.7485
Challenger F0.50+P0.075,4,4.137,0.875,21,4,9,0.4425,0.9144,0.1445,0.2167,0.0495,0.412,0.2667,0.1453,0.3028,0.9201,0.3114,5.182,0.1777,0.7375,18,0.5163,0.7424
