fragrantica_id,brand,name,korea_rank,pool_status,family,family_ko,family_top1,in_D0 현재,in_D1 cap30,in_D2 최대균형
65738,Diptyque,Orphéon Eau de Parfum,1,TOP200,MUSK,머스크·파우더리,0.231,True,True,True
83,Elizabeth Arden,Green Tea,2,TOP200,GREEN,그린·아로마틱,0.442,True,True,True
74041,Jo Malone London,Wood Sage & Sea Salt Cologne,3,TOP200,AQUATIC,아쿠아틱,0.368,True,True,True
132132,Daniel's Truth,Signature Bombshelluth,4,TOP200,FLORAL,플로럴,0.321,True,True,True
9110,Lanvin,Eclat d'Arpege,5,TOP200,FLORAL,플로럴,0.59,True,True,True
10131,Le Labo,Another 13,6,TOP200,MUSK,머스크·파우더리,0.444,True,True,True
14214,Diptyque,Eau Rose,7,TOP200,FLORAL,플로럴,0.41,True,True,True
32134,Aesop,Tacit,8,TOP200,GREEN,그린·아로마틱,0.354,True,True,True
20542,Maison Martin Margiela,Lazy Sunday Morning,9,TOP200,FLORAL,플로럴,0.56,True,True,True
6686,Byredo,Blanche,10,TOP200,FLORAL,플로럴,0.598,True,True,True
68905,Dior,Miss Dior Eau de Parfum (2021),11,TOP200,FLORAL,플로럴,0.376,True,True,True
78945,Dior,Miss Dior Blooming Bouquet (2023),12,TOP200,FLORAL,플로럴,0.59,True,True,True
72040,Diptyque,Philosykos Eau de Toilette,13,TOP200,GREEN,그린·아로마틱,0.314,True,True,True
75979,Forment,Cotton Hug,14,TOP200,FLORAL,플로럴,0.536,True,True,True
6188,Kiehl's,Original Musk,15,TOP200,MUSK,머스크·파우더리,0.419,True,True,True
8441,Byredo,La Tulipe,16,TOP200,FLORAL,플로럴,0.385,True,True,True
15134,Jo Malone London,Blackberry & Bay,17,TOP200,GREEN,그린·아로마틱,0.224,True,True,True
6458,Byredo,Bal d'Afrique,18,TOP200,WOODY,우디,0.384,True,True,True
68919,Dashu,Acqua Dive,19,TOP200,MUSK,머스크·파우더리,0.245,True,True,True
276,Calvin Klein,CK One,20,TOP200,CITRUS,시트러스,0.305,True,True,True
1483,Chanel,Chance Eau Fraiche,21,TOP200,WOODY,우디,0.324,True,True,True
56741,Ariana Grande,"Thank U, Next",22,TOP200,GOURMAND,구르망,0.731,True,True,True
1360,Chanel,Chanel N°5 Eau Premiere,23,TOP200,FLORAL,플로럴,0.593,True,True,True
131717,Diptyque,Fleur de Peau,24,TOP200,MUSK,머스크·파우더리,0.467,True,True,True
607,Chanel,Allure Homme Sport,25,TOP200,CITRUS,시트러스,0.263,True,True,True
39970,Ariana Grande,Sweet Like Candy,26,TOP200,GOURMAND,구르망,0.561,True,True,True
31661,Ariana Grande,Ari,27,TOP200,GOURMAND,구르망,0.361,True,True,True
611,Chanel,Coco Mademoiselle,28,TOP200,WOODY,우디,0.328,True,True,True
30796,Chanel,Chance Eau Vive,29,TOP200,CITRUS,시트러스,0.405,True,True,True
184,Lancôme,Miracle,30,TOP200,FLORAL,플로럴,0.334,True,True,True
12192,Tom Ford,Neroli Portofino,31,TOP200,CITRUS,시트러스,0.382,True,True,True
