composition,family,family_ko,argmax,fractional,pool_supply
D0 현재,CITRUS,시트러스,23,22.65,31
D0 현재,FRUITY,프루티,8,14.88,14
D0 현재,FLORAL,플로럴,61,39.28,84
D0 현재,GREEN,그린·아로마틱,21,24.32,32
D0 현재,AQUATIC,아쿠아틱,12,6.94,15
D0 현재,WOODY,우디,23,24.41,32
D0 현재,AMBER,앰버·스파이시,14,20.73,26
D0 현재,GOURMAND,구르망,20,22.67,25
D0 현재,MUSK,머스크·파우더리,18,24.12,27
D1 cap30,CITRUS,시트러스,26,23.15,31
D1 cap30,FRUITY,프루티,9,13.78,14
D1 cap30,FLORAL,플로럴,30,29.33,84
D1 cap30,GREEN,그린·아로마틱,28,27.36,32
D1 cap30,AQUATIC,아쿠아틱,13,7.25,15
D1 cap30,WOODY,우디,28,27.61,32
D1 cap30,AMBER,앰버·스파이시,22,25.08,26
D1 cap30,GOURMAND,구르망,22,22.6,25
D1 cap30,MUSK,머스크·파우더리,22,23.84,27
D2 최대균형,CITRUS,시트러스,24,21.87,31
D2 최대균형,FRUITY,프루티,14,15.79,14
D2 최대균형,FLORAL,플로럴,24,27.83,84
D2 최대균형,GREEN,그린·아로마틱,24,26.09,32
D2 최대균형,AQUATIC,아쿠아틱,15,7.42,15
D2 최대균형,WOODY,우디,24,26.15,32
D2 최대균형,AMBER,앰버·스파이시,25,25.11,26
D2 최대균형,GOURMAND,구르망,25,24.51,25
D2 최대균형,MUSK,머스크·파우더리,25,25.23,27
