composition,seed,observed_cohesion,random_expected_cohesion,cohesion_ratio,neighborhood_top_family_share,families_with_territory,on_own_region,fragments_total,trust10,knn_overlap10,reminds_pct,cross_family_proximity,same_family_proximity,boundary_gap,boundary_perfumes,shared_rare_accord_ge1,nearest_unexplained,y_warmth_rho,x_masculine_rho
D0 현재,42,0.621,0.1587,3.913,0.7085,8,0.86,15,0.9099,0.431,0.147,0.2082,0.0664,0.155,92,0.7335,11,0.5321,0.7541
D0 현재,1,0.6165,0.1587,3.885,0.709,7,0.83,13,0.9163,0.449,0.1455,0.2115,0.0587,0.1462,92,0.729,14,0.6971,0.7091
D0 현재,2,0.6155,0.1587,3.878,0.6975,8,0.865,21,0.9088,0.434,0.1574,0.2269,0.0659,0.1424,92,0.737,9,0.5875,0.7558
D0 현재,3,0.6335,0.1587,3.992,0.7195,7,0.845,17,0.9165,0.45,0.1436,0.2121,0.0534,0.1403,92,0.7295,16,0.4508,0.7193
D0 현재,4,0.6245,0.1587,3.935,0.707,7,0.84,16,0.9137,0.4445,0.1409,0.207,0.054,0.1532,92,0.734,13,0.7159,0.6972
D1 cap30,42,0.625,0.1212,5.159,0.7155,5,0.85,17,0.9118,0.4605,0.1631,0.2306,0.0638,0.1044,93,0.6875,13,0.6406,0.7033
D1 cap30,1,0.6195,0.1212,5.113,0.711,7,0.845,18,0.9187,0.463,0.1671,0.2149,0.097,0.1289,93,0.6865,15,0.5601,0.745
D1 cap30,2,0.596,0.1212,4.92,0.7065,7,0.875,20,0.9089,0.457,0.1481,0.1948,0.0795,0.1281,93,0.6835,15,0.5857,0.7239
D1 cap30,3,0.6155,0.1212,5.08,0.715,7,0.87,19,0.9117,0.4455,0.1555,0.2008,0.089,0.122,93,0.6895,22,0.5766,0.7252
D1 cap30,4,0.6045,0.1212,4.99,0.702,5,0.855,21,0.9081,0.461,0.1636,0.2205,0.0798,0.1172,93,0.6815,15,0.6989,0.7163
D2 최대균형,42,0.6175,0.115,5.37,0.721,6,0.89,21,0.9071,0.4575,0.1783,0.2675,0.068,0.0981,97,0.658,17,0.5443,0.7327
D2 최대균형,1,0.6265,0.115,5.448,0.7245,7,0.87,24,0.9103,0.465,0.1716,0.2553,0.0683,0.1259,97,0.6675,14,0.4952,0.7324
D2 최대균형,2,0.5975,0.115,5.196,0.7085,8,0.865,25,0.9028,0.451,0.1468,0.2065,0.073,0.0881,97,0.6535,8,0.5915,0.7353
D2 최대균형,3,0.6105,0.115,5.309,0.72,7,0.885,29,0.9102,0.4655,0.1748,0.2618,0.0674,0.0994,97,0.675,20,0.528,0.7207
D2 최대균형,4,0.6155,0.115,5.352,0.7205,6,0.87,26,0.9093,0.456,0.1662,0.2462,0.0674,0.1125,97,0.674,10,0.534,0.7441
