composition,direction,fragrantica_id,brand,name,korea_rank,family,family_ko
D1 cap30,빠짐,116396,Montale,Be My Plum,95,FLORAL,플로럴
D1 cap30,빠짐,1929,Rance 1795,Josephine,97,FLORAL,플로럴
D1 cap30,빠짐,54976,Rance 1795,Désirée,103,FLORAL,플로럴
D1 cap30,빠짐,87956,Rance 1795,Mathilde,105,FLORAL,플로럴
D1 cap30,빠짐,60320,Replay,Signature Lovers for Woman,118,FLORAL,플로럴
D1 cap30,빠짐,10728,Rance 1795,Helene,121,FLORAL,플로럴
D1 cap30,빠짐,4849,Philosophy,Amazing Grace,127,FLORAL,플로럴
D1 cap30,빠짐,18042,Mancera,Roses Greedy,133,FLORAL,플로럴
D1 cap30,빠짐,123059,RboW,Tokyo Fig,140,FLORAL,플로럴
D1 cap30,빠짐,69742,Lanvin,Sunny Magnolia,141,FLORAL,플로럴
D1 cap30,빠짐,50789,Essential Parfums,Nice Bergamote,142,FLORAL,플로럴
D1 cap30,빠짐,6420,Rance 1795,Rue Rance Eau De La Couronne,143,FLORAL,플로럴
D1 cap30,빠짐,64015,Jimmy Choo,I Want Choo,145,FLORAL,플로럴
D1 cap30,빠짐,1924,Rance 1795,Eugenie,146,FLORAL,플로럴
D1 cap30,빠짐,16931,Lalique,L'Amour,147,FLORAL,플로럴
D1 cap30,빠짐,50225,Banana Republic,Neroli Woods,151,FLORAL,플로럴
D1 cap30,빠짐,37602,Nishane,Hundred Silent Ways,152,FLORAL,플로럴
D1 cap30,빠짐,1000,Burberry,Weekend for Women,158,FLORAL,플로럴
D1 cap30,빠짐,103276,Essential Parfums,Velvet Iris,159,FLORAL,플로럴
D1 cap30,빠짐,111273,Chloé,Chloé Le Parfum,160,FLORAL,플로럴
D1 cap30,빠짐,50787,Essential Parfums,Rose Magnetic,162,FLORAL,플로럴
D1 cap30,빠짐,72,Kenzo,Flower by Kenzo,163,FLORAL,플로럴
D1 cap30,빠짐,90834,Essential Parfums,Néroli Botanica,168,FLORAL,플로럴
D1 cap30,빠짐,116224,Nishane,Meant To Be Seen,178,FLORAL,플로럴
D1 cap30,빠짐,45711,Philosophy,Amazing Grace Ballet Rose,179,FLORAL,플로럴
D1 cap30,빠짐,63829,Banana Republic,Peony & Peppercorn,181,FLORAL,플로럴
D1 cap30,빠짐,62372,Chloé,Chloé Rose Tangerine,188,FLORAL,플로럴
D1 cap30,빠짐,74739,Banana Republic,Velvet Pomegranate,189,FLORAL,플로럴
D1 cap30,빠짐,49827,Replay,Replay Signature Secret,192,FLORAL,플로럴
D1 cap30,빠짐,21547,Versace,Bright Crystal Absolu,195,FLORAL,플로럴
D1 cap30,빠짐,98469,Adidas,Happy Feels,200,FLORAL,플로럴
D1 cap30,들어옴,50767,Replay,#Tank Plate for Him,201,WOODY,우디
D1 cap30,들어옴,62766,TUMI,Awaken,202,GREEN,그린·아로마틱
D1 cap30,들어옴,88050,Replay,Source of Life Woman,203,CITRUS,시트러스
D1 cap30,들어옴,80039,Trussardi,District of Nolo,205,MUSK,머스크·파우더리
D1 cap30,들어옴,4064,Montale,Vanille Absolu,206,GOURMAND,구르망
D1 cap30,들어옴,114286,Tenui,Feather,208,AMBER,앰버·스파이시
D1 cap30,들어옴,131211,Addct,Void Wood,209,WOODY,우디
D1 cap30,들어옴,57879,Mancera,Amber Fever,210,AMBER,앰버·스파이시
D1 cap30,들어옴,1068,Dolce&Gabbana,Light Blue pour Homme,211,AMBER,앰버·스파이시
D1 cap30,들어옴,93864,SW19,6am,213,GREEN,그린·아로마틱
D1 cap30,들어옴,59828,Trussardi,Behind The Curtain Piazza Alla Scala,214,WOODY,우디
D1 cap30,들어옴,59830,Trussardi,I Vicoli Via Fiori Chiari,215,AMBER,앰버·스파이시
D1 cap30,들어옴,73546,Trussardi,Walking in Porta Venezia,216,GREEN,그린·아로마틱
D1 cap30,들어옴,33443,Montblanc,Legend Spirit,219,CITRUS,시트러스
D1 cap30,들어옴,209,Narciso Rodriguez,Narciso Rodriguez For Her,220,MUSK,머스크·파우더리
D1 cap30,들어옴,123200,Mercedes-Benz,Mercedes-Benz Man Fresh,221,GREEN,그린·아로마틱
D1 cap30,들어옴,81773,Montale,Infinity,222,AMBER,앰버·스파이시
D1 cap30,들어옴,71607,Calvin Klein,CK Everyone Eau de Parfum,223,GREEN,그린·아로마틱
D1 cap30,들어옴,59840,Parfums Berdoues,Guaria Morada,224,WOODY,우디
D1 cap30,들어옴,73336,John Varvatos,XX Artisan Teal,225,AQUATIC,아쿠아틱
D1 cap30,들어옴,38890,Lanvin,Modern Princess,226,FRUITY,프루티
D1 cap30,들어옴,115545,Versace,Crystal Emerald,227,MUSK,머스크·파우더리
D1 cap30,들어옴,110365,Holibanum,Summer Break,228,CITRUS,시트러스
D1 cap30,들어옴,76413,TUMI,Kinetic [--:-- GMT],229,AMBER,앰버·스파이시
D1 cap30,들어옴,70278,TUMI,Continuum,230,AMBER,앰버·스파이시
D1 cap30,들어옴,62770,TUMI,Unwind,233,GREEN,그린·아로마틱
D1 cap30,들어옴,72448,Lalique,Soleil Vibrant,235,GOURMAND,구르망
D1 cap30,들어옴,637,Versace,Blue Jeans,236,GREEN,그린·아로마틱
D1 cap30,들어옴,55532,Grès,Cabochard Chérie,238,WOODY,우디
D1 cap30,들어옴,62839,Memo Paris,Odéon,239,AMBER,앰버·스파이시
D1 cap30,들어옴,101595,Narciso Rodriguez,Narciso Rodriguez For Her Intense,241,MUSK,머스크·파우더리
D2 최대균형,빠짐,42944,Calvin Klein,CK All,61,FLORAL,플로럴
D2 최대균형,빠짐,75642,Dior,J'adore Parfum d'Eau,62,FLORAL,플로럴
D2 최대균형,빠짐,25836,Burberry,My Burberry,64,FLORAL,플로럴
D2 최대균형,빠짐,18767,Jo Malone London,Peony & Blush Suede,69,FLORAL,플로럴
D2 최대균형,빠짐,72606,Yves Saint Laurent,Mon Paris Lumière,71,FLORAL,플로럴
D2 최대균형,빠짐,96192,Lalique,Soleil Lunar,83,FLORAL,플로럴
D2 최대균형,빠짐,116396,Montale,Be My Plum,95,FLORAL,플로럴
D2 최대균형,빠짐,1929,Rance 1795,Josephine,97,FLORAL,플로럴
D2 최대균형,빠짐,54976,Rance 1795,Désirée,103,FLORAL,플로럴
D2 최대균형,빠짐,87956,Rance 1795,Mathilde,105,FLORAL,플로럴
D2 최대균형,빠짐,60320,Replay,Signature Lovers for Woman,118,FLORAL,플로럴
D2 최대균형,빠짐,10728,Rance 1795,Helene,121,FLORAL,플로럴
D2 최대균형,빠짐,4849,Philosophy,Amazing Grace,127,FLORAL,플로럴
D2 최대균형,빠짐,18042,Mancera,Roses Greedy,133,FLORAL,플로럴
D2 최대균형,빠짐,123059,RboW,Tokyo Fig,140,FLORAL,플로럴
D2 최대균형,빠짐,69742,Lanvin,Sunny Magnolia,141,FLORAL,플로럴
D2 최대균형,빠짐,50789,Essential Parfums,Nice Bergamote,142,FLORAL,플로럴
D2 최대균형,빠짐,6420,Rance 1795,Rue Rance Eau De La Couronne,143,FLORAL,플로럴
D2 최대균형,빠짐,64015,Jimmy Choo,I Want Choo,145,FLORAL,플로럴
D2 최대균형,빠짐,1924,Rance 1795,Eugenie,146,FLORAL,플로럴
D2 최대균형,빠짐,16931,Lalique,L'Amour,147,FLORAL,플로럴
D2 최대균형,빠짐,50225,Banana Republic,Neroli Woods,151,FLORAL,플로럴
D2 최대균형,빠짐,37602,Nishane,Hundred Silent Ways,152,FLORAL,플로럴
D2 최대균형,빠짐,1000,Burberry,Weekend for Women,158,FLORAL,플로럴
D2 최대균형,빠짐,103276,Essential Parfums,Velvet Iris,159,FLORAL,플로럴
D2 최대균형,빠짐,111273,Chloé,Chloé Le Parfum,160,FLORAL,플로럴
D2 최대균형,빠짐,50787,Essential Parfums,Rose Magnetic,162,FLORAL,플로럴
D2 최대균형,빠짐,72,Kenzo,Flower by Kenzo,163,FLORAL,플로럴
D2 최대균형,빠짐,90834,Essential Parfums,Néroli Botanica,168,FLORAL,플로럴
D2 최대균형,빠짐,116224,Nishane,Meant To Be Seen,178,FLORAL,플로럴
D2 최대균형,빠짐,45711,Philosophy,Amazing Grace Ballet Rose,179,FLORAL,플로럴
D2 최대균형,빠짐,63829,Banana Republic,Peony & Peppercorn,181,FLORAL,플로럴
D2 최대균형,빠짐,62372,Chloé,Chloé Rose Tangerine,188,FLORAL,플로럴
D2 최대균형,빠짐,74739,Banana Republic,Velvet Pomegranate,189,FLORAL,플로럴
D2 최대균형,빠짐,49827,Replay,Replay Signature Secret,192,FLORAL,플로럴
D2 최대균형,빠짐,21547,Versace,Bright Crystal Absolu,195,FLORAL,플로럴
D2 최대균형,빠짐,98469,Adidas,Happy Feels,200,FLORAL,플로럴
D2 최대균형,들어옴,50767,Replay,#Tank Plate for Him,201,WOODY,우디
D2 최대균형,들어옴,62766,TUMI,Awaken,202,GREEN,그린·아로마틱
D2 최대균형,들어옴,88050,Replay,Source of Life Woman,203,CITRUS,시트러스
D2 최대균형,들어옴,80039,Trussardi,District of Nolo,205,MUSK,머스크·파우더리
D2 최대균형,들어옴,4064,Montale,Vanille Absolu,206,GOURMAND,구르망
D2 최대균형,들어옴,114286,Tenui,Feather,208,AMBER,앰버·스파이시
D2 최대균형,들어옴,57879,Mancera,Amber Fever,210,AMBER,앰버·스파이시
D2 최대균형,들어옴,1068,Dolce&Gabbana,Light Blue pour Homme,211,AMBER,앰버·스파이시
D2 최대균형,들어옴,93864,SW19,6am,213,GREEN,그린·아로마틱
D2 최대균형,들어옴,59830,Trussardi,I Vicoli Via Fiori Chiari,215,AMBER,앰버·스파이시
D2 최대균형,들어옴,73546,Trussardi,Walking in Porta Venezia,216,GREEN,그린·아로마틱
D2 최대균형,들어옴,209,Narciso Rodriguez,Narciso Rodriguez For Her,220,MUSK,머스크·파우더리
D2 최대균형,들어옴,81773,Montale,Infinity,222,AMBER,앰버·스파이시
