composition,seed,family,family_ko,n,area_share,largest_blob_share,pieces,spread,on_own,has_territory
D0 현재,42,CITRUS,시트러스,23,0.1066,0.9675,2,0.304,0.7391,True
D0 현재,42,FRUITY,프루티,8,0.0334,0.6175,3,0.147,1.0,True
D0 현재,42,FLORAL,플로럴,61,0.2968,0.837,4,0.538,0.918,True
D0 현재,42,GREEN,그린·아로마틱,21,0.1619,0.6652,2,0.392,1.0,True
D0 현재,42,AQUATIC,아쿠아틱,12,0.0538,0.9186,3,0.56,0.9167,True
D0 현재,42,WOODY,우디,23,0.0829,0.848,3,0.465,0.6957,True
D0 현재,42,AMBER,앰버·스파이시,14,0.0809,1.0,1,0.379,0.7857,True
D0 현재,42,GOURMAND,구르망,20,0.0843,0.7208,3,0.406,0.85,True
D0 현재,42,MUSK,머스크·파우더리,18,0.0995,0.5101,4,1.001,0.8333,False
D0 현재,1,CITRUS,시트러스,23,0.0931,0.9968,1,0.288,0.7391,True
D0 현재,1,FRUITY,프루티,8,0.0285,0.8737,2,0.131,1.0,False
D0 현재,1,FLORAL,플로럴,61,0.2972,0.8605,3,0.569,0.8689,True
D0 현재,1,GREEN,그린·아로마틱,21,0.1439,0.7474,2,0.404,0.9048,True
D0 현재,1,AQUATIC,아쿠아틱,12,0.0547,0.8736,3,0.613,0.9167,True
D0 현재,1,WOODY,우디,23,0.1415,0.9278,2,0.407,0.7826,True
D0 현재,1,AMBER,앰버·스파이시,14,0.0733,0.9918,1,0.322,0.7143,True
D0 현재,1,GOURMAND,구르망,20,0.0676,0.8489,2,0.328,0.75,True
D0 현재,1,MUSK,머스크·파우더리,18,0.1001,0.5255,6,0.964,0.8333,False
D0 현재,2,CITRUS,시트러스,23,0.1042,0.8989,2,0.306,0.7826,True
D0 현재,2,FRUITY,프루티,8,0.0285,0.7154,2,0.132,1.0,False
D0 현재,2,FLORAL,플로럴,61,0.298,0.9043,2,0.551,0.8852,True
D0 현재,2,GREEN,그린·아로마틱,21,0.1573,0.7169,2,0.395,0.9048,True
D0 현재,2,AQUATIC,아쿠아틱,12,0.0586,0.8277,2,0.571,1.0,True
D0 현재,2,WOODY,우디,23,0.1099,1.0,1,0.4,0.8696,True
D0 현재,2,AMBER,앰버·스파이시,14,0.0799,0.9808,2,0.368,0.8571,True
D0 현재,2,GOURMAND,구르망,20,0.0709,0.8421,2,0.384,0.8,True
D0 현재,2,MUSK,머스크·파우더리,18,0.0926,0.6161,5,0.9,0.7778,True
D0 현재,3,CITRUS,시트러스,23,0.0933,0.9951,1,0.246,0.7391,True
D0 현재,3,FRUITY,프루티,8,0.0131,0.6316,2,0.11,1.0,False
D0 현재,3,FLORAL,플로럴,61,0.2776,0.8402,3,0.506,0.8689,True
D0 현재,3,GREEN,그린·아로마틱,21,0.1363,0.6981,2,0.351,0.9524,True
D0 현재,3,AQUATIC,아쿠아틱,12,0.0859,0.7487,3,0.638,1.0,True
D0 현재,3,WOODY,우디,23,0.1172,0.898,2,0.351,0.7826,True
D0 현재,3,AMBER,앰버·스파이시,14,0.08,0.9799,2,0.35,0.8571,True
D0 현재,3,GOURMAND,구르망,20,0.0873,0.8526,3,0.38,0.75,True
D0 현재,3,MUSK,머스크·파우더리,18,0.1094,0.5441,4,1.045,0.7778,False
D0 현재,4,CITRUS,시트러스,23,0.0988,0.9859,2,0.314,0.913,True
D0 현재,4,FRUITY,프루티,8,0.0293,0.7333,2,0.16,1.0,False
D0 현재,4,FLORAL,플로럴,61,0.3019,0.8688,3,0.551,0.8525,True
D0 현재,4,GREEN,그린·아로마틱,21,0.1378,1.0,1,0.387,0.8571,True
D0 현재,4,AQUATIC,아쿠아틱,12,0.0645,0.9048,2,0.545,0.75,True
D0 현재,4,WOODY,우디,23,0.1261,0.9181,2,0.455,0.8696,True
D0 현재,4,AMBER,앰버·스파이시,14,0.0711,1.0,1,0.381,0.7857,True
D0 현재,4,GOURMAND,구르망,20,0.058,0.6779,4,0.349,0.8,True
D0 현재,4,MUSK,머스크·파우더리,18,0.1124,0.5509,4,1.139,0.7222,False
D1 cap30,42,CITRUS,시트러스,26,0.108,0.9767,2,0.335,0.8077,True
D1 cap30,42,FRUITY,프루티,9,0.005,0.8125,1,0.093,0.7778,False
D1 cap30,42,FLORAL,플로럴,30,0.12,0.9055,2,0.316,0.8333,True
D1 cap30,42,GREEN,그린·아로마틱,28,0.1855,1.0,1,0.34,0.8929,True
D1 cap30,42,AQUATIC,아쿠아틱,13,0.0633,0.5174,3,0.634,0.8462,False
D1 cap30,42,WOODY,우디,28,0.142,1.0,1,0.395,0.8214,True
D1 cap30,42,AMBER,앰버·스파이시,22,0.1301,0.4818,4,0.539,1.0,False
D1 cap30,42,GOURMAND,구르망,22,0.086,0.4103,5,0.466,0.8182,False
D1 cap30,42,MUSK,머스크·파우더리,22,0.16,0.878,4,0.879,0.8182,True
D1 cap30,1,CITRUS,시트러스,26,0.0983,0.8777,4,0.345,0.8462,True
D1 cap30,1,FRUITY,프루티,9,0.015,0.91,2,0.102,1.0,False
D1 cap30,1,FLORAL,플로럴,30,0.0954,0.9795,2,0.357,0.7667,True
D1 cap30,1,GREEN,그린·아로마틱,28,0.1837,0.9926,2,0.329,0.9286,True
D1 cap30,1,AQUATIC,아쿠아틱,13,0.0654,0.931,3,0.661,0.8462,True
D1 cap30,1,WOODY,우디,28,0.1262,1.0,1,0.37,0.8214,True
D1 cap30,1,AMBER,앰버·스파이시,22,0.1343,0.4966,4,0.631,0.9091,False
D1 cap30,1,GOURMAND,구르망,22,0.1074,0.9804,2,0.459,0.7273,True
D1 cap30,1,MUSK,머스크·파우더리,22,0.1743,0.9,3,0.8,0.8636,True
D1 cap30,2,CITRUS,시트러스,26,0.135,0.9355,5,0.339,0.9231,True
D1 cap30,2,FRUITY,프루티,9,0.0096,0.9111,1,0.103,1.0,False
D1 cap30,2,FLORAL,플로럴,30,0.0996,0.8977,2,0.329,0.7667,True
D1 cap30,2,GREEN,그린·아로마틱,28,0.1724,1.0,1,0.336,0.9643,True
D1 cap30,2,AQUATIC,아쿠아틱,13,0.0633,0.9161,2,0.675,0.7692,True
D1 cap30,2,WOODY,우디,28,0.1518,0.9175,3,0.468,0.8571,True
D1 cap30,2,AMBER,앰버·스파이시,22,0.0843,0.5743,6,0.437,0.9545,False
D1 cap30,2,GOURMAND,구르망,22,0.1193,0.9911,1,0.44,0.8182,True
D1 cap30,2,MUSK,머스크·파우더리,22,0.1649,0.8752,2,0.807,0.8636,True
D1 cap30,3,CITRUS,시트러스,26,0.1115,0.8412,4,0.355,0.8077,True
D1 cap30,3,FRUITY,프루티,9,0.0131,0.75,2,0.089,1.0,False
D1 cap30,3,FLORAL,플로럴,30,0.1183,0.8812,2,0.333,0.8667,True
D1 cap30,3,GREEN,그린·아로마틱,28,0.1893,1.0,1,0.326,0.8571,True
D1 cap30,3,AQUATIC,아쿠아틱,13,0.0856,0.8316,2,0.664,1.0,True
D1 cap30,3,WOODY,우디,28,0.1528,0.9343,2,0.378,0.8571,True
D1 cap30,3,AMBER,앰버·스파이시,22,0.1042,0.6042,4,0.584,0.9545,True
D1 cap30,3,GOURMAND,구르망,22,0.1028,0.5755,5,0.42,0.8182,False
D1 cap30,3,MUSK,머스크·파우더리,22,0.1225,0.6051,4,0.803,0.8182,True
D1 cap30,4,CITRUS,시트러스,26,0.1022,0.8662,3,0.346,0.8462,True
D1 cap30,4,FRUITY,프루티,9,0.0208,0.7396,2,0.11,1.0,False
D1 cap30,4,FLORAL,플로럴,30,0.1237,0.7316,3,0.352,0.9,True
D1 cap30,4,GREEN,그린·아로마틱,28,0.1823,1.0,1,0.345,0.9286,True
