fragrantica_id,brand,name,argmax_family,share_CITRUS,share_FRUITY,share_FLORAL,share_GREEN,share_AQUATIC,share_WOODY,share_AMBER,share_GOURMAND,share_MUSK,score_CITRUS,score_FRUITY,score_FLORAL,score_GREEN,score_AQUATIC,score_WOODY,score_AMBER,score_GOURMAND,score_MUSK
65738,Diptyque,Orphéon Eau de Parfum,MUSK,0.0,0.0,0.1132,0.2102,0.0,0.2194,0.1547,0.0716,0.2309,0.0,0.0,0.1132,0.2102,0.0,0.2194,0.1547,0.0716,0.2309
83,Elizabeth Arden,Green Tea,GREEN,0.295,0.0,0.0796,0.4425,0.0442,0.0,0.1386,0.0,0.0,0.295,0.0,0.0796,0.4425,0.0442,0.0,0.1386,0.0,0.0
74041,Jo Malone London,Wood Sage & Sea Salt Cologne,AQUATIC,0.0,0.0,0.0998,0.2828,0.3678,0.0,0.0832,0.0,0.1664,0.0,0.0,0.0998,0.2828,0.3678,0.0,0.0832,0.0,0.1664
132132,Daniel's Truth,Signature Bombshelluth,FLORAL,0.1155,0.1803,0.3211,0.0,0.0,0.1127,0.0,0.1577,0.1127,0.1155,0.1803,0.3211,0.0,0.0,0.1127,0.0,0.1577,0.1127
9110,Lanvin,Eclat d'Arpege,FLORAL,0.0,0.0745,0.5904,0.1596,0.0,0.0,0.1064,0.0,0.0691,0.0,0.0745,0.5904,0.1596,0.0,0.0,0.1064,0.0,0.0691
10131,Le Labo,Another 13,MUSK,0.0,0.071,0.0621,0.0,0.0,0.1509,0.2722,0.0,0.4438,0.0,0.071,0.0621,0.0,0.0,0.1509,0.2722,0.0,0.4438
14214,Diptyque,Eau Rose,FLORAL,0.0769,0.2365,0.4103,0.0912,0.0,0.0,0.1026,0.0,0.0826,0.0769,0.2365,0.4103,0.0912,0.0,0.0,0.1026,0.0,0.0826
32134,Aesop,Tacit,GREEN,0.2132,0.0,0.0,0.3539,0.0,0.1812,0.2516,0.0,0.0,0.2132,0.0,0.0,0.3539,0.0,0.1812,0.2516,0.0,0.0
20542,Maison Martin Margiela,Lazy Sunday Morning,FLORAL,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.44
6686,Byredo,Blanche,FLORAL,0.0,0.0,0.5976,0.0,0.0,0.0843,0.0,0.0,0.3181,0.0,0.0,0.5976,0.0,0.0,0.0843,0.0,0.0,0.3181
