condition,seed,families_with_territory,fragments_total,fruity_territory,fruity_area,fruity_blob,fruity_coverage,mean_coverage
T0,42,8,25,True,0.0334,0.6175,1.0,0.8598
T0,1,7,22,False,0.0285,0.8737,1.0,0.8344
T0,2,8,20,False,0.0285,0.7154,1.0,0.8752
T0,3,7,22,False,0.0131,0.6316,1.0,0.8587
T0,4,7,21,False,0.0293,0.7333,1.0,0.8389
T0w,42,8,25,True,0.0449,0.6829,1.0,0.8801
T0w,1,9,21,True,0.0319,0.8774,1.0,0.87
T0w,2,9,22,True,0.0331,0.9603,1.0,0.8977
T0w,3,8,23,False,0.0159,0.6377,1.0,0.8897
T0w,4,9,21,True,0.0332,0.7479,1.0,0.8694
T1,42,9,20,True,0.0529,0.6897,0.895,0.8146
T1,1,9,17,True,0.0418,1.0,0.895,0.811
T1,2,9,19,True,0.0369,0.7024,0.895,0.7983
T1,3,9,22,True,0.0301,0.916,0.895,0.8143
T1,4,9,19,True,0.041,0.7347,0.895,0.802
T2,42,7,18,True,0.0883,1.0,0.5834,0.5806
T2,1,5,14,True,0.0646,1.0,0.5549,0.5674
T2,2,6,15,True,0.0764,1.0,0.5834,0.5434
T2,3,7,13,True,0.0719,1.0,0.5516,0.5754
T2,4,7,15,True,0.0564,1.0,0.5834,0.5725
T3,42,4,16,True,0.1079,0.9492,0.5717,0.4926
T3,1,3,11,False,0.0739,1.0,0.4559,0.4858
T3,2,4,12,True,0.0904,0.9951,0.5,0.466
T3,3,4,12,False,0.0875,1.0,0.47,0.4877
T3,4,4,13,False,0.0661,1.0,0.4765,0.4773
T4,42,7,15,True,0.1018,0.9695,0.5786,0.5799
T4,1,6,12,False,0.0781,1.0,0.4886,0.5676
T4,2,5,13,False,0.086,0.9898,0.4886,0.548
T4,3,7,13,True,0.0878,0.9948,0.5344,0.5757
T4,4,7,16,False,0.0728,0.9962,0.4886,0.5677
T5,42,4,15,True,0.1183,0.9043,0.5367,0.4765
T5,1,3,11,False,0.0745,1.0,0.4175,0.4702
T5,2,1,13,False,0.0977,0.9528,0.467,0.4479
T5,3,3,13,False,0.0889,1.0,0.4347,0.4678
T5,4,3,14,False,0.0686,1.0,0.452,0.4636
T6,42,2,16,False,0.1192,0.9158,0.4038,0.3804
T6,1,2,11,False,0.0814,1.0,0.3242,0.377
T6,2,1,12,False,0.0963,1.0,0.345,0.3644
T6,3,2,12,False,0.1016,1.0,0.3662,0.3782
T6,4,1,12,False,0.0739,0.9887,0.3242,0.3702
