condition,seed,families_with_territory,fragments_total,fruity_territory,fruity_area,fruity_blob,fruity_coverage,mean_coverage
T0 (1위만),42,8,25,True,0.0334,0.6175,1.0,0.8598
T0 (1위만),1,7,22,False,0.0285,0.8737,1.0,0.8344
T0 (1위만),2,8,20,False,0.0285,0.7154,1.0,0.8752
T0 (1위만),3,7,22,False,0.0131,0.6316,1.0,0.8587
T0 (1위만),4,7,21,False,0.0293,0.7333,1.0,0.8389
T0w (1위·가중),42,8,25,True,0.0449,0.6829,1.0,0.8801
T0w (1위·가중),1,9,21,True,0.0319,0.8774,1.0,0.87
T0w (1위·가중),2,9,22,True,0.0331,0.9603,1.0,0.8977
T0w (1위·가중),3,8,23,False,0.0159,0.6377,1.0,0.8897
T0w (1위·가중),4,9,21,True,0.0332,0.7479,1.0,0.8694
0.30 (T1),42,9,20,True,0.0529,0.6897,0.895,0.8146
0.30 (T1),1,9,17,True,0.0418,1.0,0.895,0.811
0.30 (T1),2,9,19,True,0.0369,0.7024,0.895,0.7983
0.30 (T1),3,9,22,True,0.0301,0.916,0.895,0.8143
0.30 (T1),4,9,19,True,0.041,0.7347,0.895,0.802
0.28,42,9,20,True,0.052,0.6842,0.895,0.7862
0.28,1,9,16,True,0.0403,1.0,0.895,0.768
0.28,2,9,19,True,0.0353,0.6894,0.895,0.7585
0.28,3,8,23,False,0.0294,0.9219,0.895,0.7874
0.28,4,9,20,True,0.041,0.7143,0.895,0.7685
0.26,42,9,21,True,0.0464,0.689,0.9114,0.7454
0.26,1,9,18,True,0.04,1.0,0.9114,0.733
0.26,2,9,19,True,0.0331,0.755,0.9114,0.7167
0.26,3,8,25,False,0.0241,0.9429,0.8338,0.7498
0.26,4,9,21,True,0.0335,0.7417,0.9114,0.7344
0.24,42,9,15,True,0.0681,1.0,0.7492,0.6838
0.24,1,9,15,True,0.0502,1.0,0.7492,0.675
0.24,2,9,15,True,0.0531,1.0,0.7492,0.6578
0.24,3,9,16,True,0.0547,1.0,0.7492,0.6877
0.24,4,9,15,True,0.055,1.0,0.7492,0.6831
0.22,42,9,15,True,0.0756,0.9976,0.6455,0.6338
0.22,1,9,15,True,0.0559,1.0,0.6455,0.6254
0.22,2,7,16,True,0.0603,1.0,0.6455,0.6046
0.22,3,8,14,True,0.0655,0.993,0.6041,0.6353
0.22,4,9,16,True,0.0583,1.0,0.6455,0.636
0.20 (T2),42,7,18,True,0.0883,1.0,0.5834,0.5806
0.20 (T2),1,5,14,True,0.0646,1.0,0.5549,0.5674
0.20 (T2),2,6,15,True,0.0764,1.0,0.5834,0.5434
0.20 (T2),3,7,13,True,0.0719,1.0,0.5516,0.5754
0.20 (T2),4,7,15,True,0.0564,1.0,0.5834,0.5725
