condition,seed,family,family_ko,signal,contributors,area_share,largest_blob_share,pieces,weighted_coverage,spread,has_territory
T0 (1위만),42,CITRUS,시트러스,23.0,23,0.1066,0.9675,2,0.7391,0.304,True
T0 (1위만),42,FRUITY,프루티,8.0,8,0.0334,0.6175,3,1.0,0.147,True
T0 (1위만),42,FLORAL,플로럴,61.0,61,0.2968,0.837,4,0.918,0.538,True
T0 (1위만),42,GREEN,그린·아로마틱,21.0,21,0.1619,0.6652,2,1.0,0.392,True
T0 (1위만),42,AQUATIC,아쿠아틱,12.0,12,0.0538,0.9186,3,0.9167,0.56,True
T0 (1위만),42,WOODY,우디,23.0,23,0.0829,0.848,3,0.6957,0.465,True
T0 (1위만),42,AMBER,앰버·스파이시,14.0,14,0.0809,1.0,1,0.7857,0.379,True
T0 (1위만),42,GOURMAND,구르망,20.0,20,0.0843,0.7208,3,0.85,0.406,True
T0 (1위만),42,MUSK,머스크·파우더리,18.0,18,0.0995,0.5101,4,0.8333,1.001,False
T0 (1위만),1,CITRUS,시트러스,23.0,23,0.0931,0.9968,1,0.7391,0.288,True
T0 (1위만),1,FRUITY,프루티,8.0,8,0.0285,0.8737,2,1.0,0.131,False
T0 (1위만),1,FLORAL,플로럴,61.0,61,0.2972,0.8605,3,0.8689,0.569,True
T0 (1위만),1,GREEN,그린·아로마틱,21.0,21,0.1439,0.7474,2,0.9048,0.404,True
T0 (1위만),1,AQUATIC,아쿠아틱,12.0,12,0.0547,0.8736,3,0.9167,0.613,True
T0 (1위만),1,WOODY,우디,23.0,23,0.1415,0.9278,2,0.7826,0.407,True
T0 (1위만),1,AMBER,앰버·스파이시,14.0,14,0.0733,0.9918,1,0.7143,0.322,True
T0 (1위만),1,GOURMAND,구르망,20.0,20,0.0676,0.8489,2,0.75,0.328,True
T0 (1위만),1,MUSK,머스크·파우더리,18.0,18,0.1001,0.5255,6,0.8333,0.964,False
T0 (1위만),2,CITRUS,시트러스,23.0,23,0.1042,0.8989,2,0.7826,0.306,True
T0 (1위만),2,FRUITY,프루티,8.0,8,0.0285,0.7154,2,1.0,0.132,False
T0 (1위만),2,FLORAL,플로럴,61.0,61,0.298,0.9043,2,0.8852,0.551,True
T0 (1위만),2,GREEN,그린·아로마틱,21.0,21,0.1573,0.7169,2,0.9048,0.395,True
T0 (1위만),2,AQUATIC,아쿠아틱,12.0,12,0.0586,0.8277,2,1.0,0.571,True
T0 (1위만),2,WOODY,우디,23.0,23,0.1099,1.0,1,0.8696,0.4,True
T0 (1위만),2,AMBER,앰버·스파이시,14.0,14,0.0799,0.9808,2,0.8571,0.368,True
T0 (1위만),2,GOURMAND,구르망,20.0,20,0.0709,0.8421,2,0.8,0.384,True
T0 (1위만),2,MUSK,머스크·파우더리,18.0,18,0.0926,0.6161,5,0.7778,0.9,True
T0 (1위만),3,CITRUS,시트러스,23.0,23,0.0933,0.9951,1,0.7391,0.246,True
T0 (1위만),3,FRUITY,프루티,8.0,8,0.0131,0.6316,2,1.0,0.11,False
T0 (1위만),3,FLORAL,플로럴,61.0,61,0.2776,0.8402,3,0.8689,0.506,True
T0 (1위만),3,GREEN,그린·아로마틱,21.0,21,0.1363,0.6981,2,0.9524,0.351,True
T0 (1위만),3,AQUATIC,아쿠아틱,12.0,12,0.0859,0.7487,3,1.0,0.638,True
T0 (1위만),3,WOODY,우디,23.0,23,0.1172,0.898,2,0.7826,0.351,True
