역할,순위,화해 순위,브랜드,향수명,출시,국내 상품명,국내 브랜드 표기,지도 영역,영역 성격,대표 향,잘 맞는 계절,밤/낮,성별 표기,매칭 근거,상품 묶음 수,무신사,올리브영,롯데,지도 x,지도 y,fragrantica_id
지도 200,1,2,Diptyque,Orphéon Eau de Parfum,2021,오 드 퍼퓸 오르페옹,Diptyque,2,fresh spicy · aromatic · citrus,powdery(100) · woody(95) · aromatic(91),가을,낮 우세,공용,사람 확정,1,,,,0.8157,0.4497,65738
지도 200,2,3,Elizabeth Arden,Green Tea,1999,그린티 센트 스프레이 EDC 100ml +향수 공병 증정 | 그린티 센트 스프레이 EDC 30ml +향수 공병 증정 ‖ 그린티 센트 스프레이,Elizabeth Arden,2,fresh spicy · aromatic · citrus,citrus(100) · green(89) · aromatic(61),여름,낮 우세,여성,사람 확정,2,18,,,0.9372,0.1979,83
지도 200,3,4,Jo Malone London,Wood Sage & Sea Salt Cologne,2022,우드 세이지 앤 씨 솔트 코롱,Jo Malone London,4,salty · marine · aquatic,salty(100) · aromatic(90) · musky(90),여름,낮 우세,공용,사람 확정,1,,,,0.8583,0.0,74041
지도 200,4,5,Daniel's Truth,Signature Bombshelluth,2023,시그니처 밤쉘루스,Daniel's Truth,1,fruity · rose · floral,fresh(100) · floral(74) · fruity(64),,,공용,자동 판정,1,,,,0.1294,0.3157,132132
지도 200,5,6,Lanvin,Eclat d'Arpege,2010,에끌라 드 아르페쥬 EDP 30ML | 에끌라 드 아르페쥬 EDP 100ML(+샘플 2ML 3종) | 랑방 에끌라 드 아르페쥬 EDP 30ml/50ml (단품/기획) | 랑방 에끌라 드 아르페쥬 EDP 50ml (단품/기획) | 랑방 에끌라 드 아르페쥬 EDP 30ml | 에끌라 드 아르페쥬 EDP,Lanvin,1,fruity · rose · floral,floral(100) · fresh(54) · green(30),봄,낮 우세,여성,사람 확정,1,110,9,,0.1108,0.1273,9110
지도 200,6,8,Le Labo,Another 13,2010,어나더 13 EDP,Le Labo,3,animalic · musky · balsamic,musky(100) · amber(74) · woody(51),봄,낮 우세,공용,사람 확정,1,,,,0.3444,0.2191,10131
지도 200,7,9,Diptyque,Eau Rose,2012,오 드 뚜왈렛 오 로즈,Diptyque,1,fruity · rose · floral,rose(100) · fruity(58) · floral(44),봄,낮 우세,여성,사람 확정,1,,,,0.0139,0.1631,14214
지도 200,8,11,Aesop,Tacit,2015,테싯 오 드 퍼퓸,Aesop,2,fresh spicy · aromatic · citrus,citrus(100) · aromatic(92) · fresh spicy(89),여름,낮 우세,공용,사람 확정,1,,,,0.8878,0.2404,32134
지도 200,9,12,Maison Martin Margiela,Lazy Sunday Morning,2013,레플리카 레이지 선데이 모닝 EDT 10ML | 레플리카 레이지 선데이 모닝 EDT 30ML | 레플리카 레이지 선데이 모닝 EDT 100ML | 레이지 선데이 모닝 EDT,Maison Martin Margiela,6,white floral · animalic · fresh,musky(100) · fresh(84) · white floral(74),봄,낮 우세,공용,사람 확정,1,14,,,0.3842,0.1459,20542
지도 200,10,14,Byredo,Blanche,2009,오 드 퍼퓸 [블랑쉬],Byredo,6,white floral · animalic · fresh,fresh(100) · aldehydic(95) · musky(67),봄,낮 우세,여성,자동 판정,1,,,,0.3851,0.1405,6686
지도 200,11,15,Dior,Miss Dior Eau de Parfum (2021),2021,미스 디올 오 드 퍼퓸,Dior,1,fruity · rose · floral,powdery(100) · vanilla(99) · rose(75),봄,낮 우세,여성,사람 검토,1,,,,0.1809,0.2591,68905
지도 200,12,16,Dior,Miss Dior Blooming Bouquet (2023),2023,미스 디올 블루밍 부케 오 드 뚜왈렛,Dior,1,fruity · rose · floral,floral(100) · rose(71) · fresh(46),봄,낮 우세,여성,사람 검토,1,,,,0.0671,0.1384,78945
지도 200,13,17,Diptyque,Philosykos Eau de Toilette,1996,오 드 뚜왈렛 필로시코스,Diptyque,1,fruity · rose · floral,green(100) · woody(87) · fresh(61),여름,낮 우세,공용,사람 확정,1,,,,0.3286,0.5299,72040
지도 200,14,19,Forment,Cotton Hug,2022,시그니처 퍼퓸  코튼허그 50ml | 시그니처 퍼퓸 [코튼허그],Forment,6,white floral · animalic · fresh,white floral(100) · musky(75) · rose(40),겨울,비슷,공용,사람 확정,1,5,,,0.2991,0.0648,75979
지도 200,15,21,Kiehl's,Original Musk,2004,오리지널 머스크 향수,Kiehl's,6,white floral · animalic · fresh,musky(100) · white floral(77) · sweet(52),가을,비슷,공용,자동 판정,1,,,,0.3353,0.1074,6188
지도 200,16,22,Byredo,La Tulipe,2010,오 드 퍼퓸 [라튤립],Byredo,1,fruity · rose · floral,floral(100) · green(80) · soft spicy(22),봄,낮 우세,여성,자동 판정,1,,,,0.1181,0.1105,8441
지도 200,17,23,Jo Malone London,Blackberry & Bay,2012,블랙베리 앤 베이 코롱,Jo Malone London,1,fruity · rose · floral,fruity(100) · fresh spicy(90) · aromatic(69),여름,낮 우세,여성,자동 판정,1,,,,0.6655,0.2875,15134
지도 200,18,26,Byredo,Bal d'Afrique,2009,발 다프리크 오 드 퍼퓸,Byredo,0,earthy · green · aromatic,woody(100) · aromatic(92) · earthy(71),봄,낮 우세,공용,사람 확정,1,,,,0.8307,0.499,6458
지도 200,19,29,Dashu,Acqua Dive,2021,아쿠아 다이브 퍼퓸 50ml | 아쿠아 다이브 퍼퓸,Dashu,0,earthy · green · aromatic,woody(100) · floral(77) · musky(77),,,공용,사람 검토,1,93,,,0.7522,0.5165,68919
