종류,이름,보유 향수,비율,평균 강도,최고 강도,1순위 횟수,IDF,유사도 기여
accord,citrus,124,0.62,67.7,100,38,,가능
accord,woody,122,0.61,60.4,100,28,,가능
accord,powdery,104,0.52,45.9,100,10,,가능
accord,aromatic,100,0.5,52.5,100,5,,가능
accord,sweet,96,0.48,53.8,100,13,,가능
accord,musky,92,0.46,48.4,100,6,,가능
accord,fruity,89,0.445,56.5,100,15,,가능
accord,floral,88,0.44,55.5,100,18,,가능
accord,fresh spicy,85,0.425,48.9,100,7,,가능
accord,white floral,79,0.395,65.9,100,25,,가능
accord,fresh,76,0.38,41.4,100,2,,가능
accord,green,64,0.32,50.0,100,7,,가능
accord,rose,55,0.275,51.6,100,7,,가능
accord,vanilla,42,0.21,59.2,100,7,,가능
accord,amber,36,0.18,45.4,98,0,,가능
accord,warm spicy,35,0.175,50.9,100,3,,가능
accord,earthy,29,0.145,36.0,89,0,,가능
accord,aquatic,21,0.105,51.7,100,1,,가능
accord,soft spicy,20,0.1,30.7,89,0,,가능
accord,animalic,18,0.09,28.5,76,0,,가능
accord,lavender,17,0.085,41.9,78,0,,가능
accord,ozonic,17,0.085,55.2,100,1,,가능
accord,herbal,14,0.07,29.8,68,0,,가능
accord,tropical,13,0.065,41.8,82,0,,가능
accord,lactonic,12,0.06,30.0,49,0,,가능
accord,mossy,11,0.055,39.2,77,0,,가능
accord,patchouli,11,0.055,41.5,64,0,,가능
accord,aldehydic,9,0.045,72.8,100,1,,가능
accord,iris,9,0.045,51.3,100,1,,가능
accord,violet,8,0.04,47.8,80,0,,가능
accord,yellow floral,8,0.04,37.2,77,0,,가능
accord,balsamic,7,0.035,33.0,47,0,,가능
accord,coconut,7,0.035,54.0,90,0,,가능
accord,leather,7,0.035,46.4,87,0,,가능
accord,marine,7,0.035,77.6,100,3,,가능
accord,salty,7,0.035,49.6,100,1,,가능
accord,nutty,6,0.03,37.2,52,0,,가능
accord,tuberose,6,0.03,46.0,73,0,,가능
accord,oud,5,0.025,63.2,90,0,,가능
accord,almond,4,0.02,42.0,75,0,,가능
accord,cherry,4,0.02,69.8,95,0,,가능
accord,beeswax,3,0.015,34.7,51,0,,가능
accord,caramel,3,0.015,48.7,100,1,,가능
accord,cinnamon,3,0.015,56.0,70,0,,가능
accord,honey,3,0.015,30.3,38,0,,가능
accord,soapy,3,0.015,27.0,37,0,,가능
accord,camphor,2,0.01,28.0,39,0,,가능
accord,conifer,2,0.01,11.5,14,0,,가능
accord,metallic,2,0.01,30.5,35,0,,가능
accord,sour,2,0.01,9.0,15,0,,가능
accord,tobacco,2,0.01,56.0,78,0,,가능
accord,anis,1,0.005,28.0,28,0,,없음 (한 향수에만)
accord,bitter,1,0.005,5.0,5,0,,없음 (한 향수에만)
accord,cacao,1,0.005,90.0,90,0,,없음 (한 향수에만)
accord,chocolate,1,0.005,11.0,11,0,,없음 (한 향수에만)
accord,coca-cola,1,0.005,73.0,73,0,,없음 (한 향수에만)
accord,coffee,1,0.005,25.0,25,0,,없음 (한 향수에만)
accord,mineral,1,0.005,49.0,49,0,,없음 (한 향수에만)
accord,rum,1,0.005,64.0,64,0,,없음 (한 향수에만)
accord,smoky,1,0.005,38.0,38,0,,없음 (한 향수에만)
note,Musk,84,0.42,,,,1.985,가능
note,Jasmine,79,0.395,,,,2.365,가능
note,Bergamot,58,0.29,,,,2.289,가능
note,Rose,54,0.27,,,,2.557,가능
note,Amber,53,0.265,,,,2.28,가능
note,Sandalwood,52,0.26,,,,2.347,가능
note,Cedar,43,0.215,,,,2.777,가능
note,Patchouli,41,0.205,,,,2.402,가능
note,White Musk,38,0.19,,,,3.761,가능
note,Vanilla,35,0.175,,,,2.309,가능
note,Mandarin Orange,33,0.165,,,,3.427,가능
note,Vetiver,29,0.145,,,,3.01,가능
note,Lemon,28,0.14,,,,3.195,가능
note,Orange Blossom,25,0.125,,,,3.442,가능
note,Pink Pepper,25,0.125,,,,3.542,가능
note,Iris,24,0.12,,,,3.636,가능
note,Grapefruit,22,0.11,,,,3.604,가능
note,Tonka Bean,22,0.11,,,,3.23,가능
note,Lavender,21,0.105,,,,3.318,가능
note,Ginger,20,0.1,,,,3.958,가능
note,Geranium,19,0.095,,,,3.751,가능
note,Peach,18,0.09,,,,3.813,가능
note,Pear,18,0.09,,,,4.068,가능
note,Freesia,17,0.085,,,,4.145,가능
note,Oakmoss,17,0.085,,,,3.715,가능
note,Peony,17,0.085,,,,4.22,가능
note,Black Currant,16,0.08,,,,4.167,가능
note,Ylang-Ylang,16,0.08,,,,3.924,가능
note,Neroli,15,0.075,,,,4.012,가능
note,Mint,13,0.065,,,,4.355,가능
note,Cardamom,12,0.06,,,,3.525,가능
note,Green Notes,12,0.06,,,,4.372,가능
note,Magnolia,12,0.06,,,,4.351,가능
note,Benzoin,10,0.05,,,,3.932,가능
note,Leather,10,0.05,,,,3.519,가능
note,Lily-of-the-Valley,10,0.05,,,,3.889,가능
note,Orange,10,0.05,,,,3.778,가능
note,Violet,10,0.05,,,,3.588,가능
note,Violet Leaf,10,0.05,,,,4.835,가능
note,Woody Notes,10,0.05,,,,3.769,가능
note,Aldehydes,9,0.045,,,,4.777,가능
note,Basil,9,0.045,,,,4.832,가능
note,Bitter Orange,9,0.045,,,,5.289,가능
note,Cedarwood,9,0.045,,,,4.321,가능
note,Cinnamon,9,0.045,,,,3.798,가능
note,Melon,9,0.045,,,,5.268,가능
note,Nutmeg,9,0.045,,,,4.045,가능
note,Raspberry,9,0.045,,,,4.053,가능
note,Coconut,8,0.04,,,,4.525,가능
note,Gardenia,8,0.04,,,,4.495,가능
note,Pepper,8,0.04,,,,4.42,가능
note,Tangerine,8,0.04,,,,4.865,가능
note,Woodsy Notes,8,0.04,,,,4.706,가능
note,Ambergris,7,0.035,,,,4.018,가능
note,Amberwood,7,0.035,,,,5.318,가능
note,Apple,7,0.035,,,,4.137,가능
note,Citruses,7,0.035,,,,4.276,가능
note,Clary Sage,7,0.035,,,,4.949,가능
note,Fig,7,0.035,,,,5.288,가능
note,Indonesian Patchouli Leaf,7,0.035,,,,6.48,가능
note,Jasmine Sambac,7,0.035,,,,4.801,가능
note,Labdanum,7,0.035,,,,3.918,가능
note,Madagascar Vanilla,7,0.035,,,,5.562,가능
note,Moss,7,0.035,,,,4.423,가능
note,Ambrette (Musk Mallow),6,0.03,,,,5.706,가능
note,Ambroxan,6,0.03,,,,4.766,가능
note,Green Tea,6,0.03,,,,5.602,가능
note,Pineapple,6,0.03,,,,4.424,가능
note,Sea Notes,6,0.03,,,,5.101,가능
note,Tuberose,6,0.03,,,,4.081,가능
note,Turkish Rose,6,0.03,,,,5.288,가능
note,Yuzu,6,0.03,,,,5.681,가능
note,Agarwood (Oud),5,0.025,,,,4.101,가능
note,Ambrette,5,0.025,,,,5.821,가능
note,Blackberry,5,0.025,,,,5.587,가능
note,Blood Orange,5,0.025,,,,5.628,가능
note,Bulgarian Rose,5,0.025,,,,5.129,가능
note,Calabrian bergamot,5,0.025,,,,5.855,가능
note,Coriander,5,0.025,,,,4.562,가능
note,Haitian Vetiver,5,0.025,,,,5.688,가능
note,Incense,5,0.025,,,,3.933,가능
note,Juniper,5,0.025,,,,5.233,가능
note,Lily,5,0.025,,,,4.769,가능
note,Mimosa,5,0.025,,,,5.151,가능
note,Orris Root,5,0.025,,,,5.122,가능
note,Passionfruit,5,0.025,,,,5.468,가능
note,Petitgrain,5,0.025,,,,4.87,가능
note,Powdery Notes,5,0.025,,,,5.416,가능
note,Red Berries,5,0.025,,,,5.458,가능
note,Black Pepper,4,0.02,,,,4.314,가능
note,Caramel,4,0.02,,,,4.327,가능
note,Cashmeran,4,0.02,,,,5.012,가능
note,Cashmere Wood,4,0.02,,,,4.893,가능
note,Cyclamen,4,0.02,,,,5.375,가능
note,Egyptian Jasmine,4,0.02,,,,6.271,가능
note,Galbanum,4,0.02,,,,4.886,가능
note,Honeysuckle,4,0.02,,,,5.479,가능
note,Lily of the Valley,4,0.02,,,,4.749,가능
note,Lime,4,0.02,,,,4.537,가능
note,Litchi,4,0.02,,,,5.346,가능
note,Lotus,4,0.02,,,,5.31,가능
note,Mandarin,4,0.02,,,,4.826,가능
note,Orchid,4,0.02,,,,4.847,가능
note,Orris,4,0.02,,,,5.015,가능
note,Pomegranate,4,0.02,,,,6.008,가능
note,Sage,4,0.02,,,,4.621,가능
note,Sicilian Lemon,4,0.02,,,,6.027,가능
note,Vanilla Orchid,4,0.02,,,,6.581,가능
note,Whipped Cream,4,0.02,,,,5.997,가능
note,White Amber,4,0.02,,,,6.167,가능
note,African Orange Flower,3,0.015,,,,6.006,가능
note,Akigalawood,3,0.015,,,,6.694,가능
note,Anise,3,0.015,,,,5.588,가능
note,Bamboo,3,0.015,,,,6.362,가능
note,Beeswax,3,0.015,,,,6.292,가능
note,Carnation,3,0.015,,,,4.931,가능
note,Cherry,3,0.015,,,,5.412,가능
note,Clementine,3,0.015,,,,6.466,가능
note,Clove,3,0.015,,,,5.141,가능
note,Floral Notes,3,0.015,,,,4.392,가능
note,Frangipani,3,0.015,,,,5.625,가능
note,Green Leaves,3,0.015,,,,5.752,가능
note,Helvetolide,3,0.015,,,,8.6,가능
note,Juniper Berries,3,0.015,,,,5.607,가능
note,Lilac,3,0.015,,,,5.533,가능
note,Mahogany,3,0.015,,,,6.729,가능
note,Marshmallow,3,0.015,,,,6.118,가능
note,Myrtle,3,0.015,,,,6.569,가능
note,Opoponax,3,0.015,,,,5.871,가능
note,Peach Blossom,3,0.015,,,,6.532,가능
note,Praline,3,0.015,,,,5.11,가능
note,Rhubarb,3,0.015,,,,5.554,가능
