pair_id,perfume_1,perfume_2,same_region,total_votes,up_votes,down_votes,team_agree_1,team_agree_2,team_agree_3
P01,Aventus / Creed,Club de Nuit Intense Man / Armaf,Y,6786,5900,886,,,
P02,Light Blue / Dolce&Gabbana,Cheap & Chic I Love Love / Moschino,Y,5500,4500,1000,,,
P03,Allure Homme Sport / Chanel,Versace Pour Homme / Versace,Y,3607,2800,807,,,
P04,Instant Crush / Mancera,Baccarat Rouge 540 / Maison Francis Kurkdjian,Y,3000,1800,1200,,,
P05,Le Male Le Parfum / Jean Paul Gaultier,Le Male Elixir / Jean Paul Gaultier,Y,3000,1900,1100,,,
P06,Baccarat Rouge 540 Extrait de Parfum / Maison Francis Kurkdjian,Baccarat Rouge 540 / Maison Francis Kurkdjian,Y,2808,2600,208,,,
P07,Luna Rossa Carbon Eau de Toilette / Prada,Sauvage / Dior,Y,2594,2100,494,,,
P08,Althaïr / Parfums de Marly,Liquid Brun / French Avenue,Y,2505,2400,105,,,
P09,Dior Homme Intense 2011 / Dior,Gentleman Eau de Parfum Reserve Privée / Givenchy,Y,2083,1500,583,,,
P10,Spicebomb / Viktor&Rolf,Bvlgari Man In Black / Bvlgari,Y,2049,1300,749,,,
P11,Cloud / Ariana Grande,Baccarat Rouge 540 / Maison Francis Kurkdjian,N,4800,3200,1600,,,
P12,Aventus / Creed,Explorer / Montblanc,N,4349,3700,649,,,
P13,Ganymede / Marc-Antoine Barrois,Bois Impérial / Essential Parfums,N,4300,2200,2100,,,
P14,Sauvage Elixir / Dior,Asad / Lattafa Perfumes,N,3295,2800,495,,,
P15,Explorer / Montblanc,Club de Nuit Intense Man / Armaf,N,2910,2400,510,,,
P16,Ultra Male / Jean Paul Gaultier,9pm / Afnan,N,2869,2700,169,,,
P17,Cool Water / Davidoff,Green Irish Tweed / Creed,N,2709,2000,709,,,
P18,Narciso Rodriguez for Her Eau de Parfum / Narciso Rodriguez,Lovely / Sarah Jessica Parker,N,2554,2100,454,,,
P19,Daisy / Marc Jacobs,Chance Eau Tendre / Chanel,N,2525,1600,925,,,
P20,Narciso Rodriguez for Her Eau de Parfum / Narciso Rodriguez,Narciso Rodriguez For Her / Narciso Rodriguez,N,2183,1700,483,,,
