cluster_count,silhouette,min_cluster_size,max_cluster_size,max_cluster_share
2,0.0978734030925948,4,196,0.98
3,0.06999038159934234,4,181,0.905
4,0.04619772162918018,4,176,0.88
5,0.07197016277815747,4,88,0.44
6,0.07242480905173405,4,88,0.44
7,0.0761158145988243,4,70,0.35
8,0.07011965430065886,2,70,0.35
9,0.07659879281585284,2,70,0.35
10,0.07246094479737396,2,66,0.33
11,0.06637849947275226,1,66,0.33
12,0.06898205409623025,1,66,0.33
13,0.07108638798482009,1,66,0.33
14,0.07284791892880324,1,66,0.33
15,0.07143227561804656,1,66,0.33
