arm,n_points,seed,trust_at_10_display,trust_at_20_display,knn_overlap_at_10_display,reminds_pct_internal,reminds_pct_incident_arm,trusted_internal,trusted_incident,display_nodes_with_edge,land_components,grid_corr_vs_first_seed
A_display_only,200,42,0.9191382113821138,0.8987182890855457,0.4875,0.17587939698492464,0.17587939698492464,44,44,46,2,0.9999999999999999
A_display_only,200,1,0.9232113821138211,0.8982890855457227,0.4875,0.1652581087254454,0.1652581087254454,44,44,46,1,0.9199067680529719
A_display_only,200,2,0.9211842818428184,0.9051548672566372,0.4855,0.1650296939241663,0.1650296939241663,44,44,46,1,0.7084617726287966
A_display_only,200,3,0.9218346883468834,0.9085176991150442,0.48349999999999993,0.18227501142074007,0.18227501142074007,44,44,46,1,0.5958986590627383
A_display_only,200,4,0.9213116531165312,0.9011843657817109,0.4789999999999999,0.14767016902695293,0.14767016902695293,44,44,46,2,0.6839917071363508
B_union_with_global,1136,42,0.9083468834688346,0.8936548672566371,0.43,0.22864321608040195,0.18159329657127013,44,286,106,1,1.0
B_union_with_global,1136,1,0.8977967479674797,0.8897610619469026,0.4195,0.2115121059844678,0.17677828779150365,44,286,106,2,0.9508814319371801
B_union_with_global,1136,2,0.8981707317073171,0.8854705014749262,0.43,0.2047738693467336,0.17432919503404085,44,286,106,2,0.919867203597891
B_union_with_global,1136,3,0.9098130081300813,0.8998466076696165,0.43550000000000005,0.2182503426222019,0.1738855857798589,44,286,106,1,0.977525291455815
B_union_with_global,1136,4,0.9045311653116531,0.8846784660766962,0.42950000000000005,0.18524440383736868,0.15204707187086042,44,286,106,2,0.8478273378002159
