method,bandwidth_scale,bandwidth_param,threshold_pct,threshold_value,land_components,islands_with_points,islands_ge5_points,largest_island_points,largest_component_share,land_area_share,points_on_land,corr_vs_kde_scott
gaussian_kde,0.35,0.1447,40,0.144745,1,1,1,200,1.0,0.6,200,0.7763
gaussian_kde,0.35,0.1447,50,0.240164,1,1,1,199,1.0,0.5,199,0.7763
gaussian_kde,0.35,0.1447,55,0.281697,1,1,1,194,1.0,0.45,194,0.7763
gaussian_kde,0.35,0.1447,60,0.32459,2,2,2,184,0.9654,0.4,191,0.7763
gaussian_kde,0.35,0.1447,65,0.362908,5,5,4,87,0.4732,0.3501,186,0.7763
gaussian_kde,0.35,0.1447,70,0.403092,7,7,5,77,0.4508,0.3,178,0.7763
gaussian_kde,0.35,0.1447,75,0.439467,10,10,9,65,0.4207,0.25,165,0.7763
gaussian_kde,0.35,0.1447,80,0.482057,13,13,10,32,0.2233,0.2,146,0.7763
gaussian_kde,0.5,0.2068,40,0.271596,1,1,1,199,1.0,0.6,199,0.8909
gaussian_kde,0.5,0.2068,50,0.373074,1,1,1,193,1.0,0.5,193,0.8909
gaussian_kde,0.5,0.2068,55,0.415872,1,1,1,188,1.0,0.45,188,0.8909
gaussian_kde,0.5,0.2068,60,0.454029,3,3,3,90,0.507,0.4,185,0.8909
gaussian_kde,0.5,0.2068,65,0.495861,4,4,3,83,0.4901,0.3501,166,0.8909
gaussian_kde,0.5,0.2068,70,0.53192,4,4,3,79,0.5125,0.3,154,0.8909
gaussian_kde,0.5,0.2068,75,0.567031,5,5,3,69,0.5036,0.25,140,0.8909
gaussian_kde,0.5,0.2068,80,0.609976,6,5,3,58,0.5238,0.2,115,0.8909
gaussian_kde,0.7,0.2895,40,0.390558,1,1,1,197,1.0,0.6,197,0.9682
gaussian_kde,0.7,0.2895,50,0.472485,1,1,1,190,1.0,0.5,190,0.9682
gaussian_kde,0.7,0.2895,55,0.510091,1,1,1,169,1.0,0.45,169,0.9682
gaussian_kde,0.7,0.2895,60,0.548789,2,2,2,79,0.5008,0.4,158,0.9682
gaussian_kde,0.7,0.2895,65,0.59047,2,2,2,77,0.509,0.3501,149,0.9682
gaussian_kde,0.7,0.2895,70,0.637059,2,2,2,69,0.5152,0.3,135,0.9682
gaussian_kde,0.7,0.2895,75,0.686294,2,2,2,59,0.5224,0.25,113,0.9682
gaussian_kde,0.7,0.2895,80,0.730309,2,2,2,49,0.5533,0.2,86,0.9682
gaussian_kde,1.0,0.4135,40,0.509215,1,1,1,185,1.0,0.6,185,1.0
gaussian_kde,1.0,0.4135,50,0.569908,1,1,1,171,1.0,0.5,171,1.0
gaussian_kde,1.0,0.4135,55,0.606077,1,1,1,161,1.0,0.45,161,1.0
gaussian_kde,1.0,0.4135,60,0.643729,1,1,1,148,1.0,0.4,148,1.0
gaussian_kde,1.0,0.4135,65,0.679606,1,1,1,132,1.0,0.3501,132,1.0
gaussian_kde,1.0,0.4135,70,0.716434,2,2,2,64,0.5342,0.3,115,1.0
gaussian_kde,1.0,0.4135,75,0.758503,2,2,2,53,0.5457,0.25,95,1.0
gaussian_kde,1.0,0.4135,80,0.801313,2,2,2,47,0.5643,0.2,79,1.0
gaussian_kde,2.0,0.827,40,0.591479,1,1,1,176,1.0,0.6,176,0.8529
gaussian_kde,2.0,0.827,50,0.669325,1,1,1,150,1.0,0.5,150,0.8529
gaussian_kde,2.0,0.827,55,0.70836,1,1,1,132,1.0,0.45,132,0.8529
gaussian_kde,2.0,0.827,60,0.747685,1,1,1,109,1.0,0.4,109,0.8529
gaussian_kde,2.0,0.827,65,0.786078,1,1,1,94,1.0,0.3501,94,0.8529
gaussian_kde,2.0,0.827,70,0.824811,1,1,1,76,1.0,0.3,76,0.8529
gaussian_kde,2.0,0.827,75,0.861499,1,1,1,59,1.0,0.25,59,0.8529
gaussian_kde,2.0,0.827,80,0.896133,1,1,1,45,1.0,0.2,45,0.8529
hist_blur,0.35,3.8197,40,0.187385,1,1,1,200,1.0,0.6,200,0.7786
hist_blur,0.35,3.8197,50,0.287537,1,1,1,199,1.0,0.5,199,0.7786
hist_blur,0.35,3.8197,55,0.332007,4,4,3,92,0.4703,0.45,196,0.7786
hist_blur,0.35,3.8197,60,0.377754,4,4,3,89,0.482,0.4,189,0.7786
hist_blur,0.35,3.8197,65,0.421942,7,7,3,88,0.4893,0.3501,182,0.7786
hist_blur,0.35,3.8197,70,0.470344,7,6,4,73,0.4561,0.3,167,0.7786
hist_blur,0.35,3.8197,75,0.52582,6,5,5,72,0.4732,0.25,153,0.7786
hist_blur,0.35,3.8197,80,0.576564,8,7,5,62,0.4642,0.2,136,0.7786
hist_blur,0.5,5.4568,40,0.307224,1,1,1,200,1.0,0.6,200,0.8809
hist_blur,0.5,5.4568,50,0.398656,2,2,2,100,0.5086,0.5,195,0.8809
hist_blur,0.5,5.4568,55,0.437444,3,2,2,91,0.5048,0.45,180,0.8809
hist_blur,0.5,5.4568,60,0.489816,2,2,2,88,0.5013,0.4,175,0.8809
hist_blur,0.5,5.4568,65,0.537817,2,2,2,86,0.5007,0.3501,169,0.8809
hist_blur,0.5,5.4568,70,0.58145,4,4,3,73,0.4818,0.3,151,0.8809
hist_blur,0.5,5.4568,75,0.632708,4,4,3,66,0.5008,0.25,135,0.8809
hist_blur,0.5,5.4568,80,0.68681,4,3,3,59,0.5283,0.2,113,0.8809
hist_blur,0.7,7.6395,40,0.371333,1,1,1,193,1.0,0.6,193,0.943
hist_blur,0.7,7.6395,50,0.442411,2,2,2,92,0.5032,0.5,183,0.943
hist_blur,0.7,7.6395,55,0.490375,2,2,2,90,0.5034,0.45,177,0.943
hist_blur,0.7,7.6395,60,0.542187,2,2,2,80,0.5098,0.4,160,0.943
hist_blur,0.7,7.6395,65,0.594085,2,2,2,76,0.5144,0.3501,150,0.943
hist_blur,0.7,7.6395,70,0.637179,2,2,2,66,0.5078,0.3,129,0.943
hist_blur,0.7,7.6395,75,0.682952,2,2,2,60,0.5144,0.25,111,0.943
hist_blur,0.7,7.6395,80,0.724136,3,3,2,49,0.5548,0.2,90,0.943
hist_blur,1.0,10.9135,40,0.446656,1,1,1,185,1.0,0.6,185,0.9729
hist_blur,1.0,10.9135,50,0.505097,2,2,2,87,0.505,0.5,173,0.9729
hist_blur,1.0,10.9135,55,0.542464,2,2,2,85,0.5014,0.45,167,0.9729
hist_blur,1.0,10.9135,60,0.581772,2,2,2,78,0.5035,0.4,149,0.9729
