note_weighting,accord_weight,note_weight,recall,hit_rate,mrr,ndcg
idf,0.0,1.0,0.2581,0.5114,0.3369,0.2354
idf,0.05,0.95,0.259,0.5071,0.3418,0.2377
idf,0.1,0.9,0.2697,0.5243,0.3475,0.2443
idf,0.15,0.85,0.2742,0.53,0.3524,0.2483
idf,0.2,0.8,0.2799,0.5386,0.3585,0.2533
idf,0.25,0.75,0.2836,0.5443,0.3618,0.2564
idf,0.3,0.7,0.2875,0.5471,0.3625,0.2583
idf,0.35,0.65,0.2911,0.55,0.3676,0.262
idf,0.4,0.6,0.2914,0.5543,0.3744,0.2648
idf,0.45,0.55,0.2954,0.56,0.3804,0.2686
idf,0.5,0.5,0.301,0.5657,0.3813,0.2709
idf,0.55,0.45,0.2959,0.5614,0.3805,0.268
idf,0.6,0.4,0.2883,0.5514,0.3835,0.2663
idf,0.65,0.35,0.2852,0.5471,0.3802,0.2643
idf,0.7,0.3,0.2803,0.5414,0.3788,0.2621
idf,0.75,0.25,0.2714,0.5271,0.3739,0.2559
idf,0.8,0.2,0.2627,0.5157,0.3677,0.2487
idf,0.85,0.15,0.2523,0.5014,0.3536,0.2377
idf,0.9,0.1,0.2347,0.4743,0.337,0.2243
idf,0.95,0.05,0.2169,0.45,0.3053,0.202
idf,1.0,0.0,0.1868,0.4071,0.2564,0.1688
plain,0.0,1.0,0.2545,0.5029,0.3382,0.2345
plain,0.05,0.95,0.2573,0.5086,0.3412,0.2364
plain,0.1,0.9,0.2621,0.5143,0.3436,0.2395
plain,0.15,0.85,0.2666,0.5186,0.3467,0.2427
plain,0.2,0.8,0.2735,0.5243,0.3516,0.248
plain,0.25,0.75,0.2784,0.5343,0.3561,0.2522
plain,0.3,0.7,0.2822,0.5371,0.3609,0.256
plain,0.35,0.65,0.2878,0.5443,0.3647,0.2598
plain,0.4,0.6,0.2907,0.5514,0.3715,0.2633
plain,0.45,0.55,0.2937,0.5557,0.3766,0.2663
plain,0.5,0.5,0.29,0.55,0.3806,0.2668
plain,0.55,0.45,0.2919,0.5514,0.3847,0.2692
plain,0.6,0.4,0.2905,0.55,0.3859,0.2688
plain,0.65,0.35,0.2861,0.5471,0.3875,0.2679
plain,0.7,0.3,0.2829,0.5443,0.3827,0.2647
plain,0.75,0.25,0.2747,0.53,0.3764,0.2584
plain,0.8,0.2,0.2618,0.5143,0.3668,0.249
plain,0.85,0.15,0.2574,0.5143,0.3533,0.2393
plain,0.9,0.1,0.235,0.4771,0.338,0.2243
plain,0.95,0.05,0.2187,0.4529,0.3058,0.2032
plain,1.0,0.0,0.1868,0.4071,0.2564,0.1688
